ID,RSSI,filtered_data
1,-44,-44.0
2,-43,-45.77366407260306
3,-44,-46.53741243963824
4,-44,-45.200220092121896
5,-45,-45.46068983021037
6,-49,-45.549877847256255
7,-45,-45.849090779584046
8,-46,-47.2947522143549
9,-43,-46.07077585269023
10,-45,-46.28777698453738
11,-43,-45.10521449985831
12,-43,-42.656183482015464
13,-45,-42.00715030410418
14,-48,-44.43154671375237
15,-47,-47.73941440888427
16,-45,-46.48347555922209
17,-44,-46.459542598225426
18,-44,-46.20488232389411
19,-44,-44.13776714059717
20,-42,-44.54858584477736
21,-44,-44.34476133637858
22,-32,-38.8813796620921
23,-46,-42.39360959179719
24,-44,-43.18893964779176
25,-46,-44.93377238743841
26,-41,-41.55629960300245
27,-42,-42.15767685933918
28,-44,-44.594733047007516
29,-45,-44.90025808137196
30,-45,-43.37693052188603
31,-45,-43.79649414905675
32,-46,-45.158454759024465
33,-45,-44.672041782446385
34,-45,-45.57655630343137
35,-45,-44.501675890691715
36,-44,-44.460472303507814
37,-44,-43.4933728410637
38,-43,-41.69804230011896
39,-45,-42.46338954569804
