TimeStampMillis;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
"1,69E+12";-49;-44;-47;-47;-45;-47;-43;-49
"1,69E+12";-49;-44;-46;-47;-48;-43;-46;-52
"1,69E+12";-45;-45;-51;-45;-47;-45;-42;-50
"1,69E+12";-47;-43;-53;-47;-47;-46;-45;-55
"1,69E+12";-44;-42;-58;-49;-43;-46;-42;-50
"1,69E+12";-46;-44;-49;-44;-44;-44;-40;-52
"1,69E+12";-47;-43;-42;-44;-46;-44;-41;-52
"1,69E+12";-44;-44;-46;-46;-42;-44;-41;-50
"1,69E+12";-46;-45;-46;-46;-45;-45;-43;-58
"1,69E+12";-46;-49;-48;-48;-45;-41;-42;-50
"1,69E+12";-43;-45;-47;-47;-46;-43;-42;-49
"1,69E+12";-45;-42;-50;-47;-44;-45;-42;-50
"1,69E+12";-46;-52;-56;-44;-45;-45;-40;-48
"1,69E+12";-45;-42;-48;-47;-47;-46;-43;-47
"1,69E+12";-44;-44;-51;-45;-44;-45;-42;-49
"1,69E+12";-51;-43;-47;-47;-47;-46;-41;-51
"1,69E+12";-45;-47;-51;-48;-45;-45;-40;-50
"1,69E+12";-45;-43;-45;-46;-47;-45;-40;-51
"1,69E+12";-48;-42;-46;-46;-44;-45;-43;-49
"1,69E+12";-46;-43;-49;-46;-44;-45;-40;-51
"1,69E+12";-45;-41;-53;-47;-45;-47;-42;-47
"1,69E+12";-46;-45;-47;-46;-45;-44;-41;-52
"1,69E+12";-45;-41;-51;-46;-44;-47;-42;-48
"1,69E+12";-45;-43;-53;-47;-44;-46;-42;-49
"1,69E+12";-52;-44;-48;-47;-43;-42;-43;-48
"1,69E+12";-45;-48;-49;-43;-44;-47;-43;-50
"1,69E+12";-47;-46;-54;-49;-46;-46;-43;-48
"1,69E+12";-47;-48;-51;-45;-47;-41;-45;-50
"1,69E+12";-49;-42;-51;-47;-45;-45;-50;-51
"1,69E+12";-51;-42;-51;-44;-42;-45;-49;-48
"1,69E+12";-49;-44;-47;-47;-45;-47;-43;-49
"1,69E+12";-49;-44;-46;-47;-48;-43;-46;-52
"1,69E+12";-45;-45;-51;-45;-47;-45;-42;-50
"1,69E+12";-47;-43;-53;-47;-47;-46;-45;-55
"1,69E+12";-44;-42;-58;-49;-43;-46;-42;-50
"1,69E+12";-46;-44;-49;-44;-44;-44;-40;-52
"1,69E+12";-47;-43;-42;-44;-46;-44;-41;-52
"1,69E+12";-44;-44;-46;-46;-42;-44;-41;-50
"1,69E+12";-46;-45;-46;-46;-45;-45;-43;-58
"1,69E+12";-46;-49;-48;-48;-45;-41;-42;-50
