TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
1691491066575;(08/08/2023)_17/37/46;-46;-41;-51;-48;-44;-39;-45;-41
1691491068637;(08/08/2023)_17/37/48;-43;-41;-48;-43;-43;-45;-45;-41
1691491072637;(08/08/2023)_17/37/52;-44;-41;-50;-48;-43;-39;-46;-37
1691491074653;(08/08/2023)_17/37/54;-47;-42;-46;-45;-43;-39;-43;-40
1691491076621;(08/08/2023)_17/37/56;-45;-41;-50;-45;-46;-39;-48;-36
1691491078774;(08/08/2023)_17/37/58;-47;-40;-47;-45;-43;-39;-48;-39
1691491082643;(08/08/2023)_17/38/02;-51;-41;-46;-46;-44;-37;-42;-39
1691491084589;(08/08/2023)_17/38/04;-43;-35;-46;-39;-43;-37;-45;-38
1691491086741;(08/08/2023)_17/38/06;-48;-35;-48;-42;-44;-42;-45;-39
1691491088717;(08/08/2023)_17/38/08;-45;-38;-45;-46;-42;-38;-46;-39
1691491090680;(08/08/2023)_17/38/10;-44;-43;-46;-45;-42;-39;-44;-40
1691491094589;(08/08/2023)_17/38/14;-44;-39;-49;-43;-42;-40;-47;-38
1691491102604;(08/08/2023)_17/38/22;-47;-41;-49;-46;-41;-37;-44;-42
1691491104658;(08/08/2023)_17/38/24;-44;-39;-49;-44;-44;-41;-45;-38
1691491106753;(08/08/2023)_17/38/26;-46;-40;-46;-48;-40;-39;-44;-39
1691491110626;(08/08/2023)_17/38/30;-44;-39;-45;-48;-44;-39;-45;-39
1691491112666;(08/08/2023)_17/38/32;-44;-41;-50;-43;-44;-39;-45;-38
1691491114596;(08/08/2023)_17/38/34;-48;-42;-46;-47;-42;-42;-46;-39
1691491116668;(08/08/2023)_17/38/36;-44;-38;-51;-46;-43;-40;-43;-44
1691491118721;(08/08/2023)_17/38/38;-45;-40;-49;-45;-40;-41;-46;-40
1691491120634;(08/08/2023)_17/38/40;-48;-41;-46;-44;-38;-39;-43;-40
1691491122708;(08/08/2023)_17/38/42;-47;-39;-47;-54;-45;-37;-43;-43
1691491124751;(08/08/2023)_17/38/44;-45;-39;-46;-45;-40;-37;-47;-40
1691491128649;(08/08/2023)_17/38/48;-46;-41;-47;-46;-44;-44;-46;-41
1691491130692;(08/08/2023)_17/38/50;-47;-36;-46;-49;-44;-38;-46;-40
1691491132637;(08/08/2023)_17/38/52;-46;-42;-52;-48;-39;-40;-47;-40
1691491134687;(08/08/2023)_17/38/54;-43;-40;-52;-44;-42;-39;-46;-39
1691491136714;(08/08/2023)_17/38/56;-43;-35;-47;-42;-41;-38;-46;-40
1691491140719;(08/08/2023)_17/39/00;-45;-42;-47;-43;-36;-40;-45;-39
1691491142667;(08/08/2023)_17/39/02;-43;-39;-50;-44;-44;-38;-45;-39
1691491144728;(08/08/2023)_17/39/04;-47;-39;-44;-48;-43;-39;-46;-42
1691491148708;(08/08/2023)_17/39/08;-46;-40;-42;-49;-44;-40;-44;-40
1691491150631;(08/08/2023)_17/39/10;-48;-40;-45;-48;-44;-39;-46;-42
1691491152811;(08/08/2023)_17/39/12;-46;-42;-44;-45;-46;-38;-44;-41
1691491154737;(08/08/2023)_17/39/14;-49;-37;-44;-45;-43;-38;-45;-40
1691491156701;(08/08/2023)_17/39/16;-48;-41;-48;-49;-42;-38;-46;-41
1691491158756;(08/08/2023)_17/39/18;-44;-38;-49;-46;-42;-39;-47;-41
1691491164793;(08/08/2023)_17/39/24;-46;-40;-47;-46;-44;-40;-44;-40
1691491166728;(08/08/2023)_17/39/26;-48;-37;-51;-46;-38;-41;-44;-38
1691491168775;(08/08/2023)_17/39/28;-47;-36;-45;-44;-41;-41;-46;-41
