TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
1691490257708;(08/08/2023)_17/24/17;-36;-31;-47;-39;-40;-35;-41;-51
1691490261767;(08/08/2023)_17/24/21;-39;-32;-44;-38;-42;-36;-38;-49
1691490265622;(08/08/2023)_17/24/25;-40;-32;-48;-39;-41;-38;-42;-47
1691490274086;(08/08/2023)_17/24/34;-40;-32;-46;-39;-41;-36;-40;-48
1691490277720;(08/08/2023)_17/24/37;-39;-32;-49;-38;-41;-34;-38;-48
1691490281678;(08/08/2023)_17/24/41;-39;-32;-49;-39;-40;-35;-42;-45
1691490294058;(08/08/2023)_17/24/54;-39;-32;-47;-38;-40;-39;-38;-46
1691490298250;(08/08/2023)_17/24/58;-39;-33;-48;-38;-40;-36;-38;-51
1691490301927;(08/08/2023)_17/25/01;-39;-33;-46;-38;-40;-37;-38;-47
1691490305716;(08/08/2023)_17/25/05;-38;-31;-48;-38;-40;-37;-38;-46
1691490313535;(08/08/2023)_17/25/13;-39;-32;-47;-38;-41;-35;-42;-48
1691490322216;(08/08/2023)_17/25/22;-39;-31;-44;-39;-39;-34;-41;-44
1691490330208;(08/08/2023)_17/25/30;-39;-32;-45;-38;-38;-36;-41;-44
1691490333681;(08/08/2023)_17/25/33;-39;-33;-48;-38;-40;-36;-38;-52
1691490337811;(08/08/2023)_17/25/37;-39;-34;-48;-38;-42;-36;-39;-47
1691490346089;(08/08/2023)_17/25/46;-39;-31;-48;-39;-40;-36;-38;-50
1691490354113;(08/08/2023)_17/25/54;-39;-32;-48;-39;-42;-35;-38;-45
1691490357607;(08/08/2023)_17/25/57;-39;-31;-47;-39;-42;-36;-38;-45
1691490361700;(08/08/2023)_17/26/01;-39;-34;-46;-38;-41;-36;-41;-48
1691490365954;(08/08/2023)_17/26/05;-39;-33;-49;-39;-40;-36;-38;-44
1691490370033;(08/08/2023)_17/26/10;-39;-33;-47;-38;-40;-35;-40;-47
1691490373970;(08/08/2023)_17/26/13;-39;-32;-47;-38;-41;-36;-41;-46
1691490377948;(08/08/2023)_17/26/17;-38;-32;-48;-38;-42;-36;-38;-45
1691490381533;(08/08/2023)_17/26/21;-39;-35;-48;-39;-40;-36;-40;-45
1691490385741;(08/08/2023)_17/26/25;-39;-31;-47;-39;-40;-35;-41;-47
1691490397880;(08/08/2023)_17/26/37;-38;-32;-48;-39;-40;-36;-38;-46
1691490402146;(08/08/2023)_17/26/42;-39;-32;-46;-38;-38;-35;-38;-47
1691490410300;(08/08/2023)_17/26/50;-39;-32;-49;-39;-38;-36;-40;-47
1691490413566;(08/08/2023)_17/26/53;-38;-32;-48;-38;-40;-35;-38;-46
1691490421673;(08/08/2023)_17/27/01;-39;-32;-47;-39;-42;-36;-40;-47
1691490433866;(08/08/2023)_17/27/13;-38;-29;-40;-38;-40;-41;-40;-45
1691490449698;(08/08/2023)_17/27/29;-40;-29;-45;-37;-41;-42;-43;-37
1691490457855;(08/08/2023)_17/27/37;-38;-30;-44;-36;-42;-39;-40;-50
1691490462217;(08/08/2023)_17/27/42;-40;-29;-45;-38;-39;-37;-38;-51
1691490469590;(08/08/2023)_17/27/49;-41;-30;-40;-37;-41;-40;-43;-39
1691490473567;(08/08/2023)_17/27/53;-44;-33;-48;-38;-46;-40;-36;-40
1691490477573;(08/08/2023)_17/27/57;-39;-33;-45;-42;-42;-38;-38;-44
1691490481907;(08/08/2023)_17/28/01;-38;-33;-41;-45;-41;-38;-34;-41
1691490485801;(08/08/2023)_17/28/05;-35;-31;-47;-40;-46;-40;-36;-45
1691490490037;(08/08/2023)_17/28/10;-39;-31;-45;-41;-47;-37;-37;-44
