TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
1691486280804;(08/08/2023)_16/18/00;-47;-34;-49;-55;-38;-35;-47;-39
1691486282860;(08/08/2023)_16/18/02;-49;-36;-46;-49;-36;-37;-47;-39
1691486284812;(08/08/2023)_16/18/04;-49;-35;-44;-49;-39;-35;-47;-35
1691486286847;(08/08/2023)_16/18/06;-49;-35;-43;-47;-37;-36;-47;-38
1691486288895;(08/08/2023)_16/18/08;-50;-35;-44;-50;-41;-38;-44;-40
1691486290843;(08/08/2023)_16/18/10;-48;-35;-46;-50;-38;-36;-47;-38
1691486298834;(08/08/2023)_16/18/18;-50;-36;-51;-46;-38;-39;-47;-40
1691486300768;(08/08/2023)_16/18/20;-46;-34;-49;-50;-43;-38;-44;-36
1691486302903;(08/08/2023)_16/18/22;-49;-33;-44;-50;-39;-35;-48;-40
1691486306826;(08/08/2023)_16/18/26;-50;-36;-50;-50;-41;-38;-46;-39
1691486308967;(08/08/2023)_16/18/28;-47;-35;-49;-49;-41;-37;-48;-39
1691486310921;(08/08/2023)_16/18/30;-49;-35;-51;-50;-41;-33;-49;-39
1691486313029;(08/08/2023)_16/18/33;-48;-33;-50;-51;-41;-37;-49;-39
1691486314820;(08/08/2023)_16/18/34;-48;-35;-50;-48;-39;-37;-48;-39
1691486316893;(08/08/2023)_16/18/36;-47;-36;-49;-51;-38;-37;-49;-40
1691486318900;(08/08/2023)_16/18/38;-48;-36;-49;-51;-40;-36;-49;-39
1691486320841;(08/08/2023)_16/18/40;-49;-37;-50;-51;-41;-38;-50;-37
1691486323133;(08/08/2023)_16/18/43;-49;-36;-50;-49;-33;-37;-49;-40
1691486328860;(08/08/2023)_16/18/48;-49;-38;-51;-49;-40;-37;-49;-39
1691486330928;(08/08/2023)_16/18/50;-48;-36;-51;-50;-40;-32;-49;-38
1691486332921;(08/08/2023)_16/18/52;-49;-37;-50;-49;-39;-37;-48;-39
1691486334901;(08/08/2023)_16/18/54;-48;-38;-50;-50;-41;-37;-48;-39
1691486336816;(08/08/2023)_16/18/56;-47;-37;-49;-48;-42;-37;-49;-38
1691486338860;(08/08/2023)_16/18/58;-48;-35;-50;-48;-41;-37;-48;-39
1691486340815;(08/08/2023)_16/19/00;-48;-37;-50;-48;-41;-36;-49;-38
1691486342866;(08/08/2023)_16/19/02;-48;-37;-49;-48;-41;-37;-49;-39
1691486346914;(08/08/2023)_16/19/06;-47;-37;-50;-48;-41;-37;-49;-38
1691486349090;(08/08/2023)_16/19/09;-48;-35;-49;-48;-38;-37;-49;-39
1691486350855;(08/08/2023)_16/19/10;-48;-35;-50;-49;-37;-37;-49;-37
1691486352906;(08/08/2023)_16/19/12;-48;-35;-50;-48;-36;-37;-48;-36
1691486358836;(08/08/2023)_16/19/18;-47;-37;-49;-48;-41;-38;-49;-39
1691486362857;(08/08/2023)_16/19/22;-48;-37;-49;-48;-41;-37;-48;-39
1691486364894;(08/08/2023)_16/19/24;-47;-36;-49;-48;-41;-37;-48;-39
1691486366941;(08/08/2023)_16/19/26;-48;-37;-49;-48;-42;-37;-48;-39
1691486368881;(08/08/2023)_16/19/28;-48;-37;-49;-49;-41;-39;-49;-35
1691486370946;(08/08/2023)_16/19/30;-49;-37;-50;-49;-41;-36;-49;-38
1691486374907;(08/08/2023)_16/19/34;-48;-35;-49;-51;-41;-38;-48;-36
1691486376875;(08/08/2023)_16/19/36;-49;-35;-49;-49;-38;-37;-48;-39
1691486378891;(08/08/2023)_16/19/38;-49;-35;-49;-49;-41;-37;-49;-39
1691486380946;(08/08/2023)_16/19/40;-49;-35;-49;-49;-41;-36;-48;-39
1691486383001;(08/08/2023)_16/19/43;-49;-35;-49;-51;-42;-38;-48;-39
1691486386997;(08/08/2023)_16/19/46;-49;-37;-49;-49;-41;-38;-48;-38
