TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
1691481089689;(08/08/2023)_14/51/29;-46;-35;-45;-46;-47;-35;-46;-53
1691481093326;(08/08/2023)_14/51/33;-47;-45;-46;-47;-42;-39;-44;-39
1691481096307;(08/08/2023)_14/51/36;-42;-43;-51;-44;-45;-38;-46;-48
1691481098984;(08/08/2023)_14/51/38;-46;-38;-43;-47;-50;-43;-44;-42
1691481102695;(08/08/2023)_14/51/42;-46;-41;-48;-46;-50;-40;-46;-45
1691481115553;(08/08/2023)_14/51/55;-40;-50;-48;-45;-44;-37;-45;-51
1691481121152;(08/08/2023)_14/52/01;-41;-39;-48;-48;-43;-43;-45;-45
1691481124547;(08/08/2023)_14/52/04;-38;-42;-43;-48;-43;-42;-46;-56
1691481127053;(08/08/2023)_14/52/07;-41;-41;-45;-45;-46;-41;-47;-46
1691481130872;(08/08/2023)_14/52/10;-41;-37;-41;-47;-48;-42;-43;-46
1691481134137;(08/08/2023)_14/52/14;-42;-53;-43;-47;-45;-43;-44;-48
1691481137593;(08/08/2023)_14/52/17;-47;-44;-44;-46;-46;-41;-46;-46
1691481143457;(08/08/2023)_14/52/23;-41;-47;-48;-47;-42;-40;-46;-43
1691481146225;(08/08/2023)_14/52/26;-44;-44;-48;-45;-45;-40;-44;-46
1691481149023;(08/08/2023)_14/52/29;-40;-43;-47;-44;-48;-39;-45;-48
1691481152261;(08/08/2023)_14/52/32;-40;-45;-48;-45;-45;-42;-46;-51
1691481155147;(08/08/2023)_14/52/35;-40;-48;-48;-47;-47;-38;-45;-48
1691481158105;(08/08/2023)_14/52/38;-39;-48;-47;-44;-46;-38;-43;-49
1691481164232;(08/08/2023)_14/52/44;-40;-44;-46;-47;-45;-37;-46;-49
1691481167739;(08/08/2023)_14/52/47;-40;-47;-48;-46;-45;-41;-45;-47
1691481179483;(08/08/2023)_14/52/59;-40;-40;-46;-45;-47;-39;-43;-51
1691481185842;(08/08/2023)_14/53/05;-39;-44;-47;-45;-45;-35;-44;-47
1691481191460;(08/08/2023)_14/53/11;-42;-43;-47;-43;-45;-40;-45;-49
1691481194554;(08/08/2023)_14/53/14;-39;-44;-47;-43;-44;-41;-44;-44
1691481197368;(08/08/2023)_14/53/17;-40;-44;-47;-43;-44;-39;-46;-47
1691481200556;(08/08/2023)_14/53/20;-40;-43;-48;-44;-44;-41;-45;-48
1691481203565;(08/08/2023)_14/53/23;-39;-45;-48;-43;-46;-42;-44;-49
1691481206433;(08/08/2023)_14/53/26;-40;-44;-48;-47;-45;-40;-45;-48
1691481212431;(08/08/2023)_14/53/32;-41;-44;-48;-46;-45;-38;-45;-48
1691481216143;(08/08/2023)_14/53/36;-41;-46;-46;-44;-44;-40;-44;-49
1691481218544;(08/08/2023)_14/53/38;-42;-40;-48;-43;-44;-40;-44;-48
1691481222171;(08/08/2023)_14/53/42;-40;-43;-48;-45;-44;-37;-46;-49
1691481225462;(08/08/2023)_14/53/45;-42;-40;-45;-44;-45;-40;-46;-48
1691481228518;(08/08/2023)_14/53/48;-40;-35;-45;-43;-44;-40;-44;-46
1691481234760;(08/08/2023)_14/53/54;-40;-46;-45;-45;-45;-41;-44;-51
1691481237828;(08/08/2023)_14/53/57;-40;-45;-84;-43;-44;-41;-44;-47
1691481244432;(08/08/2023)_14/54/04;-40;-43;-47;-43;-44;-37;-47;-46
1691481247665;(08/08/2023)_14/54/07;-41;-44;-47;-43;-46;-40;-44;-47
1691481253637;(08/08/2023)_14/54/13;-39;-35;-45;-43;-48;-40;-44;-45
1691481257385;(08/08/2023)_14/54/17;-41;-46;-45;-45;-46;-39;-45;-50
1691481264045;(08/08/2023)_14/54/24;-39;-46;-45;-43;-46;-40;-44;-48
1691481266722;(08/08/2023)_14/54/26;-41;-46;-46;-45;-46;-41;-44;-49
1691481270435;(08/08/2023)_14/54/30;-39;-42;-47;-43;-46;-41;-45;-49
1691481275739;(08/08/2023)_14/54/35;-40;-44;-47;-45;-47;-40;-44;-47
1691481279426;(08/08/2023)_14/54/39;-39;-43;-45;-47;-45;-41;-44;-55
1691481282122;(08/08/2023)_14/54/42;-38;-47;-48;-43;-44;-40;-44;-47
1691481284918;(08/08/2023)_14/54/44;-41;-45;-45;-46;-44;-38;-44;-45
1691481288191;(08/08/2023)_14/54/48;-38;-46;-47;-46;-45;-40;-45;-48
1691481290954;(08/08/2023)_14/54/50;-41;-44;-45;-43;-47;-40;-44;-47
1691481293969;(08/08/2023)_14/54/53;-38;-46;-47;-45;-50;-41;-47;-48
1691481296924;(08/08/2023)_14/54/56;-38;-43;-46;-46;-45;-38;-45;-50
1691481303665;(08/08/2023)_14/55/03;-36;-44;-47;-44;-45;-41;-45;-47
1691481312050;(08/08/2023)_14/55/12;-42;-47;-45;-45;-46;-41;-46;-49
1691481315001;(08/08/2023)_14/55/15;-40;-48;-44;-45;-45;-37;-45;-50
1691481322017;(08/08/2023)_14/55/22;-45;-43;-45;-43;-46;-41;-44;-47
1691481325354;(08/08/2023)_14/55/25;-45;-45;-47;-43;-46;-40;-44;-47
1691481328322;(08/08/2023)_14/55/28;-38;-44;-48;-45;-45;-41;-45;-44
1691481331911;(08/08/2023)_14/55/31;-43;-44;-44;-49;-45;-39;-45;-48
1691481338978;(08/08/2023)_14/55/38;-42;-45;-45;-46;-46;-41;-44;-45
1691481341882;(08/08/2023)_14/55/41;-44;-42;-43;-50;-43;-44;-44;-45
