TimeStampMillis;TimeStampFormatted;Wifi_D_5G;Wifi_D;Wifi_C_5G;Wifi_B_5G;Wifi_B;Wifi_C;Wifi_A_5G;Wifi_A
"1,69148E+12";(08/08/2023)_13/46/10;-41;-45;-49;-40;-38;-36;-51;-42
"1,69148E+12";(08/08/2023)_13/46/14;-42;-45;-55;-34;-35;-35;-52;-40
"1,69148E+12";(08/08/2023)_13/46/16;-46;-40;-53;-35;-35;-37;-51;-50
"1,69148E+12";(08/08/2023)_13/46/20;-45;-43;-51;-33;-35;-38;-52;-43
"1,69148E+12";(08/08/2023)_13/46/22;-44;-41;-54;-32;-36;-35;-52;-51
"1,69148E+12";(08/08/2023)_13/46/24;-45;-43;-53;-35;-35;-36;-52;-42
"1,69148E+12";(08/08/2023)_13/46/26;-45;-42;-52;-35;-36;-35;-51;-40
"1,69148E+12";(08/08/2023)_13/46/28;-45;-41;-53;-35;-34;-36;-50;-39
"1,69148E+12";(08/08/2023)_13/46/30;-44;-46;-53;-35;-37;-33;-52;-40
"1,69148E+12";(08/08/2023)_13/46/36;-45;-43;-53;-34;-35;-35;-53;-44
"1,69148E+12";(08/08/2023)_13/46/38;-45;-42;-54;-35;-36;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/46/42;-44;-44;-54;-34;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/46/44;-41;-41;-54;-35;-35;-38;-53;-42
"1,69148E+12";(08/08/2023)_13/46/46;-44;-44;-53;-34;-34;-38;-53;-42
"1,69148E+12";(08/08/2023)_13/46/48;-44;-43;-55;-34;-35;-38;-53;-42
"1,69148E+12";(08/08/2023)_13/46/50;-45;-45;-55;-35;-35;-37;-53;-42
"1,69148E+12";(08/08/2023)_13/46/52;-45;-44;-53;-34;-35;-38;-54;-43
"1,69148E+12";(08/08/2023)_13/46/56;-44;-44;-55;-34;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/46/58;-44;-44;-54;-34;-35;-37;-53;-42
"1,69148E+12";(08/08/2023)_13/47/06;-44;-44;-53;-34;-33;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/47/08;-45;-44;-55;-34;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/47/10;-45;-32;-55;-34;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/47/12;-44;-43;-54;-35;-35;-38;-55;-42
"1,69148E+12";(08/08/2023)_13/47/14;-44;-44;-55;-34;-37;-37;-54;-43
"1,69148E+12";(08/08/2023)_13/47/16;-44;-45;-55;-34;-35;-38;-53;-42
"1,69148E+12";(08/08/2023)_13/47/18;-44;-45;-55;-34;-36;-37;-53;-43
"1,69148E+12";(08/08/2023)_13/47/20;-45;-43;-54;-34;-35;-38;-55;-42
"1,69148E+12";(08/08/2023)_13/47/22;-45;-44;-54;-34;-33;-37;-54;-44
"1,69148E+12";(08/08/2023)_13/47/24;-45;-44;-53;-35;-36;-36;-54;-42
"1,69148E+12";(08/08/2023)_13/47/28;-44;-44;-53;-34;-35;-38;-54;-41
"1,69148E+12";(08/08/2023)_13/47/30;-44;-43;-54;-34;-35;-37;-54;-43
"1,69148E+12";(08/08/2023)_13/47/36;-44;-44;-54;-35;-35;-38;-55;-42
"1,69148E+12";(08/08/2023)_13/47/38;-45;-43;-55;-36;-35;-31;-53;-43
"1,69148E+12";(08/08/2023)_13/47/40;-45;-43;-53;-34;-35;-37;-53;-42
"1,69148E+12";(08/08/2023)_13/47/46;-45;-44;-53;-35;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/47/55;-49;-41;-52;-35;-34;-37;-51;-38
"1,69148E+12";(08/08/2023)_13/47/56;-49;-40;-49;-34;-35;-40;-49;-42
"1,69148E+12";(08/08/2023)_13/47/58;-44;-42;-53;-34;-34;-37;-53;-42
"1,69148E+12";(08/08/2023)_13/48/05;-44;-43;-55;-35;-33;-39;-54;-42
"1,69148E+12";(08/08/2023)_13/48/06;-44;-42;-53;-35;-35;-37;-54;-42
"1,69148E+12";(08/08/2023)_13/48/08;-45;-43;-53;-36;-36;-37;-55;-42
"1,69148E+12";(08/08/2023)_13/48/10;-44;-44;-53;-36;-35;-38;-53;-43
"1,69148E+12";(08/08/2023)_13/48/12;-44;-44;-53;-35;-35;-37;-54;-42
