Wifi_A,Wifi_A_5G,Wifi_C,Wifi_B,Wifi_B_5G,Wifi_C_5G,Wifi_D,Wifi_D_5G
0.87,0.56,0.55,0.4,0.6,0.9,0.67,0.85
0.89,0.56,1.0,0.47,0.63,0.87,0.72,0.92
0.87,0.32,0.55,0.67,0.54,0.73,1.0,0.46
0.87,0.32,0.73,0.8,0.6,0.73,0.78,0.46
0.79,0.24,0.27,0.67,0.57,0.73,0.83,0.54
0.84,0.36,0.36,0.8,0.57,0.73,0.78,0.46
0.87,0.56,0.64,0.53,0.54,0.93,0.72,0.85
0.82,0.36,0.64,0.67,0.54,0.73,0.72,0.46
0.82,0.4,0.45,0.67,0.6,0.87,0.72,0.62
0.82,0.4,0.45,0.6,0.63,0.87,0.67,0.54
0.95,0.28,0.64,0.87,0.54,0.73,0.39,0.46
0.82,0.36,0.55,0.73,0.6,0.8,0.67,0.46
0.84,0.36,0.36,0.67,0.57,0.77,0.61,0.38
0.87,0.36,0.64,0.67,0.57,0.73,0.61,0.46
0.97,0.36,0.36,0.67,0.54,0.73,0.78,0.46
0.89,0.36,0.45,0.6,0.71,0.87,0.56,0.62
0.89,0.36,0.27,0.73,0.63,0.67,0.78,0.46
0.84,0.32,0.27,0.67,0.54,0.63,0.78,0.46
0.84,0.2,0.64,0.6,0.66,0.8,0.78,0.38
0.87,0.32,0.45,0.73,0.6,0.7,0.78,0.38
0.87,0.56,0.64,0.47,0.57,0.93,0.78,0.92
0.95,0.4,0.27,0.6,0.43,0.63,0.56,0.69
0.87,0.32,0.45,0.8,0.57,0.73,0.61,0.46
0.89,0.56,0.82,0.47,0.63,0.9,0.72,1.0
0.87,0.4,0.55,0.73,0.69,0.67,1.0,0.46
0.89,0.36,0.36,0.67,0.54,0.73,0.78,0.46
0.87,0.36,0.27,0.6,0.69,0.47,0.72,0.77
0.92,0.52,0.55,0.4,0.54,0.93,0.67,0.92
0.79,0.12,0.18,0.6,0.54,0.6,0.61,0.46
0.97,0.4,0.64,0.67,0.6,0.73,0.89,0.54
0.87,0.32,0.82,0.6,0.57,0.73,0.78,0.46
0.84,0.96,0.45,0.53,0.0,0.9,0.56,0.62
0.87,0.52,0.55,0.47,0.57,0.87,0.67,0.92
0.92,0.56,0.73,0.4,0.6,0.9,0.67,0.92
0.87,0.36,0.55,0.73,0.54,0.73,0.72,0.77
0.89,0.56,0.64,0.27,0.6,0.9,0.72,0.92
0.82,0.32,0.36,0.67,0.6,0.73,0.78,0.46
0.87,0.36,0.55,0.73,0.6,0.7,0.56,0.46
0.92,0.56,0.45,0.53,0.63,0.9,0.67,0.92
0.92,0.36,0.73,0.67,0.6,0.67,0.44,0.38
0.92,0.32,0.45,0.67,0.54,0.77,0.83,0.54
0.89,0.28,0.36,0.73,0.57,0.77,0.78,0.46
0.89,0.36,0.27,0.87,0.57,0.83,0.5,0.54
0.92,0.28,0.36,0.67,0.57,0.73,0.61,0.54
0.89,0.4,0.18,0.53,0.66,0.33,0.0,0.38
0.92,0.44,0.64,0.87,0.66,0.67,0.72,0.54
0.89,0.56,0.73,0.47,0.54,0.9,0.72,0.85
0.84,0.32,0.45,0.67,0.54,0.57,0.56,0.38
0.89,0.36,0.64,0.8,0.57,0.83,0.72,0.46
0.84,0.36,0.55,0.73,0.57,0.7,0.72,0.46
0.89,0.28,0.64,0.6,0.6,0.8,0.61,0.69
0.89,0.32,0.36,0.8,0.57,0.73,0.67,0.54
