Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
0.67,0.4,1.0,0.75,0.22,0.69,0.64,0.75
0.83,0.2,0.8,0.83,0.22,0.31,0.5,0.25
0.67,0.4,0.87,0.83,0.11,0.38,0.43,0.75
0.0,0.0,0.07,0.83,0.56,0.5,0.0,0.5
0.58,0.4,0.73,0.92,0.0,0.44,0.43,0.75
0.42,0.4,0.8,0.83,0.22,0.75,0.5,0.5
0.58,0.4,0.87,0.83,0.22,0.38,0.64,0.25
0.83,0.4,0.87,0.83,0.33,0.56,0.36,0.5
0.42,0.4,0.8,0.83,0.22,0.75,0.5,0.5
0.67,0.2,1.0,0.83,0.11,0.44,0.29,0.25
0.92,0.2,0.87,0.83,0.11,0.5,0.71,0.75
0.33,0.8,0.73,0.83,0.44,0.62,0.29,1.0
0.75,0.4,0.87,0.83,0.22,0.69,0.21,0.25
0.83,0.2,0.73,0.83,0.33,0.5,0.93,0.25
0.58,0.4,0.87,0.83,0.11,0.69,1.0,0.5
0.58,0.4,0.87,0.83,0.11,0.69,0.43,0.5
1.0,0.4,0.67,0.75,0.11,0.75,0.57,0.5
1.0,0.6,0.73,0.92,0.22,0.62,0.43,1.0
0.75,0.4,0.73,0.83,0.33,0.69,0.43,0.5
0.83,0.4,0.6,0.83,0.22,0.75,0.5,0.5
0.33,0.8,0.73,0.83,0.44,0.62,0.29,1.0
0.58,1.0,0.2,1.0,0.11,1.0,0.71,1.0
0.83,0.2,0.8,0.83,0.22,0.69,0.43,0.25
0.83,0.6,0.73,0.83,0.22,0.5,0.79,0.5
0.67,0.2,0.87,0.83,0.33,0.5,0.5,0.5
0.67,0.2,0.87,0.83,0.11,0.69,0.57,0.5
0.67,0.4,0.87,0.83,0.11,0.44,0.79,0.75
1.0,0.6,0.73,0.92,0.22,0.62,0.43,1.0
0.5,0.2,0.73,0.92,0.11,0.56,0.43,0.0
