Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
0.46,0.78,0.67,0.81,0.38,0.77,0.84,0.47
0.61,0.36,0.74,0.6,0.62,0.64,0.84,0.91
0.81,0.61,0.66,0.74,0.44,0.52,0.44,0.21
0.55,1.0,0.66,0.67,0.24,0.77,0.67,0.37
0.52,0.59,0.4,0.78,0.05,0.54,0.57,0.35
0.42,0.41,0.56,0.71,0.64,0.65,0.81,0.66
0.36,0.72,0.47,0.85,0.21,0.71,0.5,0.25
0.22,0.42,0.21,0.65,0.8,0.0,0.89,0.7
0.66,0.11,0.7,0.67,0.57,0.62,0.8,0.59
0.55,0.84,0.53,0.64,0.47,0.62,0.67,0.12
0.66,0.22,0.62,0.73,0.65,0.65,0.76,0.64
0.59,0.15,0.4,0.62,0.54,0.75,0.92,0.57
0.22,0.55,0.01,0.68,0.33,0.82,0.55,0.4
0.54,0.72,0.09,0.76,0.44,0.69,0.4,0.2
0.37,0.77,0.03,0.74,0.37,1.0,0.7,0.02
0.43,0.35,0.52,0.7,0.62,0.7,0.81,0.49
0.62,0.86,0.81,0.53,0.43,0.68,0.56,0.37
0.69,0.74,0.67,0.67,0.36,0.76,0.5,0.19
0.54,0.42,0.1,0.73,0.38,0.64,0.53,0.22
0.41,0.66,0.42,0.63,0.32,0.71,0.23,0.18
0.34,0.9,0.31,0.71,0.49,0.71,0.56,0.06
0.46,0.65,0.23,0.55,0.35,0.58,0.52,0.31
0.38,0.44,0.24,0.73,0.25,0.56,0.4,0.14
0.24,0.66,0.52,0.85,0.31,0.6,0.56,0.28
0.65,0.76,0.39,0.84,0.28,0.71,0.54,0.16
0.4,0.7,0.5,0.74,0.3,0.58,0.62,0.42
0.59,0.84,0.29,0.78,0.36,0.67,0.61,0.13
0.25,0.28,0.0,0.06,0.23,0.5,0.0,0.32
0.6,0.65,0.31,0.7,0.29,0.59,0.57,0.3
0.54,0.69,0.37,0.77,0.33,0.7,0.11,0.23
0.37,0.61,0.32,0.69,0.41,0.62,0.45,0.19
0.6,0.4,0.7,0.6,0.46,0.65,0.64,0.57
0.62,0.63,0.41,0.85,0.21,0.61,0.57,0.43
0.64,0.83,0.44,0.72,0.39,0.66,0.47,0.14
0.81,0.46,0.67,0.73,0.56,0.71,0.77,0.97
0.65,0.66,0.5,0.8,0.28,0.65,0.52,0.34
0.67,0.82,0.47,0.61,0.26,0.64,0.5,0.29
0.64,0.48,0.69,0.69,0.32,0.63,0.47,0.4
0.4,0.51,0.46,0.54,0.33,0.73,0.77,0.35
0.69,0.35,0.73,0.72,0.57,0.69,0.9,0.77
0.42,0.29,0.03,0.03,0.17,0.63,0.08,0.18
0.56,0.5,0.43,0.61,0.35,0.77,0.52,0.3
0.54,0.85,0.56,0.57,0.31,0.68,0.58,0.23
0.5,0.53,0.18,0.62,0.23,0.67,0.3,0.27
0.66,0.9,0.36,0.71,0.37,0.74,0.42,0.3
1.0,0.41,0.61,0.84,0.6,0.67,0.84,0.9
0.37,0.47,0.59,0.82,0.17,0.7,0.34,0.41
0.53,0.84,0.43,0.53,0.42,0.64,0.5,0.29
0.46,0.79,0.35,0.82,0.33,0.68,0.5,0.42
0.52,0.77,0.63,0.65,0.36,0.75,0.77,0.54
0.61,0.7,0.32,0.43,0.39,0.75,0.47,0.24
0.49,0.45,0.39,0.53,0.38,0.61,0.55,0.14
0.33,0.6,0.45,0.9,0.43,0.6,0.73,0.54
0.39,0.6,0.62,0.81,0.45,0.56,0.52,0.24
0.32,0.02,0.91,0.67,0.64,0.7,0.81,0.68
0.73,0.57,0.42,0.52,0.29,0.65,0.51,0.27
0.47,0.22,0.78,0.55,0.7,0.69,0.77,0.61
