Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
0.67,0.75,0.5,0.88,0.85,0.86,0.73,0.62
0.92,0.42,0.5,0.78,0.46,0.84,0.87,0.44
0.67,0.33,0.56,0.88,0.85,0.86,0.73,0.69
0.5,0.25,0.69,0.9,0.0,0.88,0.73,0.5
0.67,0.42,0.5,0.86,0.85,0.82,0.73,0.75
0.58,0.58,0.44,0.88,0.62,0.92,0.87,0.44
0.42,0.58,0.62,0.61,0.77,0.84,0.93,0.62
0.58,0.75,0.31,0.86,0.08,0.76,0.8,0.12
0.83,0.75,0.62,0.98,0.77,0.78,0.4,0.5
0.58,0.5,0.62,0.88,0.77,0.88,0.8,0.62
0.83,0.42,0.69,1.0,0.69,0.86,0.73,0.62
0.42,0.42,0.5,0.9,0.54,0.78,0.73,0.5
0.58,0.67,0.31,0.9,0.69,0.88,0.67,0.56
0.75,0.75,0.5,0.86,0.77,0.74,0.93,0.38
0.67,0.0,0.31,0.92,0.85,0.76,0.2,0.88
0.5,1.0,0.38,0.88,0.85,0.86,0.73,0.69
0.58,0.67,0.5,0.86,0.92,0.88,0.73,0.62
0.67,0.5,0.44,0.84,0.85,0.86,0.73,0.5
0.5,0.67,0.38,0.84,0.54,0.8,1.0,0.5
0.58,0.75,0.5,0.86,0.85,0.86,0.73,0.69
0.58,0.42,0.44,0.86,0.77,0.9,0.73,0.56
0.67,0.5,0.44,0.84,0.85,0.86,0.8,0.56
0.83,0.42,0.56,0.9,0.54,0.8,0.0,0.81
0.42,0.42,0.5,0.9,0.54,0.78,0.73,0.5
0.75,0.5,0.5,0.9,0.46,0.84,1.0,0.25
0.75,0.33,0.5,0.84,0.77,0.88,0.67,0.62
0.67,0.5,0.56,0.94,0.46,0.88,0.93,0.69
0.83,0.42,0.5,0.92,0.85,0.82,0.8,0.31
0.58,0.5,0.62,0.86,0.85,0.84,0.53,0.75
0.75,0.5,0.44,0.86,0.77,0.84,0.73,0.62
0.58,0.42,0.56,0.82,0.92,0.88,0.87,0.25
0.58,0.5,0.38,0.86,0.85,0.84,0.73,0.62
0.42,0.5,0.5,0.92,0.62,0.8,0.73,0.56
0.75,0.5,0.75,0.82,0.69,0.9,0.6,0.19
0.75,0.33,0.44,0.88,0.92,0.9,0.8,0.62
0.75,0.75,0.81,0.84,0.69,0.9,0.4,0.75
0.67,0.5,0.44,0.84,0.85,0.86,0.8,0.56
0.67,0.25,0.5,0.86,0.92,0.82,0.47,0.62
0.67,0.42,0.56,0.88,0.85,0.9,0.8,0.62
0.92,0.33,0.69,0.8,0.38,0.72,0.73,0.25
0.58,0.5,0.56,0.88,0.77,0.76,0.8,0.69
0.58,0.42,0.44,0.86,0.77,0.9,0.73,0.56
0.67,0.58,0.62,0.78,0.31,0.84,0.67,0.38
0.58,0.58,0.62,0.92,0.62,0.9,0.67,0.56
0.67,0.75,0.5,0.86,0.85,0.88,0.73,0.5
0.67,0.58,0.5,0.9,0.62,0.86,0.8,0.44
0.58,0.42,0.25,0.0,0.85,0.92,0.73,0.94
0.58,0.58,0.44,0.84,0.85,0.88,0.73,0.69
0.58,0.75,0.62,0.82,0.77,0.76,0.27,0.31
0.58,0.92,0.62,0.94,0.54,0.84,0.33,0.19
0.42,0.58,0.0,0.75,0.77,0.88,0.73,0.25
0.75,0.5,0.5,0.9,0.46,0.84,1.0,0.25
1.0,0.33,0.62,0.84,0.54,0.84,0.93,0.62
0.58,0.5,0.38,0.86,0.85,0.84,0.73,0.62
0.58,0.25,0.56,0.86,0.85,0.9,0.6,0.81
0.58,0.5,0.5,0.88,0.77,0.8,0.67,0.69
0.67,0.0,0.31,0.92,0.85,0.76,0.2,0.88
0.58,0.58,0.44,0.84,0.85,0.88,0.73,0.69
0.67,0.5,0.62,0.86,0.77,0.86,0.73,0.88
0.58,0.92,0.62,0.94,0.54,0.84,0.33,0.19
0.75,0.5,0.88,0.78,0.92,0.88,0.8,0.38
0.92,0.33,0.69,0.8,0.38,0.72,0.73,0.25
0.75,0.5,0.44,0.86,0.77,0.82,0.8,0.69
0.83,0.42,0.44,0.86,0.85,0.0,0.8,0.56
0.58,0.58,0.56,0.78,0.69,0.86,0.87,0.44
0.75,0.5,0.44,0.86,0.77,0.84,0.73,0.62
0.67,0.5,0.5,0.94,0.69,0.88,0.47,0.88
0.67,1.0,0.5,0.84,0.85,0.84,0.73,0.69
0.33,0.58,1.0,0.86,0.92,0.8,0.73,0.56
0.83,0.33,0.38,0.86,0.92,0.88,0.67,0.75
0.58,0.5,0.56,0.84,0.85,0.88,0.53,0.56
0.75,0.5,0.88,0.78,0.92,0.88,0.8,0.38
0.58,0.42,0.25,0.0,0.85,0.92,0.73,0.94
0.58,0.67,0.5,0.86,0.92,0.88,0.73,0.62
0.67,0.5,1.0,0.96,0.69,0.86,0.8,0.19
0.67,0.5,0.5,0.84,0.85,1.0,0.8,0.69
0.5,0.67,0.44,0.86,0.85,0.88,0.73,0.62
0.33,0.67,0.69,0.92,0.54,0.76,0.87,0.31
0.5,0.25,0.69,0.86,0.85,0.66,0.67,0.25
0.58,0.75,0.62,0.82,0.77,0.76,0.27,0.31
0.5,0.67,0.56,0.78,0.85,0.78,0.6,0.25
0.75,0.33,0.44,0.88,0.92,0.9,0.8,0.62
0.67,0.33,0.56,0.88,0.85,0.86,0.73,0.69
0.92,0.42,0.5,0.78,0.46,0.84,0.87,0.44
0.67,0.5,0.5,0.86,0.85,0.88,0.73,0.62
0.58,0.5,0.62,0.88,0.77,0.88,0.8,0.62
0.58,0.25,0.25,0.9,0.54,0.8,0.87,0.56
0.67,0.83,0.5,0.86,0.85,0.84,0.73,0.75
0.83,0.42,0.44,0.86,0.85,0.0,0.8,0.56
0.58,0.5,0.5,0.84,1.0,0.88,0.53,0.88
0.5,0.25,0.69,0.9,0.0,0.88,0.73,0.5
0.58,0.33,0.5,0.86,0.69,0.82,0.67,1.0
0.75,0.42,0.38,0.86,0.92,0.92,0.8,0.62
0.58,0.5,0.62,0.86,0.85,0.84,0.53,0.75
0.67,0.58,0.38,0.8,0.62,0.84,0.73,0.25
0.83,0.42,0.56,0.9,0.54,0.8,0.0,0.81
0.67,0.5,0.5,0.94,0.69,0.88,0.47,0.88
0.75,0.42,0.5,0.84,0.92,0.88,0.8,0.62
0.5,0.33,0.62,0.88,0.85,0.76,0.8,0.0
0.75,0.33,0.5,0.84,0.77,0.88,0.67,0.62
0.58,0.75,0.5,0.86,0.85,0.86,0.73,0.69
0.83,0.42,0.5,0.92,0.85,0.82,0.8,0.31
0.58,0.58,0.44,0.88,0.62,0.92,0.87,0.44
0.58,0.42,0.62,0.86,0.77,0.78,0.8,0.75
0.58,0.5,0.56,0.84,0.85,0.88,0.53,0.56
0.67,0.42,0.5,0.86,0.85,0.88,0.73,0.69
0.75,0.42,0.62,0.75,0.62,0.84,0.4,0.75
0.75,0.5,0.44,0.86,0.77,0.82,0.8,0.69
0.42,0.5,0.5,0.92,0.62,0.8,0.73,0.56
0.67,0.5,0.56,0.94,0.46,0.88,0.93,0.69
0.58,0.67,0.56,0.86,0.85,0.9,0.67,0.44
0.67,0.83,0.5,0.86,0.85,0.84,0.73,0.75
0.58,0.67,0.31,0.9,0.69,0.88,0.67,0.56
0.58,0.67,0.5,0.88,0.85,0.88,0.8,0.44
0.67,0.5,0.5,0.86,0.85,0.88,0.73,0.62
0.17,0.5,0.56,0.75,0.77,0.84,0.93,0.31
0.67,0.42,0.5,0.86,0.85,0.88,0.73,0.69
1.0,0.33,0.62,0.84,0.54,0.84,0.93,0.62
0.75,0.92,0.75,0.92,0.69,0.78,0.93,0.31
0.67,1.0,0.5,0.86,0.92,0.88,0.6,0.62
0.67,0.5,0.44,0.84,0.85,0.86,0.73,0.5
0.75,0.42,0.38,0.86,0.92,0.92,0.8,0.62
0.33,0.58,1.0,0.86,0.92,0.8,0.73,0.56
0.5,0.58,0.5,0.82,0.54,0.8,1.0,0.19
0.67,0.5,0.5,0.84,0.85,1.0,0.8,0.69
0.75,0.42,0.62,0.75,0.62,0.84,0.4,0.75
0.58,0.42,0.5,0.88,0.92,0.88,0.73,0.5
0.67,0.42,0.62,0.86,0.85,0.86,0.67,0.62
0.67,0.33,0.38,0.82,1.0,0.82,0.73,0.56
0.75,0.92,0.75,0.92,0.69,0.78,0.93,0.31
0.58,0.42,0.56,0.82,0.92,0.88,0.87,0.25
0.83,0.75,0.62,0.98,0.77,0.78,0.4,0.5
0.75,0.75,0.5,0.86,0.77,0.74,0.93,0.38
0.5,0.67,0.56,0.78,0.85,0.78,0.6,0.25
0.67,0.42,0.62,0.86,0.85,0.86,0.67,0.62
0.5,0.33,0.62,0.88,0.85,0.76,0.8,0.0
0.67,0.5,0.44,0.9,0.85,0.8,0.87,0.5
0.58,0.33,0.5,0.9,0.77,0.8,0.67,0.44
0.0,0.5,0.75,0.9,0.54,0.78,0.6,0.25
0.75,0.5,0.5,0.86,0.77,0.82,0.8,0.75
0.58,0.25,0.25,0.9,0.54,0.8,0.87,0.56
0.75,0.5,0.5,0.86,0.77,0.82,0.8,0.75
0.75,0.75,0.81,0.84,0.69,0.9,0.4,0.75
0.75,0.5,0.75,0.82,0.69,0.9,0.6,0.19
0.67,0.5,0.62,0.86,0.77,0.86,0.73,0.88
0.67,0.5,0.56,0.86,0.85,0.76,0.67,0.31
0.67,0.58,0.62,0.78,0.31,0.84,0.67,0.38
0.67,0.42,0.56,0.88,0.85,0.9,0.8,0.62
0.58,0.33,0.5,0.9,0.77,0.8,0.67,0.44
0.67,0.58,0.5,0.9,0.62,0.86,0.8,0.44
0.58,0.5,0.5,0.84,1.0,0.88,0.53,0.88
0.67,0.33,0.38,0.82,1.0,0.82,0.73,0.56
0.67,0.75,0.5,0.86,0.85,0.88,0.73,0.5
0.67,0.5,1.0,0.96,0.69,0.86,0.8,0.19
0.83,0.33,0.38,0.86,0.92,0.88,0.67,0.75
0.25,0.58,0.38,0.65,0.69,0.84,1.0,0.5
0.58,0.42,0.25,0.0,0.85,0.92,0.73,0.94
0.58,0.5,0.5,0.88,0.77,0.8,0.67,0.69
0.25,0.58,0.38,0.65,0.69,0.84,1.0,0.5
0.75,0.75,0.81,0.84,0.69,0.9,0.4,0.75
0.33,0.67,0.69,0.92,0.54,0.76,0.87,0.31
0.58,0.33,0.5,0.86,0.85,0.8,0.73,0.62
0.67,0.5,0.5,0.86,0.77,0.8,0.8,0.69
0.67,0.25,0.5,0.86,0.92,0.82,0.47,0.62
0.58,0.75,0.31,0.86,0.08,0.76,0.8,0.12
0.67,0.5,0.56,0.88,0.85,0.82,0.73,0.69
0.67,0.42,0.62,0.82,0.92,0.88,0.47,0.81
0.58,0.5,0.62,0.86,0.85,0.84,0.53,0.75
