TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_13/14/28,0.6,0.19,0.73,0.89,0.82,0.67,0.7,0.7
"1,69147E+12",(08/08/2023)_13/06/47,0.9,0.81,0.82,0.89,0.76,0.44,1.0,0.0
"1,69147E+12",(08/08/2023)_13/09/48,0.8,0.75,0.18,0.97,0.82,0.22,0.9,0.4
"1,69148E+12",(08/08/2023)_13/14/40,0.6,0.12,0.73,0.92,0.94,0.67,0.7,0.7
"1,69147E+12",(08/08/2023)_13/07/39,0.7,0.25,0.73,0.92,0.76,0.89,0.8,0.7
"1,69148E+12",(08/08/2023)_13/14/04,0.6,0.38,0.64,0.92,0.71,0.78,0.7,0.8
"1,69147E+12",(08/08/2023)_13/07/11,0.7,0.38,0.73,0.92,0.88,0.67,0.7,0.5
"1,69148E+12",(08/08/2023)_13/11/28,0.7,0.38,0.45,0.97,0.59,0.89,0.7,0.9
"1,69147E+12",(08/08/2023)_13/07/47,0.7,0.19,0.73,0.92,0.76,0.67,0.7,0.8
"1,69148E+12",(08/08/2023)_13/11/36,0.0,0.38,0.64,0.86,0.82,1.0,0.7,1.0
"1,69148E+12",(08/08/2023)_13/11/32,0.6,0.75,0.73,0.92,0.59,0.67,0.7,0.9
"1,69148E+12",(08/08/2023)_13/13/32,0.6,0.81,0.09,0.94,0.82,0.22,0.8,0.7
"1,69147E+12",(08/08/2023)_13/08/39,0.7,0.69,0.73,0.94,0.88,0.67,0.7,0.5
"1,69148E+12",(08/08/2023)_13/10/56,0.6,0.38,0.73,0.94,0.88,0.67,0.7,0.7
"1,69148E+12",(08/08/2023)_13/11/08,0.6,0.44,0.73,0.92,0.82,0.56,0.7,0.6
"1,69148E+12",(08/08/2023)_13/11/20,0.6,0.31,0.73,0.92,0.76,0.78,0.7,0.7
"1,69148E+12",(08/08/2023)_13/11/20,0.6,0.31,0.73,0.92,0.76,0.78,0.7,0.7
"1,69148E+12",(08/08/2023)_13/13/24,0.7,0.81,0.09,0.92,0.76,0.67,0.7,0.7
"1,69148E+12",(08/08/2023)_13/13/24,0.7,0.81,0.09,0.92,0.76,0.67,0.7,0.7
"1,69147E+12",(08/08/2023)_13/07/43,0.7,0.44,0.73,0.92,0.76,0.56,0.7,0.7
"1,69148E+12",(08/08/2023)_13/10/56,0.6,0.38,0.73,0.94,0.88,0.67,0.7,0.7
"1,69147E+12",(08/08/2023)_13/07/15,0.7,0.62,0.73,0.92,0.76,0.67,0.7,0.6
"1,69148E+12",(08/08/2023)_13/11/44,0.6,0.75,0.55,0.92,0.71,0.67,0.7,0.6
"1,69147E+12",(08/08/2023)_13/06/51,0.7,0.44,0.64,0.92,0.59,0.78,0.9,1.0
"1,69147E+12",(08/08/2023)_13/09/43,0.4,1.0,0.82,0.86,0.94,1.0,0.8,0.8
"1,69147E+12",(08/08/2023)_13/08/31,0.7,0.5,0.55,0.89,0.94,0.56,0.8,0.9
"1,69147E+12",(08/08/2023)_13/09/23,0.7,0.38,0.73,0.92,0.88,0.67,0.8,0.6
"1,69148E+12",(08/08/2023)_13/13/56,0.6,0.56,0.73,0.89,0.71,0.56,0.8,0.7
"1,69147E+12",(08/08/2023)_13/07/39,0.7,0.25,0.73,0.92,0.76,0.89,0.8,0.7
"1,69148E+12",(08/08/2023)_13/10/00,0.9,0.69,0.64,0.86,0.88,0.11,0.7,0.3
"1,69147E+12",(08/08/2023)_13/07/08,0.7,0.75,0.73,0.92,0.82,0.78,0.7,0.8
"1,69148E+12",(08/08/2023)_13/10/20,0.6,0.75,0.73,0.94,0.88,0.56,0.7,0.9
"1,69148E+12",(08/08/2023)_13/12/40,0.6,0.44,0.73,0.92,0.88,0.67,0.8,0.9
"1,69147E+12",(08/08/2023)_13/08/35,0.7,0.62,0.82,0.92,0.94,0.56,0.9,0.6
"1,69148E+12",(08/08/2023)_13/12/24,0.7,0.44,0.73,0.92,0.94,0.67,0.8,0.5
"1,69147E+12",(08/08/2023)_13/08/00,0.7,0.38,0.73,0.92,0.65,0.67,0.8,0.6
"1,69148E+12",(08/08/2023)_13/11/40,0.5,0.75,0.73,0.86,0.71,0.67,0.6,0.9
"1,69147E+12",(08/08/2023)_13/06/47,0.9,0.81,0.82,0.89,0.76,0.44,1.0,0.0
"1,69147E+12",(08/08/2023)_13/09/36,0.6,0.0,0.36,0.92,0.76,0.67,0.7,0.6
"1,69147E+12",(08/08/2023)_13/07/43,0.7,0.44,0.73,0.92,0.76,0.56,0.7,0.7
"1,69148E+12",(08/08/2023)_13/14/00,0.5,0.38,0.73,0.89,0.88,0.67,0.7,0.3
"1,69147E+12",(08/08/2023)_13/06/31,0.8,0.5,0.82,0.72,0.71,0.56,0.4,0.4
"1,69148E+12",(08/08/2023)_13/13/56,0.6,0.56,0.73,0.89,0.71,0.56,0.8,0.7
"1,69147E+12",(08/08/2023)_13/06/36,0.7,0.44,0.73,0.81,0.71,0.56,0.8,0.6
"1,69147E+12",(08/08/2023)_13/07/03,0.7,0.69,0.55,0.86,0.76,0.67,0.7,0.7
"1,69148E+12",(08/08/2023)_13/11/24,0.7,0.31,0.73,0.92,0.0,0.56,0.8,0.8
"1,69148E+12",(08/08/2023)_13/13/12,0.8,0.81,0.36,0.92,0.76,0.67,0.6,0.9
"1,69148E+12",(08/08/2023)_13/11/44,0.6,0.75,0.55,0.92,0.71,0.67,0.7,0.6
"1,69147E+12",(08/08/2023)_13/08/39,0.7,0.69,0.73,0.94,0.88,0.67,0.7,0.5
"1,69147E+12",(08/08/2023)_13/08/31,0.7,0.5,0.55,0.89,0.94,0.56,0.8,0.9
"1,69147E+12",(08/08/2023)_13/07/52,0.7,0.12,0.73,0.92,0.76,0.89,0.7,0.4
"1,69148E+12",(08/08/2023)_13/10/32,0.6,0.56,0.73,0.94,0.88,0.67,0.7,0.7
"1,69147E+12",(08/08/2023)_13/08/16,0.7,0.69,0.73,0.92,0.94,0.67,0.8,0.8
"1,69147E+12",(08/08/2023)_13/06/27,0.9,0.56,0.91,0.89,0.82,0.89,0.8,0.2
"1,69148E+12",(08/08/2023)_13/12/16,0.6,0.25,0.73,0.0,0.59,0.56,0.9,0.9
"1,69148E+12",(08/08/2023)_13/12/24,0.7,0.44,0.73,0.92,0.94,0.67,0.8,0.5
"1,69148E+12",(08/08/2023)_13/11/08,0.6,0.44,0.73,0.92,0.82,0.56,0.7,0.6
"1,69148E+12",(08/08/2023)_13/11/04,0.6,0.38,0.73,0.92,0.82,0.56,0.7,0.9
"1,69147E+12",(08/08/2023)_13/08/07,0.6,0.38,0.73,0.92,0.76,0.56,0.7,0.5
"1,69148E+12",(08/08/2023)_13/14/04,0.6,0.38,0.64,0.92,0.71,0.78,0.7,0.8
