Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
0.59,0.17,0.0,0.87,0.64,1.0,0.5,0.87
0.53,0.5,0.27,0.91,0.82,0.71,0.81,0.87
0.65,0.33,0.23,0.87,0.82,0.43,0.0,0.87
0.47,0.33,0.23,0.82,0.82,0.43,0.88,0.73
0.59,0.67,0.77,0.87,0.82,0.86,1.0,0.8
0.65,0.33,0.27,0.89,0.82,0.14,0.62,0.8
0.0,0.17,0.14,0.84,0.82,0.71,0.69,0.8
0.71,0.33,0.18,0.87,0.82,0.43,0.56,0.93
0.47,0.33,0.23,0.82,0.82,0.43,0.88,0.73
0.47,0.33,0.23,0.84,0.73,0.86,0.88,0.67
0.35,0.33,0.23,0.84,0.82,0.43,0.81,0.67
0.47,0.33,0.27,0.87,0.82,0.71,0.62,0.87
0.71,0.5,0.27,0.91,0.82,0.0,0.88,0.87
0.47,0.17,0.68,0.91,0.45,0.0,0.62,0.87
0.71,0.33,0.27,0.89,0.82,0.57,0.75,0.73
0.53,0.33,0.32,0.82,0.82,0.43,0.56,0.8
0.59,0.33,0.23,0.87,0.82,0.43,0.56,0.73
0.53,0.33,0.32,0.87,0.82,0.86,0.56,0.73
0.65,0.33,0.18,0.87,0.64,0.43,0.62,0.8
0.47,0.33,0.27,0.84,0.82,0.43,0.62,0.87
0.47,0.33,0.23,0.84,0.73,0.86,0.88,0.67
0.82,0.0,0.64,1.0,0.45,0.14,0.69,0.2
0.59,0.33,0.23,0.84,0.82,0.43,0.5,0.8
0.65,0.17,0.82,0.98,0.0,0.71,0.88,0.93
0.59,0.33,0.18,0.87,0.91,0.57,0.69,0.8
0.65,0.33,0.27,0.91,0.64,0.43,0.56,0.73
0.82,1.0,0.64,0.91,0.64,0.57,0.31,0.47
0.59,0.5,0.23,0.84,0.82,0.29,0.56,0.87
0.59,0.5,0.32,0.87,0.82,0.43,0.5,0.87
0.53,0.33,0.36,0.82,0.73,0.71,0.56,0.8
0.82,0.0,0.64,1.0,0.45,0.14,0.69,0.2
0.82,1.0,0.64,0.91,0.64,0.57,0.31,0.47
0.65,0.17,0.82,0.98,0.0,0.71,0.88,0.93
0.65,0.33,0.23,0.84,0.82,0.14,0.69,0.87
0.71,0.33,0.18,0.87,0.82,0.43,0.56,0.93
0.82,1.0,0.64,0.91,0.64,0.57,0.31,0.47
0.65,0.33,0.45,0.82,0.91,0.0,0.62,0.8
0.47,0.33,0.27,0.87,0.82,0.57,0.62,0.67
0.65,0.17,0.82,0.98,0.0,0.71,0.88,0.93
0.53,0.33,0.45,0.87,0.82,0.29,0.62,0.8
0.59,0.67,0.77,0.87,0.82,0.86,1.0,0.8
0.53,0.5,0.27,0.89,0.82,0.43,0.5,0.8
0.65,0.33,0.23,0.87,0.82,0.71,0.44,0.87
0.47,0.33,0.27,0.84,0.82,0.43,0.62,0.87
0.53,0.5,0.14,0.89,0.82,0.57,0.81,0.87
0.59,0.33,0.18,0.87,0.91,0.57,0.69,0.8
0.65,0.33,0.18,0.87,0.82,0.43,0.56,0.87
0.65,0.33,0.18,0.87,0.64,0.43,0.62,0.8
0.82,1.0,0.64,0.91,0.64,0.57,0.31,0.47
0.65,0.33,0.23,0.84,0.82,0.14,0.69,0.87
0.53,0.33,0.09,0.89,0.82,0.57,0.75,0.87
0.59,0.33,0.23,0.87,0.82,0.43,0.56,0.73
0.41,0.17,0.18,0.87,0.82,0.29,0.75,0.87
0.65,0.33,0.27,0.91,0.64,0.43,0.56,0.73
0.53,0.33,0.45,0.87,0.82,0.29,0.62,0.8
0.47,0.5,0.36,0.84,0.82,1.0,0.69,0.87
0.53,0.5,0.32,0.82,0.73,0.29,0.56,0.8
0.65,0.33,0.27,0.89,0.82,0.14,0.62,0.8
0.71,0.5,0.27,0.91,0.82,0.0,0.88,0.87
0.59,0.33,0.23,0.87,0.82,0.43,0.56,0.73
0.59,0.5,0.32,0.87,0.82,0.43,0.5,0.87
0.65,0.17,0.82,0.98,0.0,0.71,0.88,0.93
0.65,0.33,0.23,0.87,0.82,0.71,0.44,0.87
0.47,0.33,0.23,0.84,0.73,0.86,0.88,0.67
0.47,0.5,0.23,0.82,0.82,0.57,0.69,0.87
0.53,0.33,0.09,0.89,0.82,0.57,0.75,0.87
0.59,0.17,0.32,0.87,0.82,0.29,0.5,0.87
0.53,0.5,0.14,0.89,0.82,0.57,0.81,0.87
0.65,0.33,0.23,0.84,0.82,0.14,0.69,0.87
0.47,0.67,0.77,0.98,1.0,0.86,0.81,0.0
0.65,0.33,0.23,0.87,0.82,0.86,0.81,0.87
0.47,0.67,0.77,0.98,1.0,0.86,0.81,0.0
0.59,0.33,0.18,0.8,0.82,0.43,0.44,0.8
1.0,0.83,0.27,0.91,0.45,0.86,0.25,0.87
0.47,0.33,0.27,0.87,0.82,0.71,0.62,0.87
1.0,0.83,0.27,0.91,0.45,0.86,0.25,0.87
0.53,0.5,0.32,0.82,0.73,0.29,0.56,0.8
0.71,0.33,0.27,0.84,0.82,0.71,0.62,0.87
0.41,0.17,0.18,0.87,0.82,0.29,0.75,0.87
0.53,0.33,0.32,0.87,0.82,0.86,0.56,0.73
0.35,0.33,0.23,0.84,0.82,0.43,0.81,0.67
0.53,0.5,0.27,0.89,0.82,0.43,0.5,0.8
