TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_15/44/57,0.38,0.31,0.8,0.86,0.5,0.5,0.18,0.7
"1,69148E+12",(08/08/2023)_15/42/23,0.5,0.62,0.8,0.86,0.14,0.6,0.47,0.8
"1,69148E+12",(08/08/2023)_15/44/07,0.38,0.54,0.8,0.43,0.07,0.7,0.47,1.0
"1,69148E+12",(08/08/2023)_15/42/53,0.5,0.54,0.8,0.57,0.14,0.7,0.47,0.9
"1,69148E+12",(08/08/2023)_15/43/47,0.38,0.54,0.8,1.0,0.14,0.7,0.53,0.8
"1,69148E+12",(08/08/2023)_15/42/19,0.38,0.62,0.8,0.57,0.07,0.7,0.53,0.8
"1,69148E+12",(08/08/2023)_15/43/43,0.38,0.54,0.8,0.57,0.07,0.6,0.53,0.8
"1,69148E+12",(08/08/2023)_15/41/41,0.38,0.92,0.8,0.71,0.14,0.2,0.53,0.8
"1,69148E+12",(08/08/2023)_15/44/49,0.25,0.15,0.6,0.86,0.07,0.4,0.41,0.5
"1,69148E+12",(08/08/2023)_15/44/45,0.62,0.85,0.8,0.57,0.07,0.6,0.53,0.8
"1,69148E+12",(08/08/2023)_15/42/34,0.38,0.54,0.8,0.57,0.21,0.6,0.53,0.8
"1,69148E+12",(08/08/2023)_15/44/37,0.25,0.62,0.8,0.86,0.14,0.6,0.53,0.8
"1,69148E+12",(08/08/2023)_15/43/03,0.38,0.62,0.8,0.57,0.07,0.6,0.53,0.8
"1,69148E+12",(08/08/2023)_15/41/02,0.62,0.62,0.8,0.71,0.14,0.6,0.47,0.8
"1,69148E+12",(08/08/2023)_15/44/55,1.0,0.62,0.4,0.57,0.43,0.3,0.88,0.6
"1,69148E+12",(08/08/2023)_15/42/59,0.38,1.0,0.8,0.57,0.07,0.7,0.47,0.8
"1,69148E+12",(08/08/2023)_15/43/17,0.38,0.92,0.8,0.57,0.14,0.7,0.47,0.9
"1,69148E+12",(08/08/2023)_15/41/34,0.38,0.62,0.8,0.57,0.14,0.7,0.53,0.8
"1,69148E+12",(08/08/2023)_15/43/57,0.38,0.62,0.8,0.57,0.07,0.7,0.59,0.9
