Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
0.7,0.71,0.67,0.0,1.0,0.7,1.0,0.43
0.5,0.29,0.83,0.5,0.75,0.8,0.43,0.43
0.4,0.29,0.83,0.5,0.5,0.7,0.43,0.43
0.5,0.43,1.0,0.5,0.75,0.6,0.71,0.5
0.5,0.29,0.83,0.5,0.75,0.8,0.57,0.43
0.5,0.29,0.83,0.5,0.5,0.6,0.29,0.43
0.5,0.43,0.67,0.5,0.75,0.7,0.43,0.36
0.5,0.43,1.0,0.5,0.5,0.6,0.71,0.5
0.7,0.29,0.5,1.0,0.75,0.6,0.57,0.43
0.6,0.43,0.33,0.5,0.75,0.7,0.29,0.57
0.5,0.14,0.83,0.5,0.5,0.5,0.0,0.5
0.5,1.0,0.83,0.5,0.75,0.6,0.29,0.36
0.5,0.43,0.83,0.5,0.5,0.8,0.57,0.5
0.5,0.29,0.83,0.5,0.5,1.0,0.57,0.5
0.7,0.71,0.0,0.5,0.75,0.8,0.14,0.43
0.5,0.43,0.83,0.0,0.75,0.7,0.14,0.5
0.7,0.71,0.67,0.0,0.5,0.6,0.86,0.43
0.5,0.14,0.83,0.5,0.5,0.5,0.0,0.5
0.5,0.43,0.83,0.5,0.75,0.7,0.29,0.14
0.5,0.43,1.0,0.5,0.5,0.6,0.71,0.43
0.5,0.29,0.83,0.5,0.75,0.7,0.29,0.5
0.4,0.29,0.83,0.5,0.75,0.8,0.14,0.43
0.4,0.43,0.67,0.5,0.75,0.7,0.43,0.43
0.5,0.29,0.83,0.5,0.75,0.8,0.29,0.14
0.5,0.57,0.83,0.5,0.75,0.6,0.57,0.5
0.4,0.43,0.83,0.0,0.5,0.7,0.29,0.43
0.5,0.43,0.83,0.5,0.75,1.0,0.29,0.43
0.5,0.43,0.83,0.5,0.5,0.6,0.29,0.07
0.4,0.71,0.67,0.5,0.75,0.7,0.14,0.5
0.8,0.29,0.67,0.5,0.5,0.6,0.57,0.14
0.6,0.43,0.83,0.5,1.0,0.6,0.29,0.5
0.7,0.71,0.83,0.0,0.75,0.8,0.57,0.5
0.5,0.43,1.0,0.5,0.5,0.6,0.71,0.5
0.4,0.29,0.83,0.5,0.75,0.8,0.14,0.43
0.5,0.29,0.83,0.5,0.75,0.8,0.57,0.43
0.5,0.57,0.67,1.0,0.75,0.5,0.71,0.43
0.5,0.43,0.83,0.0,0.75,0.7,0.14,0.5
0.5,0.43,0.83,0.5,0.5,0.8,0.29,0.5
0.5,0.57,1.0,0.0,0.5,0.7,0.57,0.5
0.7,0.14,0.83,1.0,0.75,0.8,0.71,0.5
0.5,1.0,0.67,0.0,0.75,0.8,0.29,0.43
0.5,0.43,0.67,0.0,0.5,0.8,0.71,0.14
0.5,0.43,0.83,0.5,0.5,0.6,0.29,0.07
0.5,0.43,0.67,0.5,0.75,0.7,0.29,0.43
0.7,0.14,0.83,1.0,0.75,0.8,0.71,0.5
0.5,0.43,0.67,0.5,1.0,0.8,0.29,0.43
0.5,0.57,0.83,0.5,0.75,0.9,0.57,0.43
0.6,0.43,0.83,0.5,0.75,0.7,0.57,0.21
0.4,0.57,0.67,0.5,0.75,0.7,0.43,0.5
0.4,0.71,0.83,0.5,0.75,0.7,0.29,0.5
0.5,0.29,1.0,0.5,0.75,0.7,0.57,0.5
0.5,0.43,0.83,0.5,0.5,0.8,0.57,0.5
0.2,0.43,0.83,0.5,0.75,0.7,0.29,0.43
0.5,0.29,0.83,0.5,0.5,0.8,0.29,0.43
0.4,0.57,0.67,0.5,0.5,0.8,0.29,0.43
0.5,0.29,0.67,0.5,0.5,0.6,0.29,0.5
0.5,0.29,0.83,0.5,0.75,0.8,0.29,0.14
0.4,0.43,0.83,0.5,0.75,0.1,0.43,0.43
0.8,0.29,0.67,0.5,0.5,0.6,0.57,0.14
0.4,0.29,0.83,0.5,0.5,0.7,0.43,0.43
0.9,0.71,0.83,0.0,0.0,1.0,0.86,0.43
0.7,0.71,0.67,0.0,0.5,0.6,0.86,0.43
0.5,0.57,0.83,0.5,0.75,0.6,0.57,0.5
0.5,0.29,0.67,0.5,0.5,0.7,0.14,0.43
0.5,0.29,0.83,0.5,0.75,0.7,0.29,0.5
0.7,0.71,0.0,0.5,0.75,0.8,0.14,0.43
0.5,0.29,0.83,1.0,0.75,0.7,0.29,0.5
0.6,0.57,0.83,0.0,0.75,0.9,0.29,0.57
0.5,0.29,0.67,0.5,0.5,0.7,0.29,0.43
0.5,0.57,0.67,0.5,0.75,0.7,0.29,0.43
0.5,0.57,0.83,0.5,0.75,0.7,0.29,0.5
0.6,0.29,0.67,0.0,0.5,0.6,0.57,0.21
0.5,0.29,0.83,0.5,0.5,0.6,0.14,0.14
0.6,0.29,0.67,0.0,0.5,0.6,0.57,0.21
0.5,0.43,0.67,0.5,1.0,0.8,0.29,0.43
0.5,0.57,0.83,0.5,0.75,0.9,0.57,0.43
0.4,0.43,0.83,0.0,0.75,0.7,0.57,0.5
0.5,0.43,0.83,0.5,0.75,0.8,0.43,0.07
0.7,0.71,0.67,0.0,1.0,0.7,1.0,0.36
0.5,0.29,0.83,0.5,0.5,0.8,0.29,0.43
0.4,0.43,0.83,0.0,0.75,0.7,0.57,0.5
0.5,0.43,0.83,0.5,0.75,1.0,0.29,0.43
0.5,0.43,0.83,0.5,0.75,0.6,0.29,0.43
0.4,0.57,0.83,0.5,0.5,0.7,0.14,0.43
0.5,0.43,0.83,0.5,0.75,0.8,0.43,0.07
0.5,0.57,1.0,0.0,0.5,0.7,0.57,0.5
0.4,0.57,0.67,0.5,0.75,0.7,0.43,0.5
0.5,0.43,0.83,0.5,1.0,0.6,0.57,0.07
0.5,0.29,0.83,0.5,0.5,1.0,0.57,0.5
0.6,0.29,0.83,0.5,0.75,0.6,0.29,0.5
0.3,0.0,0.83,0.5,0.5,0.6,0.29,0.43
0.5,0.43,1.0,0.0,0.75,0.7,0.43,0.43
0.5,0.14,0.67,0.5,0.5,0.6,0.14,0.5
0.4,0.71,0.83,0.5,0.75,0.7,0.29,0.5
0.6,0.43,0.67,0.5,0.75,0.7,0.29,0.43
0.5,0.29,0.83,0.5,0.75,0.8,0.43,0.43
0.7,0.57,0.83,0.5,0.75,0.0,0.43,0.5
0.5,0.29,0.67,0.5,0.5,0.7,0.29,0.43
0.5,0.29,0.83,0.5,0.75,0.6,0.43,0.14
0.7,0.71,0.67,1.0,1.0,0.5,0.43,0.43
0.5,0.29,1.0,0.5,0.75,0.7,0.57,0.5
0.7,0.29,0.67,0.5,0.25,0.7,0.43,0.43
0.5,0.29,0.83,0.5,0.5,0.7,0.29,0.43
0.7,0.71,0.83,0.5,0.75,0.5,0.71,0.29
0.7,0.71,0.83,0.5,0.75,0.5,0.71,0.29
0.4,0.57,0.67,0.5,0.5,0.8,0.29,0.43
0.5,0.43,0.83,0.5,0.75,0.7,0.71,0.5
0.5,0.57,0.67,0.5,0.75,0.7,0.29,0.43
0.5,0.57,0.83,0.5,0.75,0.8,0.29,0.43
0.6,0.57,0.67,0.5,0.75,0.7,0.14,0.57
0.5,0.57,0.67,0.5,0.5,0.8,0.14,0.43
0.5,0.29,0.83,1.0,0.75,0.7,0.29,0.5
0.4,0.43,0.67,0.5,0.75,0.7,0.43,0.43
0.7,0.29,0.5,1.0,0.75,0.6,0.57,0.29
0.5,0.29,0.83,0.5,0.5,0.6,0.14,0.14
0.3,0.29,0.83,0.5,0.75,0.6,0.14,0.5
0.8,0.29,0.67,0.5,0.5,0.6,0.57,0.43
0.5,0.29,0.83,0.5,0.5,0.6,0.29,0.43
0.3,0.0,0.83,0.5,0.5,0.6,0.29,0.43
0.5,0.29,0.83,0.5,0.5,0.7,0.29,0.43
0.5,0.43,0.83,0.5,0.75,0.7,0.29,0.14
0.5,0.43,0.83,0.5,0.5,0.8,0.29,0.5
0.5,0.43,0.67,0.5,0.75,0.7,0.29,0.43
0.5,0.29,0.83,0.5,0.75,1.0,0.43,0.43
0.6,0.57,0.83,0.0,0.75,0.9,0.29,0.57
0.6,0.43,0.33,0.5,0.75,0.7,0.29,0.57
0.5,0.29,0.83,0.5,0.75,0.6,0.29,0.43
0.5,0.29,0.83,0.0,0.75,0.7,0.29,0.43
0.4,0.43,0.67,0.5,0.5,0.6,0.57,0.5
1.0,0.29,0.67,0.5,0.5,1.0,0.14,0.43
0.7,0.29,0.5,1.0,0.75,0.6,0.57,0.29
0.7,0.71,0.67,1.0,1.0,0.5,0.43,0.43
0.5,0.29,0.83,0.5,0.75,0.6,0.57,0.43
0.5,0.43,1.0,0.0,0.75,0.7,0.43,0.43
0.6,0.43,0.83,0.5,0.75,0.7,0.57,0.21
0.4,0.57,0.83,0.5,0.5,0.7,0.14,0.43
0.7,0.14,0.83,1.0,0.75,0.8,0.71,0.5
