TimeStampMillis,TimeStampFormatted,Wifi_B,Wifi_B_5G,Wifi_D,Wifi_C_5G,Wifi_D_5G,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/06/13,0.74,0.38,0.1,0.75,0.4,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/06/19,0.63,0.15,0.4,0.5,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/09,0.58,0.08,0.4,0.67,0.3,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/10/24,0.58,0.31,0.4,0.58,0.1,0.76,0.92,0.67
"1,69148E+12",(08/08/2023)_14/10/26,0.68,0.15,0.4,0.58,0.4,0.65,0.38,0.89
"1,69148E+12",(08/08/2023)_14/07/34,0.58,0.08,0.4,0.58,0.1,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/06/32,0.58,0.31,0.4,0.67,0.3,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/07/01,0.63,0.15,0.4,0.58,0.3,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/09/24,0.58,0.31,0.7,0.58,0.5,0.59,0.31,0.78
"1,69148E+12",(08/08/2023)_14/09/30,0.95,0.0,0.4,0.75,0.5,0.53,0.77,0.78
"1,69148E+12",(08/08/2023)_14/07/11,0.58,0.08,0.2,0.67,0.2,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/09/28,0.84,0.69,0.3,0.67,0.7,0.59,0.46,0.78
"1,69148E+12",(08/08/2023)_14/06/21,0.58,0.23,0.4,0.58,0.4,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/07/20,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/09/28,0.84,0.69,0.3,0.67,0.7,0.59,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/12,0.63,0.15,0.2,0.67,0.3,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/05/56,0.47,0.46,0.5,0.5,0.6,0.12,0.31,0.78
"1,69148E+12",(08/08/2023)_14/06/33,0.63,0.23,0.8,0.58,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/08/20,0.58,0.08,0.2,0.58,0.2,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/09/24,0.58,0.31,0.7,0.58,0.5,0.59,0.31,0.78
"1,69148E+12",(08/08/2023)_14/09/10,0.63,0.31,0.2,0.67,0.3,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/16,0.74,0.38,0.4,0.67,0.8,0.71,0.46,0.78
"1,69148E+12",(08/08/2023)_14/06/17,0.58,0.15,0.4,0.5,0.4,0.59,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/40,0.26,0.77,0.3,0.75,0.5,0.65,0.54,0.67
"1,69148E+12",(08/08/2023)_14/07/44,0.63,0.08,0.2,0.58,0.2,0.59,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/46,0.89,0.46,0.8,0.67,0.5,0.53,0.54,0.44
"1,69148E+12",(08/08/2023)_14/06/23,0.63,0.23,0.6,0.58,0.3,0.59,0.54,0.89
"1,69148E+12",(08/08/2023)_14/07/37,0.63,0.08,0.3,0.58,0.4,0.53,0.54,0.67
"1,69148E+12",(08/08/2023)_14/07/20,0.63,0.08,0.3,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/36,0.63,0.15,0.3,0.58,0.3,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/06/35,0.63,0.08,0.4,0.58,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/22,0.47,0.23,0.4,0.42,0.7,0.47,0.62,0.67
"1,69148E+12",(08/08/2023)_14/10/30,0.58,0.23,0.5,0.33,0.8,0.82,0.23,0.56
"1,69148E+12",(08/08/2023)_14/06/11,0.74,0.31,0.4,0.83,1.0,0.41,0.0,0.78
"1,69148E+12",(08/08/2023)_14/06/43,0.68,0.08,0.3,0.67,0.3,0.59,0.62,0.78
"1,69148E+12",(08/08/2023)_14/09/48,0.74,0.31,0.6,0.92,0.3,0.82,0.62,0.78
"1,69148E+12",(08/08/2023)_14/08/00,0.63,0.08,0.2,0.67,0.3,0.53,0.46,0.78
"1,69148E+12",(08/08/2023)_14/09/52,0.32,1.0,0.4,0.5,0.5,0.59,0.77,0.78
"1,69148E+12",(08/08/2023)_14/08/54,0.63,0.08,0.2,0.67,0.3,0.47,0.54,0.89
"1,69148E+12",(08/08/2023)_14/08/36,0.63,0.15,0.3,0.58,0.3,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/56,0.58,0.08,0.3,0.67,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/08/46,0.63,0.08,0.3,0.58,0.3,0.47,0.62,0.67
"1,69148E+12",(08/08/2023)_14/06/53,0.68,0.08,0.4,0.67,0.2,0.47,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/56,0.58,0.08,0.3,0.67,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/14,0.79,0.31,0.5,0.58,0.8,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/06/03,0.63,0.54,0.1,0.67,0.6,0.76,0.69,0.78
"1,69148E+12",(08/08/2023)_14/06/13,0.74,0.38,0.1,0.75,0.4,0.53,0.46,0.89
"1,69148E+12",(08/08/2023)_14/06/15,0.58,0.08,0.4,0.75,0.3,0.71,0.62,0.0
"1,69148E+12",(08/08/2023)_14/09/18,0.58,0.23,0.2,0.67,0.0,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/24,0.58,0.31,0.4,0.58,0.1,0.76,0.92,0.67
"1,69148E+12",(08/08/2023)_14/06/59,0.58,0.08,0.4,0.58,0.2,0.53,0.46,0.67
"1,69148E+12",(08/08/2023)_14/08/02,0.58,0.08,0.2,0.67,0.2,0.53,0.54,0.89
"1,69148E+12",(08/08/2023)_14/10/34,0.58,0.38,0.3,0.5,0.3,0.0,0.31,0.78
"1,69148E+12",(08/08/2023)_14/09/08,0.63,0.31,0.2,0.67,0.3,0.65,0.54,0.78
"1,69148E+12",(08/08/2023)_14/10/00,0.95,0.08,0.9,0.5,0.9,0.12,1.0,0.78
"1,69148E+12",(08/08/2023)_14/07/45,0.58,0.08,0.3,0.58,0.3,0.59,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/58,0.68,0.08,0.3,0.67,0.2,0.53,0.54,0.78
"1,69148E+12",(08/08/2023)_14/07/42,0.63,0.08,0.3,0.58,0.2,0.53,0.46,0.78
