TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69E+12",(08/08/2023)_12/26/15,0.38,0.33,1.0,0.5,0.5,0.6,0.71,0.5
"1,69E+12",(08/08/2023)_12/25/43,0.38,0.17,0.83,0.5,0.5,0.6,0.14,0.14
"1,69E+12",(08/08/2023)_12/24/31,0.38,0.17,0.83,0.5,0.5,0.6,0.29,0.43
"1,69E+12",(08/08/2023)_12/25/47,0.38,0.33,0.83,0.0,0.75,0.7,0.14,0.5
"1,69E+12",(08/08/2023)_12/24/07,1.0,0.17,0.67,0.5,0.5,1.0,0.14,0.43
"1,69E+12",(08/08/2023)_12/24/27,0.25,0.17,0.83,0.5,0.75,0.8,0.14,0.43
"1,69E+12",(08/08/2023)_12/24/29,0.38,0.33,0.83,0.5,0.5,0.8,0.29,0.5
"1,69E+12",(08/08/2023)_12/24/29,0.38,0.33,0.83,0.5,0.5,0.8,0.29,0.5
"1,69E+12",(08/08/2023)_12/21/41,0.38,0.5,0.83,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/25/27,0.5,0.5,0.83,0.0,0.75,0.9,0.29,0.57
"1,69E+12",(08/08/2023)_12/22/49,0.38,0.5,0.83,0.5,0.75,0.9,0.57,0.43
"1,69E+12",(08/08/2023)_12/21/57,0.38,0.17,0.83,0.5,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/23/41,0.0,0.33,0.83,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/05,0.38,0.17,0.83,0.5,0.5,1.0,0.57,0.5
"1,69E+12",(08/08/2023)_12/26/27,0.62,0.67,0.67,1.0,1.0,0.5,0.43,0.43
"1,69E+12",(08/08/2023)_12/26/26,0.62,0.0,0.83,1.0,0.75,0.8,0.71,0.5
"1,69E+12",(08/08/2023)_12/25/09,0.38,0.17,0.67,0.5,0.5,0.6,0.29,0.5
"1,69E+12",(08/08/2023)_12/25/00,0.25,0.5,0.67,0.5,0.75,0.7,0.43,0.5
"1,69E+12",(08/08/2023)_12/26/09,0.12,0.17,0.83,0.5,0.75,0.6,0.14,0.5
"1,69E+12",(08/08/2023)_12/24/17,0.38,0.33,0.83,0.5,0.75,0.6,0.29,0.43
"1,69E+12",(08/08/2023)_12/21/43,0.38,0.5,1.0,0.0,0.5,0.7,0.57,0.5
"1,69E+12",(08/08/2023)_12/25/05,0.38,0.33,0.83,0.5,0.5,0.6,0.57,0.5
"1,69E+12",(08/08/2023)_12/23/33,0.62,0.17,0.67,0.5,0.25,0.7,0.43,0.43
"1,69E+12",(08/08/2023)_12/26/19,0.5,0.33,0.33,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/25/15,0.25,0.5,0.83,0.5,0.5,0.7,0.14,0.43
"1,69E+12",(08/08/2023)_12/25/21,0.38,0.33,0.67,0.5,0.75,0.7,0.43,0.36
"1,69E+12",(08/08/2023)_12/23/47,0.38,0.33,0.83,0.5,0.75,1.0,0.29,0.43
"1,69E+12",(08/08/2023)_12/25/09,0.38,0.17,0.67,0.5,0.5,0.6,0.29,0.5
"1,69E+12",(08/08/2023)_12/24/45,0.38,1.0,0.83,0.5,0.75,0.6,0.29,0.36
"1,69E+12",(08/08/2023)_12/21/55,0.38,1.0,0.67,0.0,0.75,0.8,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/15,0.38,0.0,0.67,0.5,0.5,0.6,0.14,0.5
"1,69E+12",(08/08/2023)_12/24/15,0.38,0.0,0.67,0.5,0.5,0.6,0.14,0.5
"1,69E+12",(08/08/2023)_12/25/41,0.5,0.33,0.83,0.5,0.75,0.7,0.57,0.21
"1,69E+12",(08/08/2023)_12/25/23,0.38,0.5,0.83,0.5,0.75,0.9,0.43,0.07
"1,69E+12",(08/08/2023)_12/22/49,0.38,0.5,0.83,0.5,0.75,0.9,0.57,0.43
"1,69E+12",(08/08/2023)_12/26/30,0.75,0.17,0.67,0.5,0.5,0.6,0.57,0.43
"1,69E+12",(08/08/2023)_12/23/59,0.38,0.17,1.0,0.5,0.75,0.7,0.57,0.5
"1,69E+12",(08/08/2023)_12/24/35,0.25,0.33,0.83,0.0,0.5,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/39,0.38,0.33,1.0,0.0,0.75,0.7,0.43,0.43
"1,69E+12",(08/08/2023)_12/23/39,0.5,0.67,0.67,0.5,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/26/30,0.75,0.17,0.67,0.5,0.5,0.6,0.57,0.14
"1,69E+12",(08/08/2023)_12/21/37,0.12,0.17,0.83,0.5,0.75,0.6,0.29,0.43
"1,69E+12",(08/08/2023)_12/25/55,0.38,0.33,0.83,0.0,0.5,0.8,0.43,0.14
"1,69E+12",(08/08/2023)_12/23/15,0.88,0.67,0.83,0.0,0.0,1.0,0.86,0.43
"1,69E+12",(08/08/2023)_12/26/22,0.38,0.0,0.83,0.5,0.5,0.5,0.0,0.5
"1,69E+12",(08/08/2023)_12/23/59,0.38,0.17,1.0,0.5,0.75,0.7,0.57,0.5
"1,69E+12",(08/08/2023)_12/24/27,0.25,0.17,0.83,0.5,0.75,0.8,0.14,0.43
"1,69E+12",(08/08/2023)_12/25/49,0.5,0.17,0.67,0.0,0.5,0.6,0.57,0.21
"1,69E+12",(08/08/2023)_12/23/49,0.38,0.17,0.83,0.5,0.5,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/25,0.38,0.17,0.67,0.5,0.5,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/21/23,0.38,0.0,0.67,0.0,0.75,0.9,0.43,0.07
"1,69E+12",(08/08/2023)_12/23/39,0.5,0.67,0.67,0.5,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/24/39,0.38,0.33,1.0,0.0,0.75,0.7,0.43,0.43
"1,69E+12",(08/08/2023)_12/25/45,0.5,0.33,0.83,0.5,0.75,0.8,0.29,0.29
"1,69E+12",(08/08/2023)_12/23/45,0.38,0.5,0.83,0.5,0.75,0.6,0.57,0.5
"1,69E+12",(08/08/2023)_12/24/51,0.25,0.33,0.83,0.5,1.0,0.6,0.43,0.5
"1,69E+12",(08/08/2023)_12/24/21,0.38,0.17,0.67,0.5,0.5,0.7,0.14,0.43
"1,69E+12",(08/08/2023)_12/21/21,0.38,0.5,0.67,1.0,0.75,0.5,0.71,0.43
"1,69E+12",(08/08/2023)_12/26/26,0.62,0.0,0.83,1.0,0.75,0.8,0.71,0.5
"1,69E+12",(08/08/2023)_12/21/19,0.62,0.67,0.83,0.5,0.75,0.5,0.71,0.29
"1,69E+12",(08/08/2023)_12/26/27,0.62,0.67,0.67,1.0,1.0,0.5,0.43,0.43
"1,69E+12",(08/08/2023)_12/23/23,0.62,0.67,0.83,0.0,0.75,0.8,0.57,0.5
"1,69E+12",(08/08/2023)_12/25/33,0.38,0.5,0.83,0.5,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/25/39,0.38,0.33,0.67,0.0,0.5,0.8,0.71,0.14
"1,69E+12",(08/08/2023)_12/24/49,0.25,0.33,0.67,0.5,0.75,0.7,0.43,0.43
"1,69E+12",(08/08/2023)_12/25/01,0.38,0.17,0.83,1.0,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/26/09,0.12,0.17,0.83,0.5,0.75,0.6,0.14,0.43
"1,69E+12",(08/08/2023)_12/26/24,0.62,0.67,0.67,0.0,1.0,0.7,1.0,0.36
"1,69E+12",(08/08/2023)_12/22/51,0.38,0.33,0.83,0.5,0.5,0.8,0.57,0.5
"1,69E+12",(08/08/2023)_12/25/25,0.5,0.33,0.83,0.5,1.0,0.6,0.29,0.5
"1,69E+12",(08/08/2023)_12/24/11,0.38,0.17,0.83,0.5,0.75,0.8,0.43,0.43
"1,69E+12",(08/08/2023)_12/25/43,0.38,0.17,0.83,0.5,0.5,0.6,0.14,0.14
"1,69E+12",(08/08/2023)_12/25/19,0.25,0.33,0.67,0.5,0.5,0.6,0.57,0.5
"1,69E+12",(08/08/2023)_12/22/39,0.38,0.5,0.67,0.5,0.5,0.8,0.14,0.43
"1,69E+12",(08/08/2023)_12/25/11,0.25,0.17,0.83,0.5,0.5,0.7,0.43,0.43
"1,69E+12",(08/08/2023)_12/25/59,0.38,0.33,0.83,0.5,0.5,0.6,0.29,0.07
"1,69E+12",(08/08/2023)_12/25/21,0.38,0.33,0.67,0.5,0.75,0.7,0.43,0.36
"1,69E+12",(08/08/2023)_12/21/33,0.25,0.33,0.67,0.5,0.75,0.6,0.29,0.0
"1,69E+12",(08/08/2023)_12/23/37,0.62,0.67,0.0,0.5,0.75,0.8,0.14,0.43
"1,69E+12",(08/08/2023)_12/21/41,0.38,0.5,0.83,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/03,0.38,0.17,0.83,0.5,0.75,1.0,0.43,0.43
"1,69E+12",(08/08/2023)_12/24/21,0.38,0.17,0.67,0.5,0.5,0.7,0.14,0.43
"1,69E+12",(08/08/2023)_12/22/01,0.38,0.33,0.67,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/26/15,0.38,0.33,1.0,0.5,0.5,0.6,0.71,0.5
"1,69E+12",(08/08/2023)_12/21/19,0.62,0.67,0.83,0.5,0.75,0.5,0.71,0.29
"1,69E+12",(08/08/2023)_12/22/09,0.5,0.33,0.67,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/22/51,0.38,0.33,0.83,0.5,0.5,0.8,0.57,0.5
"1,69E+12",(08/08/2023)_12/25/29,0.5,0.5,0.67,0.5,0.75,0.7,0.14,0.57
"1,69E+12",(08/08/2023)_12/21/33,0.25,0.33,0.67,0.5,0.75,0.6,0.29,0.0
"1,69E+12",(08/08/2023)_12/25/41,0.5,0.33,0.83,0.5,0.75,0.7,0.57,0.21
"1,69E+12",(08/08/2023)_12/22/01,0.38,0.33,0.67,0.5,0.75,0.7,0.29,0.43
"1,69E+12",(08/08/2023)_12/26/09,0.12,0.17,0.83,0.5,0.75,0.6,0.14,0.5
"1,69E+12",(08/08/2023)_12/22/39,0.38,0.5,0.67,0.5,0.5,0.8,0.14,0.43
"1,69E+12",(08/08/2023)_12/24/13,0.38,0.17,0.83,0.5,0.5,0.8,0.29,0.43
"1,69E+12",(08/08/2023)_12/24/43,0.38,0.33,1.0,0.5,0.75,0.6,0.71,0.5
"1,69E+12",(08/08/2023)_12/24/37,0.38,0.17,0.83,0.5,0.75,0.7,0.14,1.0
"1,69E+12",(08/08/2023)_12/25/01,0.38,0.17,0.83,1.0,0.75,0.7,0.29,0.5
"1,69E+12",(08/08/2023)_12/25/15,0.25,0.5,0.83,0.5,0.5,0.7,0.14,0.43
"1,69E+12",(08/08/2023)_12/25/37,0.38,0.17,0.83,0.5,0.75,0.8,0.29,0.14
"1,69E+12",(08/08/2023)_12/26/08,0.38,0.33,0.83,0.5,0.75,0.8,0.43,0.07
"1,69E+12",(08/08/2023)_12/26/12,0.38,0.33,0.83,0.5,0.75,0.7,0.71,0.5
"1,69E+12",(08/08/2023)_12/24/31,0.38,0.17,0.83,0.5,0.5,0.6,0.29,0.43
"1,69E+12",(08/08/2023)_12/21/31,0.62,0.5,0.83,0.5,0.75,0.0,0.43,0.5
"1,69E+12",(08/08/2023)_12/23/43,0.25,0.67,0.83,0.5,0.75,0.7,0.29,0.5
