Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
0.25,0.39,0.62,0.83,0.2,0.9,0.17,0.62
0.12,0.44,0.75,1.0,0.3,0.8,0.17,0.62
0.38,0.44,0.62,0.83,0.7,0.9,0.17,0.75
0.38,0.39,0.25,1.0,0.3,0.8,0.67,0.5
0.5,0.22,0.5,0.67,0.5,0.8,0.33,0.5
1.0,0.39,1.0,0.83,0.3,0.9,0.5,0.62
0.25,0.39,0.62,0.67,0.3,0.9,0.0,0.88
0.38,0.39,0.62,0.0,0.0,0.8,0.83,0.75
0.62,0.0,0.62,0.83,0.4,0.9,0.67,0.75
0.0,0.56,0.75,0.67,0.1,0.7,0.67,0.5
0.5,0.44,0.62,0.67,0.3,0.9,0.17,0.5
0.5,0.39,0.62,0.5,0.1,0.8,0.83,0.62
0.0,0.61,0.62,1.0,0.2,0.9,0.33,0.75
0.38,0.44,0.62,0.67,0.3,1.0,0.17,0.62
0.25,0.39,0.75,0.83,0.4,0.9,0.33,0.75
0.5,0.44,0.62,1.0,0.4,0.8,0.33,0.88
0.62,0.44,0.62,1.0,0.3,0.8,0.33,0.5
0.62,0.44,0.5,0.83,0.9,0.9,0.33,0.5
0.25,0.61,0.75,1.0,0.6,0.9,0.17,0.62
0.5,0.22,0.88,0.83,0.4,0.9,0.33,0.75
0.5,0.39,0.62,0.5,0.1,0.8,0.83,0.62
0.62,0.44,0.62,0.67,0.4,0.9,0.17,1.0
0.25,0.39,0.62,0.5,0.4,0.8,0.0,0.38
0.25,0.39,0.62,0.83,0.2,0.9,0.17,0.62
0.25,0.33,0.88,1.0,0.3,1.0,0.5,0.75
0.38,0.44,0.75,0.83,0.3,0.9,0.17,0.62
0.62,0.5,0.62,1.0,0.3,0.9,0.0,0.62
0.5,0.22,0.75,0.83,0.7,0.8,0.67,0.5
0.5,0.11,1.0,0.5,0.1,0.8,0.83,0.5
0.62,0.39,0.75,0.83,0.2,0.7,0.67,0.88
0.38,0.44,0.62,0.67,0.3,0.9,0.17,0.75
0.5,0.11,1.0,0.5,0.1,0.8,0.83,0.5
0.25,0.39,0.62,0.67,0.3,0.9,0.0,0.88
0.25,0.44,0.62,1.0,0.3,0.9,0.17,0.75
0.25,0.44,0.62,1.0,0.5,0.9,0.0,0.62
0.25,0.44,0.75,0.67,0.2,0.8,0.17,0.75
0.0,0.39,0.62,0.67,0.3,0.8,0.17,0.62
0.62,0.44,0.5,0.67,0.3,0.9,0.5,0.75
0.5,0.61,0.62,0.83,0.4,0.9,0.33,0.62
0.38,0.39,0.62,0.83,0.4,0.9,0.0,0.62
0.12,0.33,0.62,0.5,0.3,0.8,0.33,0.38
0.62,0.44,0.62,1.0,0.4,0.9,0.33,0.5
0.0,0.28,0.75,0.67,0.3,0.9,0.83,0.62
0.62,0.28,0.62,0.83,0.2,0.9,0.67,0.38
0.25,0.44,0.75,0.67,0.3,0.9,0.17,0.62
0.12,0.44,0.5,0.83,0.3,0.9,0.17,0.5
0.25,0.61,0.62,0.83,0.6,0.8,0.17,0.62
0.12,0.61,0.75,0.67,0.3,0.9,0.17,0.62
0.25,0.22,0.5,0.33,1.0,0.8,0.17,0.5
0.12,0.33,0.62,0.5,0.3,0.8,0.33,0.38
0.62,0.44,0.5,0.67,0.3,0.9,0.5,0.75
0.38,0.33,1.0,0.83,0.3,0.7,0.5,0.88
0.25,0.39,0.75,0.67,0.5,0.9,0.17,0.75
0.62,0.44,0.62,0.83,0.4,0.9,0.17,0.62
0.5,0.44,0.62,1.0,0.3,0.9,0.0,0.62
0.12,0.33,0.62,1.0,0.4,0.8,0.0,0.5
0.5,0.44,0.62,1.0,0.3,0.9,0.0,0.62
0.38,0.33,1.0,0.83,0.3,0.7,0.5,0.88
0.5,0.33,0.75,0.67,0.3,0.8,0.33,0.62
0.62,0.44,0.62,1.0,0.3,0.8,0.33,0.5
0.62,0.0,0.62,0.83,0.4,0.9,0.67,0.75
0.12,0.28,0.5,0.5,0.3,0.9,1.0,0.38
0.38,0.17,0.75,0.5,0.2,0.9,0.5,0.88
0.5,0.22,0.5,0.67,0.5,0.8,0.33,0.5
0.25,0.39,0.75,0.67,0.5,0.9,0.17,0.75
0.5,0.33,0.62,0.83,0.5,0.8,0.17,0.5
0.88,0.39,0.75,1.0,0.2,0.8,0.67,0.62
0.5,0.28,0.62,0.67,0.3,0.9,0.33,0.75
0.25,0.61,0.75,1.0,0.6,0.9,0.17,0.62
0.38,0.17,0.75,0.5,0.2,0.9,0.5,0.88
0.38,0.44,0.75,0.83,0.3,0.9,0.17,0.62
0.12,0.67,0.75,0.67,0.2,0.8,0.5,0.5
0.75,0.44,0.75,0.83,0.3,0.9,0.17,0.25
0.25,0.44,0.75,1.0,0.4,0.9,0.5,0.5
0.75,0.39,0.75,1.0,0.2,0.8,0.0,0.75
0.38,0.44,0.62,0.67,0.3,0.9,0.17,0.75
0.62,0.39,0.62,0.83,0.4,0.2,0.33,0.62
0.25,0.39,0.62,0.67,0.3,0.9,0.17,0.5
0.5,0.39,0.62,0.83,0.2,1.0,0.83,0.75
0.38,0.5,0.62,1.0,0.7,0.9,0.17,0.62
0.62,0.56,0.75,0.67,0.4,0.8,0.5,0.5
0.62,0.39,0.75,0.83,0.2,0.7,0.67,0.88
0.38,0.39,0.75,0.67,0.3,0.9,0.5,0.62
0.5,0.33,0.75,0.67,0.3,0.8,0.33,0.62
0.62,0.44,0.62,0.83,0.4,0.9,0.17,0.62
0.0,0.44,0.88,1.0,0.4,0.0,0.17,0.75
0.38,0.44,0.62,0.83,0.4,0.9,0.17,0.62
0.0,0.44,0.75,1.0,0.4,0.8,0.33,0.62
0.25,0.39,0.75,0.83,0.4,0.9,0.33,0.75
0.62,0.39,0.75,1.0,0.3,0.9,0.17,0.62
0.38,0.44,0.62,0.67,0.3,1.0,0.17,0.62
0.88,0.56,0.75,0.5,0.4,1.0,0.33,0.5
0.38,0.39,0.62,0.0,0.0,0.8,0.83,0.75
0.5,0.33,0.62,0.83,0.5,0.8,0.17,0.5
0.88,0.39,0.75,1.0,0.2,0.8,0.67,0.62
0.62,0.28,0.62,0.83,0.2,0.9,0.67,0.38
0.62,0.39,0.75,0.83,0.2,0.7,0.67,0.88
0.5,0.39,0.62,0.67,0.8,0.9,0.17,0.62
0.25,0.44,0.75,0.67,0.2,0.8,0.17,0.75
0.62,0.39,0.62,0.83,0.3,0.9,0.17,0.62
0.75,0.44,0.75,0.83,0.3,0.9,0.17,0.25
0.25,0.33,0.88,1.0,0.3,1.0,0.5,0.75
0.12,0.61,0.75,0.67,0.3,0.9,0.17,0.62
0.62,1.0,0.62,1.0,0.2,0.9,0.17,0.38
0.62,0.44,0.62,0.83,0.4,0.9,0.0,0.62
0.62,0.44,0.62,0.83,0.4,0.9,0.0,0.62
0.0,0.56,0.75,0.67,0.1,0.7,0.67,0.5
1.0,0.44,0.75,1.0,0.2,0.8,0.67,0.62
0.25,0.44,0.75,1.0,0.2,0.9,0.33,0.5
0.5,0.39,0.62,1.0,0.4,0.9,0.33,0.62
0.38,0.39,0.5,0.67,0.4,0.8,0.17,0.62
0.5,0.39,0.62,1.0,0.4,0.9,0.33,0.62
0.38,0.22,0.62,1.0,0.5,1.0,0.5,0.25
0.38,0.5,0.62,0.5,0.1,1.0,0.33,0.38
0.62,0.17,0.88,0.17,0.2,0.8,1.0,0.62
0.5,0.94,0.62,0.83,0.4,0.9,0.17,0.5
0.25,0.44,0.62,0.67,0.5,0.9,0.33,1.0
0.0,0.78,0.0,0.33,0.1,0.9,0.33,0.75
0.5,0.28,0.62,0.67,0.3,0.9,0.33,0.75
0.25,0.39,0.62,1.0,0.4,0.8,0.33,0.62
0.38,0.5,0.62,1.0,0.7,0.9,0.17,0.62
0.38,0.44,0.62,0.83,0.7,0.9,0.17,0.75
0.25,0.44,0.62,1.0,0.2,0.9,0.33,0.62
0.38,0.44,0.75,0.83,0.3,0.9,0.17,0.62
0.0,0.44,0.75,1.0,0.4,0.8,0.33,0.62
0.38,0.39,0.75,0.67,0.3,0.9,0.5,0.62
0.12,0.39,0.5,1.0,0.1,0.8,0.33,0.0
0.62,0.44,0.62,1.0,0.4,0.9,0.33,0.5
0.38,0.44,0.75,0.83,0.3,0.9,0.17,0.62
0.25,0.44,0.62,1.0,0.2,0.9,0.33,0.62
0.62,0.5,0.62,0.83,0.4,0.9,0.17,0.5
0.5,0.61,0.75,0.5,0.0,0.7,0.83,0.88
1.0,0.44,0.75,1.0,0.2,0.8,0.67,0.62
0.88,0.56,0.75,0.5,0.4,1.0,0.33,0.5
0.62,1.0,0.62,1.0,0.2,0.9,0.17,0.38
0.62,0.44,0.5,0.83,0.9,0.9,0.33,0.5
0.0,0.61,0.62,1.0,0.2,0.9,0.33,0.75
0.38,0.67,0.62,0.83,0.3,0.8,0.17,0.62
0.38,0.5,0.62,0.5,0.1,1.0,0.33,0.38
0.75,0.44,0.62,0.83,0.3,1.0,0.17,0.62
0.25,0.44,0.62,0.83,0.4,0.9,0.33,0.5
0.38,0.39,0.25,1.0,0.3,0.8,0.67,0.5
0.75,0.39,0.75,1.0,0.2,0.8,0.0,0.75
0.25,0.39,0.62,1.0,0.4,0.8,0.33,0.62
0.0,0.28,0.75,0.67,0.3,0.9,0.83,0.62
0.62,0.28,0.62,0.83,0.2,0.9,0.67,0.38
0.5,0.39,0.62,0.67,0.8,0.9,0.17,0.62
1.0,0.39,1.0,0.83,0.3,0.9,0.5,0.62
0.62,0.44,0.75,0.83,0.4,0.8,0.33,0.5
0.12,0.44,0.5,0.83,0.3,0.9,0.17,0.5
0.62,0.39,0.75,1.0,0.3,0.9,0.17,0.62
0.25,0.22,0.5,0.33,1.0,0.8,0.17,0.5
0.38,0.44,0.75,0.67,0.4,0.8,0.33,0.62
0.88,0.44,0.75,0.67,0.4,0.9,0.5,0.75
0.62,0.56,0.75,0.67,0.4,0.8,0.5,0.5
0.38,0.39,0.62,0.83,0.4,0.9,0.0,0.62
0.75,0.44,0.62,0.83,0.3,1.0,0.17,0.62
0.5,0.61,0.75,0.5,0.0,0.7,0.83,0.88
0.0,0.39,0.62,0.67,0.3,0.8,0.17,0.62
0.38,0.39,0.5,0.83,0.8,1.0,0.17,0.5
0.5,0.22,0.75,0.83,0.7,0.8,0.67,0.5
0.5,0.22,0.5,0.67,0.5,0.8,0.33,0.5
0.5,0.61,0.62,0.83,0.4,0.9,0.33,0.62
0.38,0.33,1.0,0.83,0.3,0.7,0.5,0.88
0.62,0.44,0.75,0.83,0.4,0.8,0.33,0.5
0.0,0.78,0.0,0.33,0.1,0.9,0.33,0.75
0.25,0.44,0.62,0.83,0.4,0.9,0.33,0.5
0.25,0.44,0.62,0.67,0.5,0.9,0.33,1.0
