x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,1,-39.95080709926768,-41.56450236952614,-21.78987475340991,-41.98873789017943,-36.12794163076317,-46.85264012638569,-47.29078102202936,-48.53425153886158
0,2,-40.94201712720601,-42.9639719843985,-33.96258151196621,-45.96468456565188,-37.81751556498088,-47.24963785028682,-41.33564995583068,-40.96880001149093
0,2,-42.1172961200223,-41.22101243814989,-29.85111653228668,-44.65592289394313,-39.146117434544,-50.39289583502735,-41.60051355373192,-49.7123571225903
0,3,-32.665265336581854,-46.39393290595768,-31.0,-43.86349472632703,-42.85142877615549,-49.0,-39.847954936533405,-45.80795021046108
0,3,-37.0226890582082,-46.3729870660818,-30.28733137071114,-45.82495390665852,-45.37527868388017,-48.65807440466751,-42.061123203158985,-47.70455350073317
0,3,-36.59482007608037,-47.0,-27.0,-37.99552242184606,-40.91264039669871,-50.66465867454227,-43.40108356193448,-48.03520537861119
0,4,-37.5015633729172,-49.85876909309926,-41.83176790052271,-48.73490405847637,-34.00695929044163,-47.142795323639625,-40.55238638009096,-47.59808994171125
0,4,-32.22462722488611,-30.87222768042816,-30.83232940034796,-44.90311153787688,-46.322667807849314,-50.57848832663768,-40.327808352517465,-45.60521988472427
0,5,-18.59745403008475,-32.768799662592606,-34.83809724676361,-49.82213130068932,-44.63030666341599,-48.63959336612202,-38.97853122088739,-48.16491536037816
1,1,-39.541235903631645,-36.67008315858048,-32.481043574950334,-37.00852097007352,-42.7995848755752,-54.01643178069409,-38.45503494198251,-53.30718229121227
1,3,-37.41429060765417,-46.50950900671242,-32.39897249064487,-43.653932978245024,-39.85455910452573,-48.09657046930475,-38.62336108256709,-48.73668863325089
1,3,-32.84834631690933,-38.06982915862182,-35.5222372889614,-51.24107792326238,-42.369772515575605,-52.23122713990692,-44.39367429521783,-56.97522926697959
1,4,-26.65663966123972,-35.78356598766406,-28.464670537134,-46.74662236797806,-43.5907595264966,-49.41501752944143,-44.28836293848008,-47.94038619683963
1,5,-27.060961926686563,-36.32732824226689,-39.49792871107587,-47.618171248266,-44.32781830379181,-51.39729445091664,-46.60900288430667,-47.21318548918961
2,1,-38.25227983213051,-49.64958227949357,-32.63427192445555,-50.35521096455989,-36.58776410355845,-52.18768276981488,-46.00258932863279,-53.69621422470534
2,2,-32.50378945974367,-42.826397981678085,-35.57385348734184,-47.960878390423154,-34.646854634400995,-44.53299752056933,-40.977794024881646,-49.877462314757466
2,3,-33.26342744153615,-42.61021203999844,-35.1079246600491,-45.21862815770525,-36.729472440402006,-51.0,-39.0,-40.65861927375947
2,4,-31.434261749908224,-38.602868372197314,-45.12278831144271,-45.62108540401543,-34.89944689691599,-49.86592256323407,-40.74921768881881,-42.31915910941285
2,5,-30.48983947370847,-32.904529293965375,-35.17888672008815,-51.61413970724524,-41.25534247567614,-49.38874576000128,-37.83598092318024,-49.0512883477005
3,1,-34.71373732223499,-47.11416879167644,-33.13809896943839,-39.91289259453973,-34.30187428995116,-49.56750176125336,-36.76689526427971,-45.585229398057145
3,2,-40.63572643256192,-40.175628667404176,-36.40956149279107,-39.90183015457919,-36.718793831082834,-39.82402012735047,-37.4770028590884,-52.100566573845626
3,3,-36.07945761200181,-51.90151938199725,-42.55467819587666,-42.84239501776009,-38.212189809700654,-47.337030667067786,-39.1265874238605,-38.25705484055102
3,4,-35.97882441750374,-42.31464866815813,-34.60961182737102,-47.2526126364653,-34.45525646616848,-44.01832655294161,-40.57344355830362,-47.61898594611609
3,5,-35.37800746273899,-46.592521302507386,-35.58806917398921,-48.68147548535037,-35.52087061046878,-49.48240899166393,-41.97132017730377,-45.62186049239671
4,1,-40.0,-43.0,-37.50587648066955,-44.507089366682855,-40.22725270866229,-48.2500323745962,-34.26431649217432,-43.71061906434626
4,3,-41.13239562337863,-43.192611051005215,-47.103146584436885,-52.44567131200802,-35.137956718752825,-51.46420496866175,-45.58177694459748,-47.93684727378781
4,3,-38.006624199585495,-48.94088872137866,-38.01044155372054,-45.672718634144,-30.33426521330515,-48.0,-36.0,-46.13842621949023
4,4,-32.89378461579172,-53.034681478342456,-36.07373890696915,-37.31138490096119,-31.57361300927401,-47.7988549811878,-39.8625318249274,-43.320230614045904
4,5,-41.48613587811014,-40.04136613321804,-37.00030576198432,-54.01451212535042,-39.009995580867006,-49.90931279078367,-39.79735712549856,-45.61895252251628
5,0,-39.13410432192153,-39.442802775859626,-36.651092775512645,-48.97867404093491,-39.13195962679514,-40.68434650825304,-43.22724651349407,-34.38686473147693
5,1,-40.46961279621218,-47.8676290447898,-39.507619006275725,-42.12740693920129,-40.98047854590722,-50.62262704143976,-40.97484047586341,-40.52068306579156
5,2,-41.68057416157743,-48.75027362380449,-41.60766547620323,-54.12601088113906,-34.93962845176824,-47.719235898333096,-35.12755012125908,-39.13611861468189
5,3,-33.13517165553897,-52.0,-47.0,-45.58737586710794,-39.478348452213744,-42.26714562605656,-36.19735248973786,-42.60371043298693
5,4,-38.83139162017535,-44.80976883151841,-39.259232441024345,-48.49595241179086,-33.86470079110432,-41.04367537496794,-40.5954440362418,-45.28030813253873
5,5,-39.52088744964189,-47.98715755374644,-44.20214172960556,-45.42702040428966,-32.89376089146409,-36.96115823317369,-41.11951469920896,-39.05281724078768
6,0,-41.38987663723114,-51.700485390138574,-36.700751311440165,-40.78203832683588,-37.4381057118935,-48.0107348147625,-35.02561861372659,-40.56113573035123
6,1,-39.12706101540984,-50.311121117549234,-43.32121178425499,-49.04405816918035,-37.432580662107135,-42.55568814017427,-29.0,-34.03220269106623
6,2,-44.83511099748894,-42.36684151408517,-42.92195264252776,-43.88407847396394,-37.09993575242302,-43.22990240217043,-39.53660633976576,-37.94532123117685
6,3,-38.67315963480042,-46.33032749728068,-38.10913964641276,-47.0,-37.64908331725945,-49.255832437586896,-36.0,-42.0
6,4,-39.45125775598128,-42.5897277467074,-44.74495292543816,-43.92757446775212,-30.961038514768283,-39.05311079548493,-43.39915135344643,-45.31890669569568
6,5,-44.225179663368735,-50.61464797723326,-45.83529600334891,-44.09979483078769,-28.280536257386167,-43.4585232328029,-39.850690315730375,-42.01820982797636
