x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-35,-31,-22,-29,-38,-49,-40,-44
0,1,-39,-41,-23,-40,-38,-47,-48,-47
0,2,-41,-43,-26,-45,-40,-51,-38,-43
0,3,-37,-46,-30,-47,-42,-48,-42,-48
0,4,-31,-31,-31,-45,-46,-50,-38,-43
0,5,-19,-34,-35,-49,-44,-52,-40,-48
1,0,-40,-44,-28,-33,-35,-44,-32,-38
1,1,-35,-36,-33,-35,-41,-52,-37,-53
1,2,-34,-44,-32,-42,-41,-48,-38,-48
1,3,-32,-38,-33,-51,-40,-50,-43,-52
1,4,-27,-37,-26,-46,-43,-51,-41,-48
1,5,-20,-36,-39,-49,-42,-52,-38,-48
2,0,-38,-44,-33,-45,-38,-47,-38,-41
2,1,-35,-48,-34,-43,-36,-47,-43,-51
2,2,-31,-42,-32,-46,-33,-46,-38,-49
2,3,-34,-40,-34,-44,-36,-51,-37,-41
2,4,-33,-36,-44,-46,-35,-50,-34,-42
2,5,-31,-33,-30,-53,-35,-50,-35,-48
3,0,-33,-46,-27,-40,-38,-48,-38,-44
3,1,-34,-47,-25,-39,-35,-51,-35,-45
3,2,-39,-41,-37,-38,-34,-39,-36,-48
3,3,-35,-49,-40,-40,-36,-45,-36,-38
3,4,-34,-44,-34,-48,-33,-45,-33,-47
3,5,-34,-40,-36,-46,-35,-51,-40,-45
4,0,-35,-50,-41,-47,-35,-45,-40,-47
4,1,-41,-43,-33,-46,-42,-49,-36,-42
4,2,-42,-46,-47,-52,-34,-51,-43,-48
4,3,-37,-49,-36,-44,-31,-46,-37,-46
4,4,-34,-53,-33,-37,-32,-50,-39,-43
4,5,-40,-41,-35,-50,-38,-51,-38,-49
5,0,-38,-40,-38,-49,-39,-40,-42,-34
5,1,-40,-48,-37,-42,-43,-50,-39,-42
5,2,-39,-50,-40,-49,-34,-48,-36,-37
5,3,-34,-51,-44,-44,-37,-43,-32,-44
5,4,-36,-44,-37,-49,-34,-40,-42,-47
5,5,-39,-47,-38,-50,-33,-38,-39,-39
6,0,-41,-51,-36,-42,-34,-44,-34,-35
6,1,-38,-50,-36,-51,-36,-44,-29,-34
6,2,-42,-43,-42,-43,-35,-41,-35,-36
6,3,-39,-45,-37,-47,-37,-50,-33,-42
6,4,-39,-43,-40,-43,-29,-41,-40,-43
6,5,-43,-51,-43,-43,-28,-41,-39,-39
