x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-35,-42,-22,-19,-39,-50,-43,-44
0,1,-39,-40,-21,-39,-38,-46,-47,-46
0,2,-41,-42,-26,-44,-39,-50,-38,-48
0,3,-37,-46,-29,-47,-42,-48,-42,-48
0,4,-31,-31,-29,-45,-47,-50,-38,-43
0,5,-19,-34,-35,-49,-43,-52,-41,-44
1,0,-39,-44,-26,-33,-35,-43,-36,-38
1,1,-39,-36,-32,-37,-38,-47,-37,-48
1,2,-35,-44,-34,-42,-41,-48,-35,-48
1,3,-33,-39,-36,-50,-40,-50,-42,-52
1,4,-27,-37,-26,-47,-37,-51,-41,-47
1,5,-20,-36,-39,-50,-42,-52,-44,-43
2,0,-39,-44,-34,-46,-34,-48,-38,-42
2,1,-36,-48,-33,-43,-36,-47,-45,-47
2,2,-32,-40,-32,-46,-35,-46,-36,-49
2,3,-33,-43,-34,-44,-36,-51,-37,-41
2,4,-33,-38,-44,-47,-35,-49,-34,-41
2,5,-29,-33,-30,-53,-35,-50,-36,-48
3,0,-33,-46,-32,-40,-43,-48,-39,-44
3,1,-35,-47,-34,-42,-35,-50,-35,-40
3,2,-39,-38,-37,-41,-34,-39,-36,-48
3,3,-35,-50,-43,-42,-39,-47,-39,-38
3,4,-34,-44,-32,-48,-32,-43,-41,-48
3,5,-34,-40,-34,-49,-36,-51,-40,-44
4,0,-36,-45,-38,-47,-35,-47,-40,-46
4,1,-40,-42,-33,-46,-35,-49,-35,-41
4,2,-42,-45,-41,-53,-34,-51,-43,-47
4,3,-37,-49,-34,-44,-31,-46,-31,-46
4,4,-34,-54,-33,-39,-32,-49,-39,-43
4,5,-40,-41,-35,-50,-38,-51,-38,-49
5,0,-38,-40,-38,-49,-38,-41,-41,-35
5,1,-41,-46,-37,-42,-41,-49,-38,-42
5,2,-39,-50,-40,-49,-35,-48,-34,-37
5,3,-34,-51,-44,-45,-37,-43,-34,-43
5,4,-38,-44,-37,-47,-34,-40,-40,-46
5,5,-39,-47,-38,-46,-33,-38,-39,-39
6,0,-36,-46,-36,-41,-36,-43,-34,-37
6,1,-38,-47,-36,-50,-33,-44,-29,-34
6,2,-39,-43,-42,-43,-35,-41,-35,-36
6,3,-36,-45,-37,-47,-36,-50,-35,-42
6,4,-39,-42,-40,-43,-29,-41,-40,-43
6,5,-43,-49,-43,-43,-28,-42,-39,-35
