x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,1,-42.43,-46.37,-25.43,-48.94,-38.96,-50.44,-50.63,-50.65
0,2,-44.69,-48.17,-36.23,-50.52,-42.43,-52.74,-43.97,-44.26
0,2,-44.8,-49.46,-33.1,-47.42,-43.12,-53.89,-44.52,-51.37
0,3,-35.25,-49.82,-36.21,-46.23,-45.82,-50.58,-42.76,-50.05
0,3,-39.23,-50.89,-32.08,-51.4,-48.39,-50.24,-45.34,-50.42
0,3,-38.59,-49.42,-31.7,-40.66,-43.48,-53.78,-46.19,-50.69
0,4,-39.55,-52.3,-45.41,-50.55,-37.57,-49.27,-43.2,-48.96
0,4,-34.29,-32.26,-33.27,-46.48,-49.12,-52.16,-41.72,-47.5
0,5,-21.52,-34.87,-37.62,-50.7,-46.74,-53.66,-42.14,-49.72
1,1,-43.68,-39.62,-34.42,-38.65,-46.54,-55.48,-40.71,-56.86
1,3,-39.16,-48.77,-34.64,-44.93,-42.88,-49.75,-41.91,-49.92
1,3,-34.69,-39.89,-38.54,-53.05,-44.03,-54.38,-46.8,-60.96
1,4,-28.68,-38.18,-30.77,-49.89,-45.36,-51.87,-50.35,-49.84
1,5,-28.18,-38.23,-41.35,-51.04,-45.77,-53.48,-48.84,-52.76
2,1,-40.16,-51.75,-35.96,-53.74,-39.21,-53.04,-48.98,-55.3
2,2,-34.35,-44.61,-38.51,-50.2,-38.9,-46.99,-43.69,-52.97
2,3,-35.56,-44.34,-39.17,-47.48,-40.44,-52.89,-41.63,-43.67
2,4,-34.6,-40.07,-51.21,-50.58,-37.75,-51.92,-42.96,-44.13
2,5,-32.27,-34.53,-38.26,-53.38,-42.81,-50.76,-38.84,-51.74
3,1,-37.15,-50.17,-37.76,-43.17,-36.22,-51.15,-38.73,-49.11
3,2,-42.29,-42.82,-39.96,-43.05,-37.93,-41.56,-39.98,-54.89
3,3,-38.23,-53.49,-46.65,-44.55,-41.56,-51.82,-44.17,-41.24
3,4,-37.93,-44.79,-36.86,-49.08,-36.1,-45.49,-45.15,-49.65
3,5,-37.44,-49.54,-38.8,-51.59,-37.59,-52.08,-44.8,-48.18
4,1,-43.13,-46.65,-39.43,-46.9,-43.66,-50.52,-38.41,-46.06
4,3,-43.51,-46.35,-49.09,-56.05,-37.16,-53.69,-46.57,-49.49
4,3,-39.7,-50.52,-39.82,-49.94,-32.55,-49.6,-39.44,-47.9
4,4,-35.99,-57.88,-39.05,-39.47,-33.66,-50.26,-42.69,-45.63
4,5,-44.67,-43.67,-39.0,-55.33,-41.78,-52.43,-42.88,-55.26
5,0,-41.15,-43.12,-41.33,-52.71,-41.3,-43.01,-49.17,-37.19
5,1,-43.84,-50.94,-41.81,-45.33,-44.94,-53.05,-43.21,-46.34
5,2,-43.38,-52.0,-43.79,-56.08,-37.32,-51.47,-38.03,-40.74
5,3,-36.04,-56.21,-50.38,-48.26,-41.34,-45.45,-38.12,-45.56
5,4,-40.71,-47.05,-40.96,-50.86,-36.24,-42.96,-43.33,-48.55
5,5,-42.47,-50.32,-45.55,-52.76,-34.9,-40.04,-46.26,-43.09
6,0,-43.73,-57.77,-40.07,-42.8,-42.29,-50.53,-38.82,-42.95
6,1,-42.36,-53.1,-46.8,-51.94,-39.57,-45.1,-34.65,-35.88
6,2,-47.95,-44.15,-45.23,-44.91,-39.99,-46.95,-44.19,-40.49
6,3,-41.14,-48.4,-40.16,-50.26,-38.9,-52.59,-38.12,-44.3
6,4,-42.09,-45.08,-48.03,-45.09,-33.55,-41.92,-47.22,-49.2
6,5,-47.64,-52.37,-49.11,-46.34,-30.69,-47.56,-41.59,-49.96
