x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-39.5,-46.45,-25.5,-33.14,-43.95,-54.93,-45.45,-48.71
0,1,-41.74,-45.69,-25.02,-49.55,-39.36,-50.31,-50.74,-50.5
0,2,-44.17,-50.48,-31.9,-46.95,-43.31,-53.95,-43.69,-50.19
0,3,-39.26,-51.64,-31.9,-51.24,-46.93,-49.88,-46.76,-49.69
0,4,-34.05,-32.29,-33.6,-47.45,-48.21,-51.36,-41.55,-47.79
0,5,-21.17,-34.5,-37.86,-50.52,-47.07,-54.1,-43.0,-49.71
1,0,-45.52,-47.83,-29.12,-37.81,-38.55,-47.31,-41.21,-47.74
1,1,-43.4,-40.4,-36.0,-38.24,-46.9,-55.19,-40.52,-57.48
1,2,-38.14,-48.4,-35.0,-43.98,-43.62,-49.83,-41.29,-50.12
1,3,-34.83,-39.48,-38.62,-52.93,-43.17,-54.1,-47.19,-60.79
1,4,-29.19,-38.62,-30.52,-49.48,-45.19,-52.29,-49.79,-49.57
1,5,-29.31,-37.88,-42.12,-51.26,-45.86,-53.43,-49.17,-52.9
2,0,-45.02,-48.21,-36.17,-50.43,-41.67,-52.52,-42.98,-44.76
2,1,-39.0,-52.02,-36.55,-53.24,-39.45,-52.88,-48.5,-54.83
2,2,-33.98,-45.33,-38.83,-49.88,-38.98,-47.62,-43.1,-52.98
2,3,-36.02,-45.33,-39.17,-48.14,-40.05,-53.29,-41.38,-43.36
2,4,-33.86,-39.83,-51.45,-51.33,-37.19,-51.05,-43.12,-43.71
2,5,-32.71,-35.12,-38.67,-53.52,-42.05,-51.26,-38.62,-51.69
3,0,-34.74,-49.83,-36.86,-45.98,-45.93,-50.69,-42.48,-50.76
3,1,-36.14,-49.21,-38.1,-42.69,-36.4,-51.67,-38.74,-48.07
3,2,-43.19,-43.0,-40.07,-43.38,-37.86,-41.19,-39.6,-54.79
3,3,-38.9,-52.74,-46.79,-43.88,-40.07,-51.07,-42.98,-42.88
3,4,-37.79,-44.62,-36.55,-49.02,-36.29,-45.43,-44.83,-49.55
3,5,-38.55,-48.98,-38.45,-51.05,-38.26,-52.81,-44.12,-48.43
4,0,-39.29,-51.52,-45.5,-49.71,-37.48,-49.6,-43.79,-49.14
4,1,-43.29,-47.6,-38.45,-47.5,-43.83,-50.71,-38.24,-46.02
4,2,-43.86,-46.36,-49.57,-55.83,-36.81,-53.31,-46.14,-49.29
4,3,-39.55,-51.83,-39.21,-49.21,-32.76,-50.1,-40.33,-47.57
4,4,-37.0,-57.88,-39.17,-40.05,-33.81,-51.07,-43.21,-45.71
4,5,-44.33,-43.67,-38.19,-55.67,-42.02,-52.9,-42.93,-55.71
5,0,-41.55,-42.79,-41.52,-50.93,-41.31,-42.74,-48.36,-37.21
5,1,-43.95,-50.05,-42.14,-44.93,-45.57,-53.29,-42.74,-46.24
5,2,-44.12,-51.9,-43.74,-55.36,-37.76,-51.12,-38.29,-40.81
5,3,-36.86,-56.38,-49.57,-48.29,-41.0,-45.6,-38.5,-45.88
5,4,-40.21,-47.07,-40.88,-50.81,-35.86,-42.0,-44.17,-48.14
5,5,-42.33,-50.36,-44.76,-53.1,-35.14,-39.83,-46.55,-43.4
6,0,-44.12,-58.0,-39.88,-43.19,-42.05,-50.67,-38.29,-42.4
6,1,-41.62,-53.0,-45.93,-52.17,-40.14,-45.64,-35.52,-37.12
6,2,-47.19,-44.98,-45.0,-45.17,-39.95,-47.21,-43.6,-40.83
6,3,-41.02,-48.29,-39.1,-50.31,-39.26,-52.93,-37.33,-44.21
6,4,-41.48,-45.17,-47.81,-44.38,-33.74,-42.4,-45.98,-49.21
6,5,-47.83,-52.79,-48.48,-45.45,-30.1,-47.07,-42.38,-49.88
