x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,-39.08,-45.05,-26.13,-33.4,-43.44,-54.01,-46.25,-48.49
0,1,-41.7,-46.61,-24.92,-49.03,-39.24,-50.68,-51.14,-50.04
0,2,-43.99,-49.99,-31.01,-47.37,-42.89,-53.82,-44.12,-50.66
0,3,-40.03,-51.64,-31.91,-51.47,-48.03,-49.93,-46.49,-49.93
0,4,-33.84,-32.29,-33.49,-47.35,-48.77,-51.09,-41.78,-47.38
0,5,-20.9,-34.83,-38.3,-50.59,-46.72,-53.83,-43.4,-49.83
1,0,-45.32,-48.0,-29.21,-36.66,-38.87,-47.2,-41.02,-47.61
1,1,-42.6,-40.07,-35.53,-38.36,-46.41,-54.98,-40.97,-57.74
1,2,-38.1,-47.84,-35.22,-44.65,-43.9,-49.57,-42.21,-50.23
1,3,-35.03,-40.18,-38.75,-52.96,-43.08,-54.35,-47.27,-60.59
1,4,-29.2,-38.25,-30.71,-48.84,-45.86,-52.36,-49.1,-49.74
1,5,-28.89,-38.07,-41.57,-51.93,-46.15,-53.59,-48.64,-52.82
2,0,-45.93,-47.88,-36.4,-49.36,-42.58,-52.83,-43.74,-44.93
2,1,-39.57,-51.61,-36.52,-53.68,-39.28,-53.05,-48.95,-54.91
2,2,-34.01,-45.16,-39.05,-50.22,-39.01,-47.56,-42.8,-53.15
2,3,-35.43,-44.65,-39.41,-48.17,-39.43,-53.31,-41.09,-44.14
2,4,-34.24,-40.12,-51.73,-51.34,-36.77,-51.08,-42.78,-43.57
2,5,-32.4,-35.69,-38.2,-53.69,-42.18,-51.67,-39.17,-51.7
3,0,-34.96,-49.58,-36.39,-46.04,-46.09,-50.6,-42.76,-50.81
3,1,-36.13,-50.35,-38.0,-44.35,-36.26,-51.24,-38.78,-48.21
3,2,-41.88,-42.76,-39.92,-42.53,-37.85,-41.56,-40.11,-54.95
3,3,-38.9,-52.76,-46.86,-44.21,-40.18,-50.96,-44.0,-42.19
3,4,-37.23,-44.72,-37.19,-49.0,-36.61,-45.47,-45.38,-49.61
3,5,-38.97,-48.92,-37.94,-51.13,-38.44,-52.54,-44.14,-47.97
4,0,-39.46,-51.34,-45.32,-50.03,-38.11,-49.66,-43.1,-49.46
4,1,-43.46,-47.63,-38.84,-46.96,-44.04,-50.45,-37.63,-46.31
4,2,-44.33,-46.06,-48.67,-56.04,-37.51,-53.39,-45.78,-49.61
4,3,-39.27,-50.7,-39.82,-49.47,-32.69,-50.26,-39.47,-47.71
4,4,-36.55,-58.44,-39.29,-40.21,-33.75,-51.36,-42.4,-45.18
4,5,-43.75,-43.51,-38.61,-56.52,-42.51,-52.86,-42.63,-55.39
5,0,-41.67,-42.85,-41.75,-51.47,-40.9,-42.62,-49.11,-37.42
5,1,-44.1,-50.88,-42.44,-45.02,-46.16,-53.86,-42.93,-45.61
5,2,-43.87,-51.55,-43.83,-56.15,-37.7,-50.69,-37.53,-40.05
5,3,-36.51,-56.3,-49.68,-48.09,-41.25,-45.7,-38.43,-45.85
5,4,-40.66,-47.06,-40.68,-50.19,-35.98,-41.72,-43.84,-48.95
5,5,-42.61,-50.4,-44.21,-53.19,-35.32,-40.6,-46.43,-43.06
6,0,-43.63,-57.1,-39.76,-42.88,-41.62,-50.46,-38.26,-42.31
6,1,-40.97,-53.18,-45.61,-52.31,-40.13,-45.46,-35.19,-36.5
6,2,-47.46,-44.83,-45.78,-45.18,-39.38,-47.1,-43.72,-41.68
6,3,-41.35,-47.91,-39.83,-49.79,-38.85,-53.25,-37.73,-44.39
6,4,-41.54,-44.98,-48.63,-44.32,-33.52,-42.2,-46.39,-49.26
6,5,-47.72,-52.6,-48.36,-46.11,-29.81,-47.59,-42.06,-49.32
