x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,1,-42.57511548372348,-45.9254639896204,-25.135329332689007,-49.09720367490986,-38.95466824265241,-50.3462863256367,-50.53189524601321,-50.70382279615818
0,2,-44.24096970697596,-48.25680115410684,-36.10704424865993,-49.53399608884858,-41.85842630450237,-53.194336379115086,-44.101652840826176,-44.29639625954648
0,2,-44.75340824062128,-50.90572131478636,-31.586523935752304,-47.40038712106247,-43.11085066880362,-52.46333188033077,-44.51073847715847,-51.376693475212434
0,3,-35.52444575008639,-49.863908419025776,-36.38736926556146,-45.83527661173251,-45.704831708757624,-50.041941684920744,-42.79175864713969,-50.28876470032033
0,3,-39.19897867053603,-51.43737346875402,-32.29448041076968,-51.97068453101514,-47.35457405179682,-49.90096617510718,-45.79667466240656,-50.28878410262877
0,3,-38.55776209223518,-49.37417320494034,-31.973628057345465,-40.667997074852394,-43.520309527202514,-53.87078385327133,-45.764651307764495,-50.67973260396097
0,4,-39.606735091367874,-52.25746361000262,-45.62348902298736,-50.732170820625726,-37.49569277313462,-49.40189608578654,-43.32507504554925,-48.81680084167719
0,4,-33.96040766466239,-32.38017479518931,-33.05656862687248,-46.082503861077996,-49.31211651446867,-52.24930373728815,-41.56076714554247,-47.58840365541967
0,5,-21.476004371723892,-34.711274598585774,-37.60280730428953,-50.5868802641339,-46.38057375897077,-53.11459288486155,-42.479335652405844,-49.274045043422404
1,1,-42.741555887517166,-38.988091652710054,-34.65911899796944,-38.545280927366335,-46.3795462240339,-55.43812689297826,-40.780738491173125,-56.988559288366034
1,3,-38.716053062513566,-48.54685637789007,-34.63167125689115,-44.877090134874635,-43.04337974581518,-49.560429171533045,-41.36784849018838,-49.63560933426466
1,3,-34.77044666475342,-38.86194869393173,-38.462177802681516,-53.08997158672602,-43.960450433472175,-54.5546270719536,-46.46680259591437,-60.77554762967215
1,4,-28.794305301395532,-38.35465038988099,-30.136368684552732,-48.91222626063933,-45.12909963254987,-51.65732748455473,-50.14092464084696,-49.76216152600993
1,5,-28.358934074992384,-38.20465283910105,-41.1312755470213,-51.48905902446603,-45.72998286604125,-53.59648206580225,-49.40779523463741,-51.000802865574975
2,1,-40.0090277807854,-52.236654929808395,-36.10340358718609,-54.038735110508114,-39.511487072216035,-53.00576072858415,-48.43575221193315,-54.84872884010578
2,2,-34.30451576368954,-44.75805564630983,-38.34788426613628,-50.24492257179266,-38.48673420852849,-46.92248064739338,-43.81346606257393,-53.3784747091164
2,3,-35.3792264728181,-44.007339720169696,-39.28986640396964,-47.40738316754092,-40.68335389360492,-52.582377040615775,-41.92514983141879,-43.59881077045246
2,4,-34.64102644694046,-39.87944944641154,-51.95379843734597,-51.284406390399184,-37.806160473963686,-51.600311379248474,-42.46595755197685,-44.14878907310457
2,5,-32.2368249633421,-34.27624457145878,-38.18836348692017,-53.03730405803088,-42.87578967139976,-50.82578788464081,-39.02800132653084,-51.32835215734819
3,1,-36.86200016933955,-49.88176456506833,-37.67461418328541,-43.41156668122423,-36.30876217707345,-51.141305873642466,-38.85784701735008,-49.127679997578554
3,2,-42.515401558702806,-43.05270925332848,-40.27022522401807,-42.62713983700275,-38.018470896154405,-41.42508839247161,-39.36814557637918,-54.73338626388728
3,3,-37.83211505748127,-53.66223939886021,-46.68801392119384,-44.80783943622656,-41.428728101330094,-52.35643262514651,-43.72323817939416,-39.56634445641659
3,4,-37.77900470076962,-44.772447904245055,-36.83510668160454,-48.73094481558664,-36.090967407997965,-45.69052268764991,-44.55179940430466,-49.987155745251684
3,5,-37.472527632932625,-48.60325693737184,-39.354530614964276,-51.810390043227414,-37.68950658385013,-52.23212607443678,-44.05260024457657,-48.21243286527849
4,1,-43.101376557703716,-46.57293819345202,-38.71963499656559,-46.91251466696757,-43.539791563836914,-50.516719882248594,-38.93514093509407,-46.14337855563812
4,3,-43.5850648779313,-46.59056389530862,-48.85315990853383,-54.99245035876967,-37.375061124123846,-54.04424383591082,-46.43464185423661,-49.30531306810534
4,3,-39.57041655901201,-50.2269544530799,-39.72048682505628,-49.43880211171029,-32.671700701706484,-49.69445494996352,-39.53454742000912,-47.54339985667105
4,4,-35.13233966812699,-58.41560525578639,-39.094953407439675,-39.80577586910864,-33.41586581952349,-50.41734066906291,-42.435851895601786,-45.98883869329343
4,5,-44.75443445370716,-43.01255315967859,-39.18948749382035,-54.80189775004042,-41.590210424782796,-52.6492369259992,-43.21258740356769,-55.914447370475436
5,0,-40.73096144256117,-43.02351270130871,-41.13617468466708,-52.056747038065836,-40.95229803803517,-42.68424685399626,-48.93766744803028,-36.8821831795445
5,1,-43.81420752629192,-50.38953544129906,-41.249032508246316,-45.44886911108799,-44.91432246586911,-52.76046752139351,-43.31042881851201,-45.70181874840784
5,2,-43.088921057958174,-52.25411180824388,-43.567251742385025,-56.38192562868353,-36.660007856265956,-51.876087074119404,-37.81260504459203,-40.648438758126744
5,3,-35.9395270503163,-56.74865447840266,-51.120164116705794,-48.56170294566653,-41.46160252416045,-45.48181070200441,-37.8590831298562,-45.74269321541391
5,4,-40.58006852597482,-47.21136447125093,-41.100856362526,-51.22632343055528,-36.1860845969825,-42.83388949617975,-43.55847769741922,-47.466605932855764
5,5,-42.215202309721036,-50.42214711167518,-45.07283802559866,-53.07448609693019,-34.94182561952772,-40.086686645229946,-46.49516833966744,-41.998362461204024
6,0,-44.00872553876739,-58.219090086845966,-40.086851898329485,-43.156270878965685,-42.4556882747502,-50.174462039087494,-39.45724611832222,-43.11804868209366
6,1,-42.234778096117196,-53.45332103892869,-46.95192370464801,-51.68176571907594,-39.354877709324285,-45.23790471914974,-34.37898249217125,-35.48605057595195
6,2,-47.80178457848288,-44.17108850753081,-45.445174461325365,-44.2542336602222,-40.238595882736725,-47.0024858918244,-44.31014820015778,-40.25705443682493
6,3,-40.67175663628656,-48.42931364440888,-40.16384463638094,-50.61015863116275,-38.872288521783894,-53.00311642100907,-38.36496199809268,-44.413331366860696
6,4,-41.578424227108705,-45.056504934313175,-48.087151883935206,-45.09891715962073,-33.658962126628055,-41.87322854523534,-47.46180112621124,-48.94032332245325
6,5,-48.525361408512055,-52.31953782445652,-49.00678984481755,-45.86719339946143,-30.956841747550214,-46.93870534835844,-41.71947043694715,-50.40382140765214
