x,y,Wifi_A,Wifi_A_5G,Wifi_B,Wifi_B_5G,Wifi_C,Wifi_C_5G,Wifi_D,Wifi_D_5G
0,0,0.575,0.44,0.55,0.525,0.45,0.41,0.5700000000000001,0.33499999999999996
0,1,0.51,0.81,0.645,0.27,0.495,0.315,0.61,0.595
0,2,0.65,0.28,0.78,0.555,0.625,0.62,0.36,0.415
0,3,0.45999999999999996,0.345,0.58,0.5700000000000001,0.6799999999999999,0.45999999999999996,0.745,0.51
0,4,0.78,0.54,0.615,0.28,0.65,0.555,0.4,0.29000000000000004
0,5,0.44,0.765,0.56,0.505,0.51,0.89,0.785,0.345
1,0,0.605,0.51,0.535,0.5700000000000001,0.505,0.615,0.58,0.6
1,1,0.73,0.365,0.555,0.585,0.335,0.43,0.37,0.625
1,2,0.425,0.695,0.5700000000000001,0.81,0.41000000000000003,0.63,0.765,0.765
1,3,0.515,0.5,0.565,0.385,0.615,0.36,0.44,0.395
1,4,0.535,0.55,0.585,0.515,0.74,0.33,0.47,0.535
1,5,0.425,0.485,0.485,0.435,0.47,0.52,0.695,0.82
2,0,0.565,0.45499999999999996,0.625,0.805,0.7,0.38,0.525,0.65
2,1,0.525,0.45999999999999996,0.44,0.35,0.49,0.33,0.51,0.41500000000000004
2,2,0.51,0.4,0.41,0.555,0.6,0.625,0.4,0.51
2,3,0.545,0.83,0.575,0.52,0.47,0.73,0.405,0.585
2,4,0.54,0.44,0.31,0.335,0.79,0.59,0.505,0.57
2,5,0.53,0.88,0.315,0.545,0.36,0.58,0.54,0.5549999999999999
3,0,0.58,0.52,0.445,0.485,0.495,0.6,0.47,0.49
3,1,0.62,0.83,0.355,0.835,0.565,0.275,0.44999999999999996,0.625
3,2,0.565,0.35,0.47,0.88,0.435,0.59,0.67,0.715
3,3,0.575,0.525,0.415,0.485,0.41500000000000004,0.4,0.445,0.795
3,4,0.545,0.85,0.545,0.655,0.595,0.59,0.48,0.36
3,5,0.5,0.805,0.405,0.64,0.415,0.37,0.57,0.585
4,0,0.33,0.595,0.345,0.5,0.53,0.505,0.5,0.485
4,1,0.425,0.69,0.545,0.495,0.425,0.56,0.585,0.33999999999999997
4,2,0.455,0.4,0.455,0.825,0.43,0.665,0.42,0.44
4,3,0.565,0.85,0.425,0.455,0.645,0.42,0.5,0.64
4,4,0.76,0.55,0.46,0.735,0.52,0.52,0.75,0.48
4,5,0.35,0.8,0.605,0.66,0.63,0.36,0.41000000000000003,0.28500000000000003
5,0,0.495,0.45999999999999996,0.575,0.815,0.645,0.5,0.445,0.495
5,1,0.45999999999999996,0.635,0.44999999999999996,0.4,0.48,0.78,0.62,0.655
5,2,0.51,0.44,0.42,0.325,0.4,0.315,0.57,0.34
5,3,0.585,0.365,0.475,0.595,0.49,0.595,0.455,0.46499999999999997
5,4,0.435,0.455,0.51,0.41500000000000004,0.415,0.6,0.685,0.88
5,5,0.565,0.47,0.495,0.345,0.36,0.64,0.61,0.69
6,0,0.45499999999999996,0.235,0.575,0.665,0.435,0.76,0.56,0.505
6,1,0.715,0.4,0.52,0.545,0.485,0.55,0.565,0.625
6,2,0.385,0.435,0.49,0.55,0.505,0.725,0.275,0.55
6,3,0.5,0.425,0.645,0.345,0.47,0.27,0.71,0.415
6,4,0.52,0.355,0.38,0.365,0.45499999999999996,0.5700000000000001,0.48,0.56
6,5,0.535,0.38,0.51,0.645,0.615,0.55,0.4,0.315
