TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691483338358,(08/08/2023)_15/28/58,-57,-46,-54,-53,-40,-43,-40,-34
1691483416294,(08/08/2023)_15/30/16,-62,-49,-54,-53,-39,-43,-39,-35
1691483300540,(08/08/2023)_15/28/20,-61,-47,-54,-53,-37,-42,-39,-34
1691483328569,(08/08/2023)_15/28/48,-63,-47,-54,-53,-37,-45,-39,-34
1691483505104,(08/08/2023)_15/31/45,-61,-47,-53,-52,-39,-45,-40,-34
1691483267469,(08/08/2023)_15/27/47,-60,-46,-57,-54,-39,-45,-39,-33
1691483297601,(08/08/2023)_15/28/17,-65,-48,-54,-53,-37,-42,-40,-34
1691483319215,(08/08/2023)_15/28/39,-63,-46,-54,-53,-37,-43,-39,-33
1691483361150,(08/08/2023)_15/29/21,-62,-49,-54,-52,-40,-42,-39,-36
1691483376729,(08/08/2023)_15/29/36,-63,-47,-54,-53,-40,-43,-39,-34
1691483322627,(08/08/2023)_15/28/42,-62,-46,-54,-52,-39,-42,-39,-37
1691483325628,(08/08/2023)_15/28/45,-64,-47,-54,-52,-40,-43,-39,-36
1691483379670,(08/08/2023)_15/29/39,-64,-46,-54,-53,-40,-41,-40,-35
1691483367491,(08/08/2023)_15/29/27,-60,-46,-54,-54,-37,-40,-39,-34
1691483364057,(08/08/2023)_15/29/24,-62,-48,-54,-53,-38,-45,-39,-34
1691483391909,(08/08/2023)_15/29/51,-63,-46,-54,-52,-38,-42,-39,-35
1691483489420,(08/08/2023)_15/31/29,-65,-46,-54,-53,-37,-42,-39,-34
1691483479385,(08/08/2023)_15/31/19,-63,-48,-55,-53,-40,-42,-40,-36
1691483291372,(08/08/2023)_15/28/11,-60,-44,-58,-53,-39,-42,-40,-36
1691483498894,(08/08/2023)_15/31/38,-65,-49,-54,-53,-37,-45,-39,-36
1691483501800,(08/08/2023)_15/31/41,-60,-47,-54,-53,-37,-42,-40,-34
1691483332244,(08/08/2023)_15/28/52,-60,-47,-54,-52,-37,-44,-39,-34
1691483436689,(08/08/2023)_15/30/36,-60,-47,-54,-51,-39,-46,-40,-35
1691483452168,(08/08/2023)_15/30/52,-52,-54,-55,-57,-42,-45,-40,-34
1691483507957,(08/08/2023)_15/31/47,-66,-46,-55,-52,-40,-44,-40,-34
1691483421698,(08/08/2023)_15/30/21,-64,-49,-54,-54,-40,-44,-39,-36
1691483424913,(08/08/2023)_15/30/24,-63,-47,-54,-53,-38,-43,-39,-35
1691483467318,(08/08/2023)_15/31/07,-59,-46,-54,-53,-42,-43,-39,-34
1691483492475,(08/08/2023)_15/31/32,-63,-47,-54,-53,-40,-45,-40,-35
1691483382512,(08/08/2023)_15/29/42,-60,-47,-53,-54,-37,-43,-39,-34
1691483442930,(08/08/2023)_15/30/42,-54,-50,-53,-53,-36,-45,-39,-36
1691483486577,(08/08/2023)_15/31/26,-66,-49,-55,-53,-39,-42,-39,-36
1691483358358,(08/08/2023)_15/29/18,-59,-46,-54,-52,-39,-42,-40,-34
1691483310126,(08/08/2023)_15/28/30,-59,-50,-54,-53,-39,-46,-54,-38
1691483412757,(08/08/2023)_15/30/12,-62,-50,-54,-53,-40,-44,-39,-35
1691483370265,(08/08/2023)_15/29/30,-64,-46,-54,-52,-37,-46,-40,-37
1691483394791,(08/08/2023)_15/29/54,-62,-47,-54,-52,-38,-42,-39,-34
1691483464345,(08/08/2023)_15/31/04,-62,-41,-55,-52,-38,-45,-39,-35
1691483345475,(08/08/2023)_15/29/05,-62,-48,-54,-54,-39,-42,-40,-34
1691483427843,(08/08/2023)_15/30/27,-62,-46,-54,-53,-40,-42,-39,-35
1691483473492,(08/08/2023)_15/31/13,-62,-46,-54,-53,-39,-42,-40,-33
1691483430740,(08/08/2023)_15/30/30,-62,-49,-54,-52,-37,-43,-38,-34
1691483275429,(08/08/2023)_15/27/55,-58,-46,-53,-54,-41,-42,-39,-37
1691483403813,(08/08/2023)_15/30/03,-61,-47,-54,-53,-40,-43,-40,-35
1691483373204,(08/08/2023)_15/29/33,-62,-46,-54,-52,-39,-41,-39,-34
1691483281509,(08/08/2023)_15/28/01,-59,-47,-56,-53,-37,-44,-42,-35
1691483483084,(08/08/2023)_15/31/23,-63,-46,-55,-52,-38,-43,-39,-35
1691483448993,(08/08/2023)_15/30/48,-55,-42,-50,-50,-36,-43,-39,-34
