TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691472225025,(08/08/2023)_12/23/45,-49,-43,-44,-37,-29,-38,-46,-47
1691472677740,(08/08/2023)_12/31/17,-47,-42,-49,-36,-30,-39,-56,-43
1691472625461,(08/08/2023)_12/30/25,-51,-36,-50,-37,-29,-39,-46,-44
1691472441537,(08/08/2023)_12/27/21,-47,-43,-47,-37,-28,-39,-47,-43
1691472229039,(08/08/2023)_12/23/49,-48,-39,-45,-38,-27,-38,-45,-47
1691472113679,(08/08/2023)_12/21/53,-48,-42,-47,-37,-30,-38,-45,-44
1691472309673,(08/08/2023)_12/25/09,-48,-39,-45,-37,-29,-39,-48,-47
1691472613369,(08/08/2023)_12/30/13,-47,-41,-46,-36,-30,-38,-51,-45
1691472653434,(08/08/2023)_12/30/53,-38,-42,-55,-53,-32,-46,-54,-40
1691472169166,(08/08/2023)_12/22/49,-49,-39,-47,-37,-29,-38,-45,-46
1691472433146,(08/08/2023)_12/27/13,-48,-43,-45,-36,-29,-38,-44,-44
1691472397189,(08/08/2023)_12/26/37,-51,-42,-45,-37,-27,-38,-42,-57
1691472401184,(08/08/2023)_12/26/41,-50,-42,-46,-36,-28,-39,-48,-42
1691472593456,(08/08/2023)_12/29/53,-47,-39,-46,-40,-27,-36,-42,-46
1691472213479,(08/08/2023)_12/23/33,-53,-43,-46,-36,-30,-40,-46,-45
1691472633991,(08/08/2023)_12/30/33,-49,-43,-48,-35,-29,-36,-49,-46
1691472269605,(08/08/2023)_12/24/29,-48,-42,-45,-37,-29,-39,-48,-47
1691472345135,(08/08/2023)_12/25/45,-48,-39,-46,-37,-29,-38,-48,-47
1691472277169,(08/08/2023)_12/24/37,-47,-41,-45,-37,-27,-38,-45,-47
1691472561329,(08/08/2023)_12/29/21,-49,-42,-45,-36,-28,-38,-46,-45
1691472313159,(08/08/2023)_12/25/13,-48,-42,-46,-37,-29,-38,-47,-47
1691472565324,(08/08/2023)_12/29/25,-48,-38,-47,-36,-28,-38,-46,-47
1691472097089,(08/08/2023)_12/21/37,-46,-41,-46,-37,-29,-39,-47,-46
1691472353087,(08/08/2023)_12/25/53,-48,-41,-47,-37,-29,-38,-47,-47
1691472109167,(08/08/2023)_12/21/49,-48,-42,-47,-35,-29,-38,-46,-46
1691472381322,(08/08/2023)_12/26/21,-49,-42,-47,-37,-29,-40,-48,-45
1691472749516,(08/08/2023)_12/32/29,-46,-32,-50,-39,-30,-37,-49,-52
1691472497671,(08/08/2023)_12/28/17,-48,-39,-44,-36,-28,-39,-47,-45
1691472073035,(08/08/2023)_12/21/13,-48,-40,-47,-37,-28,-40,-48,-50
1691472273834,(08/08/2023)_12/24/33,-48,-41,-44,-37,-29,-38,-47,-48
1691472369791,(08/08/2023)_12/26/09,-48,-41,-45,-37,-28,-38,-45,-45
1691472589277,(08/08/2023)_12/29/49,-47,-43,-51,-37,-30,-40,-51,-46
1691472217623,(08/08/2023)_12/23/37,-48,-41,-48,-36,-28,-38,-50,-44
1691472393778,(08/08/2023)_12/26/33,-52,-41,-48,-38,-29,-36,-51,-50
1691472665382,(08/08/2023)_12/31/05,-52,-40,-52,-38,-30,-39,-49,-43
1691472481181,(08/08/2023)_12/28/01,-48,-41,-45,-36,-28,-37,-45,-44
1691472537273,(08/08/2023)_12/28/57,-49,-43,-47,-36,-29,-38,-46,-42
1691472300943,(08/08/2023)_12/25/00,-49,-42,-46,-37,-28,-37,-47,-46
1691472148910,(08/08/2023)_12/22/28,-48,-42,-46,-37,-28,-39,-47,-43
1691472181161,(08/08/2023)_12/23/01,-48,-39,-45,-38,-29,-39,-47,-47
1691472661380,(08/08/2023)_12/31/01,-49,-41,-51,-37,-30,-39,-52,-45
1691472521390,(08/08/2023)_12/28/41,-48,-42,-46,-36,-28,-37,-48,-46
1691472577564,(08/08/2023)_12/29/37,-46,-41,-46,-35,-29,-38,-46,-46
1691472585227,(08/08/2023)_12/29/45,-46,-41,-47,-36,-28,-38,-47,-44
1691472753708,(08/08/2023)_12/32/33,-45,-39,-49,-36,-30,-38,-50,-54
1691472365351,(08/08/2023)_12/26/05,-48,-43,-47,-37,-30,-38,-45,-48
1691472689408,(08/08/2023)_12/31/29,-43,-43,-55,-41,-31,-37,-46,-45
1691472173086,(08/08/2023)_12/22/53,-49,-42,-47,-36,-29,-38,-48,-43
1691472329216,(08/08/2023)_12/25/29,-48,-42,-47,-37,-28,-37,-47,-47
1691472281184,(08/08/2023)_12/24/41,-48,-41,-47,-37,-29,-39,-48,-45
1691472738157,(08/08/2023)_12/32/18,-47,-42,-50,-33,-30,-38,-50,-52
1691472377264,(08/08/2023)_12/26/17,-48,-46,-46,-37,-29,-40,-45,-50
1691472405154,(08/08/2023)_12/26/45,-51,-44,-47,-40,-28,-41,-50,-47
1691472116942,(08/08/2023)_12/21/56,-47,-39,-47,-37,-29,-37,-47,-48
1691472245708,(08/08/2023)_12/24/05,-47,-39,-47,-37,-29,-38,-46,-47
