Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-21.255416042333607,-39.218204269009945,-48.42301664599703,-42.9739637663582,-34.7869752967533,-51.241283197311695,-54.12009184624425,-50.10610422171969
-23.111723914226225,-38.98687338490136,-46.374543541330105,-43.60944680260286,-34.15587484479733,-51.04231500012271,-53.93300721490589,-50.11901604324099
-23.152055985730616,-37.5895750228662,-44.31310964791808,-42.370465737656325,-34.49596032755912,-52.010654582518,-59.23639952931979,-52.89659196604893
-18.99871726386548,-36.27925865491361,-47.209537711514656,-42.00108401584004,-33.437595518687296,-50.35567336828221,-52.32679118283719,-50.5668034368187
-22.878468497280625,-38.24639287199592,-45.79454836243445,-44.19226526555152,-31.883704763859846,-50.55298528222996,-55.52979498943654,-50.11649535655667
-20.647411068637407,-38.660579352985785,-47.736493343561136,-43.88482331596286,-33.952535748397935,-50.64301982623287,-52.00234360184908,-48.6938656539131
-19.989450088563263,-37.51935959513961,-44.11242323800164,-43.64274099539524,-33.7765833716388,-49.56502956093786,-55.02359574623381,-50.00148884082573
-20.142282240806733,-39.16694688306084,-46.34027895249344,-43.92577757141057,-35.51272289916881,-50.80709433896558,-53.65233362067523,-48.63773010174548
-21.71581292163921,-36.68023630279499,-46.88292112509341,-42.48537264434411,-35.54287783288536,-49.14638051190677,-52.063540085020776,-48.32046192999104
-21.13694314813343,-37.08596833617658,-46.022935785694685,-44.14330440840998,-36.43149692168701,-48.911104169257655,-55.2193727853235,-48.46907218118723
-21.82159331065492,-38.354960199355496,-46.02399440485549,-43.210444713998776,-37.24189853589961,-49.82788349900584,-53.94947150011993,-48.1821339408608
-20.07300545714874,-39.07965978155951,-46.80886088270508,-40.500802098910185,-35.12012498318773,-48.97492757630226,-53.98251921170213,-51.55670901506404
-21.1805055744572,-36.84557502758647,-46.92273237385254,-42.82223669484554,-35.2695059081492,-49.4389874341105,-52.053367501362686,-48.66630983642888
-20.921981766529186,-38.51759911029693,-45.55519367421288,-43.26171416894462,-32.2936954396238,-50.95226888801652,-52.06783145134848,-46.67996047421219
-22.699851019379334,-36.99318619254908,-46.09901038831185,-47.36514720168809,-35.88164709679238,-50.949399640121605,-52.97269621987074,-49.08874791708941
-19.95187093331339,-37.930083345887006,-50.28787021301321,-40.72053246496469,-34.57333550744959,-51.20395858879612,-54.28166471983741,-48.42509024787316
-21.796546569666216,-37.61314037255736,-46.36211772285069,-43.42773861809503,-36.72122536461482,-50.94066158967511,-53.17454192387185,-47.95319551391096
-20.753844028115,-38.03733084537945,-45.460845122108026,-42.23390477145418,-36.11800930182523,-49.84282880557561,-52.582549213188464,-47.54334185846199
-18.605037301617475,-38.06981690546007,-47.05712974567494,-41.88355617125593,-34.92864613477468,-51.960152408457375,-53.22693718659552,-52.92122143695738
-18.03910819492284,-39.45989329159652,-45.8562020667909,-41.4789868091865,-32.88150335510153,-48.38214001698265,-53.74453332302792,-50.89440702841717
-18.49040245628888,-38.41940245899033,-48.41587482605832,-42.51876472967943,-40.18732109351144,-48.86688017415784,-50.58696149548596,-49.628689831635086
-21.120721068346345,-38.27090282011858,-46.49348192597871,-46.11315194536076,-34.13874626332877,-50.49972978939245,-55.64423434317605,-50.33873090850154
-21.07148238431622,-38.6875623616519,-45.497028564185726,-43.00866704281116,-34.9982881704595,-52.79226033038813,-50.46762170438384,-50.43592747147546
-19.806258391364526,-37.05665998936807,-47.27575093618081,-39.63787140436597,-36.73570594012429,-51.66689580323337,-52.79549544664148,-51.09683537908184
