TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69149E+12",(08/08/2023)_17/12/01,-50,-44,-53,-51,-38,-47,-35,-20
"1,69149E+12",(08/08/2023)_17/10/46,-50,-42,-53,-50,-38,-45,-34,-21
"1,69149E+12",(08/08/2023)_17/11/39,-50,-43,-53,-50,-38,-46,-34,-21
"1,69149E+12",(08/08/2023)_17/12/01,-50,-44,-53,-51,-38,-47,-35,-20
"1,69149E+12",(08/08/2023)_17/12/33,-50,-41,-53,-50,-38,-50,-34,-21
"1,69149E+12",(08/08/2023)_17/11/30,-51,-40,-53,-51,-37,-46,-34,-20
"1,69149E+12",(08/08/2023)_17/10/35,-49,-45,-54,-50,-38,-46,-35,-20
"1,69149E+12",(08/08/2023)_17/11/27,-50,-43,-54,-50,-38,-46,-35,-20
"1,69149E+12",(08/08/2023)_17/12/37,-50,-44,-54,-51,-39,-47,-34,-21
"1,69149E+12",(08/08/2023)_17/11/06,-50,-46,-53,-50,-37,-48,-35,-20
"1,69149E+12",(08/08/2023)_17/09/55,-49,-45,-53,-50,-37,-43,-36,-21
"1,69149E+12",(08/08/2023)_17/13/24,-49,-43,-53,-52,-38,-41,-35,-21
"1,69149E+12",(08/08/2023)_17/12/13,-50,-43,-53,-50,-39,-46,-34,-22
"1,69149E+12",(08/08/2023)_17/11/30,-51,-40,-53,-51,-37,-46,-34,-20
"1,69149E+12",(08/08/2023)_17/10/26,-49,-44,-53,-49,-38,-50,-34,-21
"1,69149E+12",(08/08/2023)_17/11/12,-50,-42,-53,-51,-40,-47,-35,-23
"1,69149E+12",(08/08/2023)_17/10/01,-50,-44,-53,-50,-37,-43,-35,-23
"1,69149E+12",(08/08/2023)_17/10/43,-49,-43,-53,-50,-39,-46,-34,-22
"1,69149E+12",(08/08/2023)_17/10/50,-51,-41,-54,-50,-37,-45,-34,-20
"1,69149E+12",(08/08/2023)_17/09/51,-44,-41,-54,-53,-44,-47,-38,-23
"1,69149E+12",(08/08/2023)_17/13/39,-49,-44,-53,-50,-37,-45,-35,-21
"1,69149E+12",(08/08/2023)_17/11/52,-49,-43,-53,-51,-38,-46,-35,-20
"1,69149E+12",(08/08/2023)_17/10/19,-48,-43,-53,-50,-37,-47,-35,-22
"1,69149E+12",(08/08/2023)_17/10/32,-50,-44,-54,-52,-38,-46,-36,-20
"1,69149E+12",(08/08/2023)_17/09/55,-49,-45,-53,-50,-37,-43,-36,-21
"1,69149E+12",(08/08/2023)_17/10/16,-48,-42,-53,-50,-39,-45,-35,-20
