TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691481876787,(08/08/2023)_15/04/36,-51,-48,-45,-44,-39,-30,-51,-40
1691482125281,(08/08/2023)_15/08/45,-48,-38,-42,-46,-38,-30,-51,-40
1691482069091,(08/08/2023)_15/07/49,-46,-38,-42,-45,-39,-30,-51,-39
1691481985072,(08/08/2023)_15/06/25,-46,-38,-42,-43,-37,-31,-50,-39
1691481973077,(08/08/2023)_15/06/13,-47,-38,-41,-44,-38,-33,-51,-38
1691482039163,(08/08/2023)_15/07/19,-48,-34,-43,-45,-37,-32,-50,-39
1691482025105,(08/08/2023)_15/07/05,-47,-43,-43,-45,-38,-30,-51,-38
1691482123134,(08/08/2023)_15/08/43,-48,-39,-41,-45,-39,-31,-51,-40
1691482127187,(08/08/2023)_15/08/47,-48,-39,-42,-45,-39,-30,-50,-39
1691481892888,(08/08/2023)_15/04/52,-50,-41,-42,-45,-39,-31,-49,-39
1691482005066,(08/08/2023)_15/06/45,-49,-39,-42,-45,-38,-30,-51,-39
1691482075093,(08/08/2023)_15/07/55,-47,-38,-42,-45,-35,-30,-51,-39
1691481991101,(08/08/2023)_15/06/31,-45,-38,-41,-45,-39,-30,-50,-38
1691481878756,(08/08/2023)_15/04/38,-49,-39,-43,-45,-39,-29,-54,-39
1691482055110,(08/08/2023)_15/07/35,-49,-37,-43,-45,-37,-29,-49,-38
1691482149183,(08/08/2023)_15/09/09,-47,-38,-41,-46,-38,-30,-51,-39
1691482109138,(08/08/2023)_15/08/29,-48,-38,-41,-46,-38,-30,-51,-38
1691481882802,(08/08/2023)_15/04/42,-49,-39,-39,-44,-37,-28,-47,-36
1691481900889,(08/08/2023)_15/05/00,-51,-52,-40,-46,-38,-31,-51,-39
1691482093161,(08/08/2023)_15/08/13,-47,-39,-41,-46,-38,-30,-50,-39
1691482143039,(08/08/2023)_15/09/03,-48,-38,-42,-45,-38,-30,-51,-39
1691482079166,(08/08/2023)_15/07/59,-47,-37,-41,-45,-39,-30,-51,-39
1691482031147,(08/08/2023)_15/07/11,-46,-39,-42,-47,-38,-30,-51,-43
1691482131096,(08/08/2023)_15/08/51,-48,-37,-41,-46,-37,-30,-50,-40
1691481987028,(08/08/2023)_15/06/27,-48,-37,-41,-46,-38,-29,-49,-39
1691482139213,(08/08/2023)_15/08/59,-48,-38,-42,-46,-38,-31,-51,-39
1691482017139,(08/08/2023)_15/06/57,-49,-36,-42,-45,-38,-30,-50,-39
1691481964913,(08/08/2023)_15/06/04,-47,-37,-41,-45,-40,-30,-50,-39
1691482015132,(08/08/2023)_15/06/55,-48,-38,-42,-44,-36,-30,-50,-33
1691481908855,(08/08/2023)_15/05/08,-50,-41,-42,-46,-39,-31,-51,-39
1691482077089,(08/08/2023)_15/07/57,-48,-38,-42,-45,-38,-30,-51,-39
1691481997062,(08/08/2023)_15/06/37,-46,-37,-42,-45,-38,-30,-51,-39
1691482101106,(08/08/2023)_15/08/21,-49,-38,-41,-45,-38,-37,-50,-39
1691482049051,(08/08/2023)_15/07/29,-47,-36,-42,-46,-38,-29,-51,-38
1691481918993,(08/08/2023)_15/05/18,-48,-39,-43,-45,-39,-29,-50,-35
1691482119122,(08/08/2023)_15/08/39,-47,-39,-42,-45,-38,-31,-51,-40
1691481960987,(08/08/2023)_15/06/00,-47,-38,-41,-45,-38,-31,-51,-39
1691481941018,(08/08/2023)_15/05/41,-47,-38,-41,-45,-38,-36,-51,-38
1691481969017,(08/08/2023)_15/06/09,-46,-38,-42,-44,-37,-31,-50,-39
1691481959069,(08/08/2023)_15/05/59,-49,-37,-42,-44,-38,-31,-51,-39
1691481946909,(08/08/2023)_15/05/46,-47,-37,-41,-45,-38,-29,-50,-39
1691482027115,(08/08/2023)_15/07/07,-47,-40,-43,-46,-32,-30,-51,-38
1691481923048,(08/08/2023)_15/05/23,-46,-37,-41,-45,-38,-29,-50,-39
1691482133103,(08/08/2023)_15/08/53,-48,-37,-42,-46,-35,-29,-51,-39
1691481914838,(08/08/2023)_15/05/14,-49,-46,-42,-45,-38,-30,-50,-39
1691482067103,(08/08/2023)_15/07/47,-46,-39,-42,-45,-38,-30,-51,-37
1691482113134,(08/08/2023)_15/08/33,-48,-39,-41,-46,-39,-30,-51,-39
1691481906874,(08/08/2023)_15/05/06,-50,-37,-41,-45,-37,-30,-51,-39
1691481929017,(08/08/2023)_15/05/29,-46,-36,-42,-44,-37,-30,-51,-39
1691482137168,(08/08/2023)_15/08/57,-49,-38,-41,-46,-38,-30,-52,-39
1691482091050,(08/08/2023)_15/08/11,-48,-39,-41,-45,-40,-31,-51,-39
1691481966978,(08/08/2023)_15/06/06,-46,-38,-42,-46,-38,-31,-49,-39
1691482099150,(08/08/2023)_15/08/19,-49,-35,-42,-45,-38,-30,-50,-40
1691481974996,(08/08/2023)_15/06/14,-49,-37,-41,-44,-39,-29,-50,-39
1691482141259,(08/08/2023)_15/09/01,-48,-39,-41,-46,-38,-30,-50,-39
1691481999151,(08/08/2023)_15/06/39,-46,-37,-41,-45,-38,-37,-50,-34
1691481880824,(08/08/2023)_15/04/40,-50,-38,-41,-44,-39,-28,-49,-41
1691481952985,(08/08/2023)_15/05/52,-47,-38,-42,-46,-38,-30,-50,-39
1691481886962,(08/08/2023)_15/04/46,-50,-39,-42,-44,-38,-30,-49,-36
1691482021003,(08/08/2023)_15/07/01,-48,-38,-42,-45,-38,-30,-50,-39
1691482097131,(08/08/2023)_15/08/17,-48,-38,-42,-46,-39,-31,-51,-40
1691482135147,(08/08/2023)_15/08/55,-47,-39,-42,-45,-39,-30,-51,-39
1691482007155,(08/08/2023)_15/06/47,-47,-38,-42,-45,-38,-29,-50,-38
1691482029076,(08/08/2023)_15/07/09,-47,-38,-40,-46,-37,-32,-48,-39
1691482009106,(08/08/2023)_15/06/49,-46,-38,-41,-45,-37,-30,-50,-39
1691482103125,(08/08/2023)_15/08/23,-48,-37,-42,-45,-38,-29,-50,-33
1691482081063,(08/08/2023)_15/08/01,-49,-38,-41,-45,-38,-30,-50,-39
1691481902747,(08/08/2023)_15/05/02,-47,-38,-40,-45,-37,-31,-50,-39
1691482011087,(08/08/2023)_15/06/51,-46,-38,-42,-45,-38,-30,-50,-39
1691482083063,(08/08/2023)_15/08/03,-47,-37,-41,-45,-38,-30,-50,-38
1691482065119,(08/08/2023)_15/07/45,-46,-38,-41,-46,-39,-30,-51,-39
1691482151162,(08/08/2023)_15/09/11,-48,-37,-42,-45,-38,-30,-51,-39
1691482115192,(08/08/2023)_15/08/35,-47,-39,-42,-46,-39,-31,-51,-39
1691481874761,(08/08/2023)_15/04/34,-47,-46,-41,-43,-36,-30,-50,-39
1691481938893,(08/08/2023)_15/05/38,-46,-38,-42,-45,-37,-30,-51,-39
1691482035022,(08/08/2023)_15/07/15,-50,-37,-41,-44,-36,-33,-49,-35
1691481936942,(08/08/2023)_15/05/36,-50,-38,-42,-45,-38,-37,-49,-40
1691481954962,(08/08/2023)_15/05/54,-45,-38,-42,-45,-38,-29,-50,-40
1691482095029,(08/08/2023)_15/08/15,-48,-38,-41,-45,-39,-29,-50,-40
1691482013095,(08/08/2023)_15/06/53,-46,-38,-41,-44,-38,-30,-51,-40
