TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_15/08/39,-47,-39,-42,-45,-38,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/08/21,-49,-38,-41,-45,-38,-37,-50,-39
"1,69148E+12",(08/08/2023)_15/08/19,-49,-35,-42,-45,-38,-30,-50,-40
"1,69148E+12",(08/08/2023)_15/05/16,-46,-39,-42,-45,-38,-31,-50,-38
"1,69148E+12",(08/08/2023)_15/09/09,-47,-38,-41,-46,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/57,-49,-38,-41,-46,-38,-30,-52,-39
"1,69148E+12",(08/08/2023)_15/08/43,-48,-39,-41,-45,-39,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/08/35,-47,-39,-42,-46,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/08/39,-47,-39,-42,-45,-38,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/06/00,-47,-38,-41,-45,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/07/49,-46,-38,-42,-45,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/11,-46,-38,-41,-45,-38,-30,-50,-37
"1,69148E+12",(08/08/2023)_15/07/35,-49,-37,-43,-45,-37,-29,-49,-38
"1,69148E+12",(08/08/2023)_15/06/51,-46,-38,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/06/53,-46,-38,-41,-44,-38,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/06/29,-48,-38,-41,-46,-38,-31,-49,-40
"1,69148E+12",(08/08/2023)_15/08/57,-49,-38,-41,-46,-38,-30,-52,-39
"1,69148E+12",(08/08/2023)_15/06/00,-47,-38,-41,-45,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/25,-46,-38,-42,-43,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/06/29,-48,-38,-41,-46,-38,-31,-49,-40
"1,69148E+12",(08/08/2023)_15/06/45,-49,-39,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/53,-48,-37,-42,-46,-35,-29,-51,-39
"1,69148E+12",(08/08/2023)_15/08/21,-49,-38,-41,-45,-38,-37,-50,-39
"1,69148E+12",(08/08/2023)_15/05/02,-47,-38,-40,-45,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/06/51,-46,-38,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/06/13,-47,-38,-41,-44,-38,-33,-51,-38
"1,69148E+12",(08/08/2023)_15/07/35,-49,-37,-43,-45,-37,-29,-49,-38
"1,69148E+12",(08/08/2023)_15/05/54,-45,-38,-42,-45,-38,-29,-50,-40
"1,69148E+12",(08/08/2023)_15/08/53,-48,-37,-42,-46,-35,-29,-51,-39
"1,69148E+12",(08/08/2023)_15/06/00,-47,-38,-41,-45,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/55,-48,-38,-42,-44,-36,-30,-50,-33
"1,69148E+12",(08/08/2023)_15/07/05,-47,-43,-43,-45,-38,-30,-51,-38
"1,69148E+12",(08/08/2023)_15/06/37,-46,-37,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/53,-46,-38,-41,-44,-38,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/08/23,-48,-37,-42,-45,-38,-29,-50,-33
"1,69148E+12",(08/08/2023)_15/05/12,-48,-41,-42,-46,-38,-27,-50,-39
"1,69148E+12",(08/08/2023)_15/06/31,-45,-38,-41,-45,-39,-30,-50,-38
"1,69148E+12",(08/08/2023)_15/05/06,-50,-37,-41,-45,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/07/43,-47,-38,-41,-45,-39,-30,-52,-38
"1,69148E+12",(08/08/2023)_15/09/03,-48,-38,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/33,-47,-37,-41,-46,-37,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/06/49,-46,-38,-41,-45,-37,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/06/19,-47,-38,-42,-45,-35,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/05/23,-46,-37,-41,-45,-38,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/04/58,-48,-40,-41,-45,-37,-30,-49,-40
"1,69148E+12",(08/08/2023)_15/09/03,-48,-38,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/09/07,-47,-39,-42,-45,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/08/45,-48,-38,-42,-46,-38,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/07/59,-47,-37,-41,-45,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/05/18,-48,-39,-43,-45,-39,-29,-50,-35
"1,69148E+12",(08/08/2023)_15/08/35,-47,-39,-42,-46,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/05/36,-50,-38,-42,-45,-38,-37,-49,-40
"1,69148E+12",(08/08/2023)_15/05/08,-50,-41,-42,-46,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/45,-49,-39,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/23,-48,-37,-42,-45,-38,-29,-50,-33
"1,69148E+12",(08/08/2023)_15/05/59,-49,-37,-42,-44,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/39,-46,-37,-41,-45,-38,-37,-50,-34
"1,69148E+12",(08/08/2023)_15/08/25,-49,-40,-39,-45,-38,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/06/27,-48,-37,-41,-46,-38,-29,-49,-39
"1,69148E+12",(08/08/2023)_15/05/16,-46,-39,-42,-45,-38,-31,-50,-38
"1,69148E+12",(08/08/2023)_15/08/01,-49,-38,-41,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/06/14,-49,-37,-41,-44,-39,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/05/23,-46,-37,-41,-45,-38,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/06/14,-49,-37,-41,-44,-39,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/07/41,-47,-39,-42,-45,-36,-30,-51,-37
"1,69148E+12",(08/08/2023)_15/06/27,-48,-37,-41,-46,-38,-29,-49,-39
"1,69148E+12",(08/08/2023)_15/05/41,-47,-38,-41,-45,-38,-36,-51,-38
"1,69148E+12",(08/08/2023)_15/04/36,-51,-48,-45,-44,-39,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/07/29,-47,-36,-42,-46,-38,-29,-51,-38
"1,69148E+12",(08/08/2023)_15/08/51,-48,-37,-41,-46,-37,-30,-50,-40
"1,69148E+12",(08/08/2023)_15/05/38,-46,-38,-42,-45,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/13,-47,-39,-41,-46,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/04/38,-49,-39,-43,-45,-39,-29,-54,-39
"1,69148E+12",(08/08/2023)_15/06/57,-49,-36,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/07/11,-46,-39,-42,-47,-38,-30,-51,-43
"1,69148E+12",(08/08/2023)_15/05/38,-46,-38,-42,-45,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/43,-48,-39,-41,-45,-39,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/07/15,-50,-37,-41,-44,-36,-33,-49,-35
"1,69148E+12",(08/08/2023)_15/04/50,-49,-38,-41,-46,-39,-31,-48,-39
"1,69148E+12",(08/08/2023)_15/08/45,-48,-38,-42,-46,-38,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/05/02,-47,-38,-40,-45,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/08/17,-48,-38,-42,-46,-39,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/07/55,-47,-38,-42,-45,-35,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/06,-46,-38,-42,-46,-38,-31,-49,-39
"1,69148E+12",(08/08/2023)_15/05/29,-46,-36,-42,-44,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/09/11,-48,-37,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/04/40,-50,-38,-41,-44,-39,-28,-49,-41
"1,69148E+12",(08/08/2023)_15/07/47,-46,-39,-42,-45,-38,-30,-51,-37
"1,69148E+12",(08/08/2023)_15/08/59,-48,-38,-42,-46,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/27,-48,-37,-41,-46,-38,-29,-49,-39
"1,69148E+12",(08/08/2023)_15/04/42,-49,-39,-39,-44,-37,-28,-47,-36
"1,69148E+12",(08/08/2023)_15/08/33,-48,-39,-41,-46,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/04,-47,-37,-41,-45,-40,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/05/46,-47,-37,-41,-45,-38,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/07/23,-47,-36,-35,-45,-38,-32,-49,-38
"1,69148E+12",(08/08/2023)_15/07/01,-48,-38,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/07/57,-48,-38,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/07/23,-47,-36,-35,-45,-38,-32,-49,-38
"1,69148E+12",(08/08/2023)_15/05/54,-45,-38,-42,-45,-38,-29,-50,-40
"1,69148E+12",(08/08/2023)_15/05/12,-48,-41,-42,-46,-38,-27,-50,-39
"1,69148E+12",(08/08/2023)_15/04/58,-48,-40,-41,-45,-37,-30,-49,-40
"1,69148E+12",(08/08/2023)_15/06/35,-45,-38,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/07/15,-50,-37,-41,-44,-36,-33,-49,-35
"1,69148E+12",(08/08/2023)_15/07/45,-46,-38,-41,-46,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/17,-48,-38,-42,-46,-39,-31,-51,-40
"1,69148E+12",(08/08/2023)_15/05/08,-50,-41,-42,-46,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/04,-47,-37,-41,-45,-40,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/04/36,-51,-48,-45,-44,-39,-30,-51,-40
"1,69148E+12",(08/08/2023)_15/06/39,-46,-37,-41,-45,-38,-37,-50,-34
"1,69148E+12",(08/08/2023)_15/05/59,-49,-37,-42,-44,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/05/29,-46,-36,-42,-44,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/15,-48,-38,-41,-45,-39,-29,-50,-40
"1,69148E+12",(08/08/2023)_15/05/00,-51,-52,-40,-46,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/07/43,-47,-38,-41,-45,-39,-30,-52,-38
"1,69148E+12",(08/08/2023)_15/09/09,-47,-38,-41,-46,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/11,-46,-38,-41,-45,-38,-30,-50,-37
"1,69148E+12",(08/08/2023)_15/07/19,-48,-34,-43,-45,-37,-32,-50,-39
"1,69148E+12",(08/08/2023)_15/08/29,-48,-38,-41,-46,-38,-30,-51,-38
"1,69148E+12",(08/08/2023)_15/06/43,-46,-38,-42,-46,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/13,-47,-38,-41,-44,-38,-33,-51,-38
"1,69148E+12",(08/08/2023)_15/08/29,-48,-38,-41,-46,-38,-30,-51,-38
"1,69148E+12",(08/08/2023)_15/06/25,-46,-38,-42,-43,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/08/47,-48,-39,-42,-45,-39,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/05/14,-49,-46,-42,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/04/50,-49,-38,-41,-46,-39,-31,-48,-39
"1,69148E+12",(08/08/2023)_15/06/25,-46,-38,-42,-43,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/08/33,-48,-39,-41,-46,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/07/41,-47,-39,-42,-45,-36,-30,-51,-37
"1,69148E+12",(08/08/2023)_15/04/52,-50,-41,-42,-45,-39,-31,-49,-39
"1,69148E+12",(08/08/2023)_15/07/33,-47,-38,-40,-47,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/11,-48,-39,-41,-45,-40,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/06/19,-47,-38,-42,-45,-35,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/06/49,-46,-38,-41,-45,-37,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/08/13,-47,-39,-41,-46,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/05/20,-46,-37,-42,-45,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/07/07,-47,-40,-43,-46,-32,-30,-51,-38
"1,69148E+12",(08/08/2023)_15/07/55,-47,-38,-42,-45,-35,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/04,-47,-37,-41,-45,-40,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/07/49,-46,-38,-42,-45,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/07/07,-47,-40,-43,-46,-32,-30,-51,-38
"1,69148E+12",(08/08/2023)_15/05/46,-47,-37,-41,-45,-38,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/08/09,-48,-39,-41,-44,-39,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/04/38,-49,-39,-43,-45,-39,-29,-54,-39
"1,69148E+12",(08/08/2023)_15/06/09,-46,-38,-42,-44,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/05/00,-51,-52,-40,-46,-38,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/07/45,-46,-38,-41,-46,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/04/46,-50,-39,-42,-44,-38,-30,-49,-36
"1,69148E+12",(08/08/2023)_15/07/47,-46,-39,-42,-45,-38,-30,-51,-37
"1,69148E+12",(08/08/2023)_15/08/03,-47,-37,-41,-45,-38,-30,-50,-38
"1,69148E+12",(08/08/2023)_15/06/11,-46,-38,-41,-45,-38,-30,-50,-37
"1,69148E+12",(08/08/2023)_15/08/55,-47,-39,-42,-45,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/08/01,-49,-38,-41,-45,-38,-30,-50,-39
"1,69148E+12",(08/08/2023)_15/04/40,-50,-38,-41,-44,-39,-28,-49,-41
"1,69148E+12",(08/08/2023)_15/05/30,-49,-38,-42,-45,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/43,-46,-38,-42,-46,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/05/20,-46,-37,-42,-45,-37,-31,-50,-39
"1,69148E+12",(08/08/2023)_15/09/07,-47,-39,-42,-45,-39,-31,-51,-39
"1,69148E+12",(08/08/2023)_15/04/42,-49,-39,-39,-44,-37,-28,-47,-36
"1,69148E+12",(08/08/2023)_15/05/18,-48,-39,-43,-45,-39,-29,-50,-35
"1,69148E+12",(08/08/2023)_15/07/57,-48,-38,-42,-45,-38,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/33,-47,-37,-41,-46,-37,-29,-50,-39
"1,69148E+12",(08/08/2023)_15/05/36,-50,-38,-42,-45,-38,-37,-49,-40
"1,69148E+12",(08/08/2023)_15/07/59,-47,-37,-41,-45,-39,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/04/54,-51,-44,-40,-45,-39,-30,-49,-41
"1,69148E+12",(08/08/2023)_15/07/33,-47,-38,-40,-47,-37,-30,-51,-39
"1,69148E+12",(08/08/2023)_15/06/55,-48,-38,-42,-44,-36,-30,-50,-33
"1,69148E+12",(08/08/2023)_15/07/19,-48,-34,-43,-45,-37,-32,-50,-39
"1,69148E+12",(08/08/2023)_15/05/52,-47,-38,-42,-46,-38,-30,-50,-39
