TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691473049657,(08/08/2023)_12/37/29,-49,-42,-50,-36,-29,-44,-42,-44
1691473115653,(08/08/2023)_12/38/35,-50,-39,-50,-40,-29,-45,-41,-45
1691473131585,(08/08/2023)_12/38/51,-48,-42,-50,-40,-29,-45,-41,-44
1691472967558,(08/08/2023)_12/36/07,-47,-47,-51,-39,-39,-46,-42,-48
1691473203920,(08/08/2023)_12/40/03,-49,-42,-49,-40,-31,-45,-44,-45
1691473035580,(08/08/2023)_12/37/15,-48,-43,-50,-39,-30,-44,-42,-45
1691473171768,(08/08/2023)_12/39/31,-48,-44,-52,-39,-30,-44,-43,-45
1691473055527,(08/08/2023)_12/37/35,-49,-38,-50,-40,-30,-44,-42,-45
1691473135613,(08/08/2023)_12/38/55,-49,-43,-51,-40,-29,-45,-41,-44
1691473095577,(08/08/2023)_12/38/15,-50,-42,-50,-40,-29,-43,-41,-46
1691472959540,(08/08/2023)_12/35/59,-48,-40,-50,-38,-37,-42,-42,-42
1691473175867,(08/08/2023)_12/39/35,-47,-42,-49,-39,-29,-41,-48,-53
1691473039537,(08/08/2023)_12/37/19,-49,-42,-50,-40,-29,-45,-42,-46
1691473143694,(08/08/2023)_12/39/03,-48,-42,-50,-40,-29,-45,-41,-46
1691473025525,(08/08/2023)_12/37/05,-49,-41,-50,-40,-30,-42,-42,-44
1691472975559,(08/08/2023)_12/36/15,-49,-45,-51,-40,-29,-44,-41,-45
1691473003590,(08/08/2023)_12/36/43,-49,-42,-50,-40,-29,-45,-41,-46
1691473141627,(08/08/2023)_12/39/01,-48,-43,-50,-40,-29,-44,-41,-44
1691472999603,(08/08/2023)_12/36/39,-49,-42,-51,-40,-30,-45,-41,-46
1691473119633,(08/08/2023)_12/38/39,-50,-42,-50,-40,-29,-45,-42,-46
1691473216088,(08/08/2023)_12/40/16,-49,-43,-49,-40,-30,-44,-43,-47
1691472957534,(08/08/2023)_12/35/57,-52,-41,-49,-40,-30,-39,-40,-43
1691473123601,(08/08/2023)_12/38/43,-49,-43,-50,-40,-29,-45,-41,-44
1691473085628,(08/08/2023)_12/38/05,-48,-43,-50,-40,-29,-45,-42,-44
1691473169883,(08/08/2023)_12/39/29,-49,-42,-50,-37,-29,-47,-42,-46
1691473125656,(08/08/2023)_12/38/45,-48,-43,-50,-40,-29,-45,-42,-45
1691472997645,(08/08/2023)_12/36/37,-49,-42,-51,-40,-30,-45,-42,-46
1691473195917,(08/08/2023)_12/39/55,-46,-44,-45,-36,-30,-44,-40,-49
1691473045596,(08/08/2023)_12/37/25,-49,-43,-50,-40,-29,-45,-41,-45
1691472977478,(08/08/2023)_12/36/17,-49,-44,-49,-40,-30,-44,-42,-50
1691473005661,(08/08/2023)_12/36/45,-49,-42,-50,-40,-30,-42,-42,-45
1691473087566,(08/08/2023)_12/38/07,-48,-42,-50,-40,-29,-42,-42,-43
1691473031570,(08/08/2023)_12/37/11,-49,-43,-50,-40,-28,-44,-42,-45
1691473093626,(08/08/2023)_12/38/13,-50,-42,-50,-40,-30,-44,-41,-46
