TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691477506478,(08/08/2023)_13/51/46,-47,-44,-50,-47,-38,-46,-44,-44
1691477825211,(08/08/2023)_13/57/05,-48,-45,-51,-46,-36,-46,-45,-45
1691477666832,(08/08/2023)_13/54/26,-49,-42,-51,-46,-37,-42,-44,-42
1691477486460,(08/08/2023)_13/51/26,-49,-43,-49,-46,-39,-46,-45,-45
1691477566593,(08/08/2023)_13/52/46,-49,-43,-50,-46,-39,-47,-44,-44
1691477801142,(08/08/2023)_13/56/41,-48,-44,-51,-47,-38,-48,-44,-44
1691477732969,(08/08/2023)_13/55/32,-52,-41,-52,-48,-39,-45,-46,-45
1691477660874,(08/08/2023)_13/54/20,-52,-43,-50,-44,-40,-43,-45,-44
1691477478495,(08/08/2023)_13/51/18,-48,-45,-51,-46,-39,-48,-43,-43
1691477592663,(08/08/2023)_13/53/12,-48,-44,-51,-47,-37,-47,-44,-43
1691477490376,(08/08/2023)_13/51/30,-47,-46,-49,-48,-36,-48,-46,-46
1691477508422,(08/08/2023)_13/51/48,-48,-44,-51,-47,-37,-47,-45,-44
1691477781102,(08/08/2023)_13/56/21,-51,-45,-50,-46,-36,-47,-45,-44
1691477738981,(08/08/2023)_13/55/38,-50,-42,-53,-49,-40,-47,-46,-41
1691477556620,(08/08/2023)_13/52/36,-48,-43,-50,-47,-35,-42,-44,-42
1691477510536,(08/08/2023)_13/51/50,-49,-45,-51,-47,-38,-46,-45,-44
1691477829200,(08/08/2023)_13/57/09,-49,-43,-50,-44,-37,-46,-44,-44
1691477724907,(08/08/2023)_13/55/24,-48,-44,-49,-47,-39,-45,-44,-45
1691477476430,(08/08/2023)_13/51/16,-46,-43,-49,-46,-40,-42,-45,-44
1691477538613,(08/08/2023)_13/52/18,-48,-45,-51,-47,-38,-47,-43,-45
1691477689032,(08/08/2023)_13/54/49,-49,-42,-52,-48,-38,-47,-45,-43
1691477636738,(08/08/2023)_13/53/56,-48,-45,-51,-47,-39,-46,-44,-44
1691477670817,(08/08/2023)_13/54/30,-52,-44,-49,-47,-38,-42,-42,-43
1691477757014,(08/08/2023)_13/55/57,-49,-44,-50,-46,-38,-46,-44,-45
1691477632716,(08/08/2023)_13/53/52,-48,-45,-51,-47,-38,-46,-44,-45
1691477783210,(08/08/2023)_13/56/23,-48,-44,-51,-46,-36,-48,-42,-44
1691477703034,(08/08/2023)_13/55/03,-49,-46,-50,-47,-37,-47,-41,-44
1691477668886,(08/08/2023)_13/54/28,-50,-43,-52,-47,-34,-43,-44,-43
