TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691481518032,(08/08/2023)_14/58/38,-48,-44,-58,-51,-41,-37,-46,-41
1691481561259,(08/08/2023)_14/59/21,-44,-37,-52,-51,-38,-37,-48,-41
1691481586736,(08/08/2023)_14/59/46,-43,-38,-52,-51,-40,-39,-49,-42
1691481583249,(08/08/2023)_14/59/43,-44,-38,-54,-51,-40,-37,-48,-47
1691481653796,(08/08/2023)_15/00/53,-44,-37,-53,-50,-39,-38,-49,-44
1691481629628,(08/08/2023)_15/00/29,-43,-39,-53,-50,-37,-40,-48,-39
1691481686904,(08/08/2023)_15/01/26,-45,-37,-53,-51,-37,-39,-49,-40
1691481668744,(08/08/2023)_15/01/08,-45,-38,-54,-49,-39,-39,-48,-41
1691481675122,(08/08/2023)_15/01/15,-45,-36,-53,-51,-40,-41,-49,-41
1691481527008,(08/08/2023)_14/58/47,-44,-37,-53,-50,-39,-37,-48,-39
1691481530521,(08/08/2023)_14/58/50,-44,-40,-53,-50,-38,-39,-48,-40
1691481717544,(08/08/2023)_15/01/57,-43,-38,-52,-51,-39,-39,-47,-40
1691481610899,(08/08/2023)_15/00/10,-43,-37,-53,-49,-40,-39,-49,-39
1691481693278,(08/08/2023)_15/01/33,-44,-36,-53,-50,-38,-39,-49,-41
1691481659576,(08/08/2023)_15/00/59,-44,-33,-53,-50,-42,-39,-48,-41
1691481677906,(08/08/2023)_15/01/17,-45,-35,-53,-50,-42,-39,-49,-43
1691481680857,(08/08/2023)_15/01/20,-45,-39,-53,-50,-40,-38,-48,-39
1691481542136,(08/08/2023)_14/59/02,-44,-38,-53,-49,-40,-40,-49,-41
1691481623153,(08/08/2023)_15/00/23,-43,-39,-53,-50,-36,-40,-48,-43
1691481650276,(08/08/2023)_15/00/50,-45,-36,-54,-49,-41,-38,-49,-41
1691481577200,(08/08/2023)_14/59/37,-45,-38,-54,-50,-39,-39,-48,-39
1691481595969,(08/08/2023)_14/59/55,-43,-39,-53,-50,-37,-40,-47,-42
1691481605316,(08/08/2023)_15/00/05,-44,-38,-53,-50,-39,-39,-48,-39
1691481614408,(08/08/2023)_15/00/14,-43,-39,-53,-50,-40,-39,-47,-41
1691481558346,(08/08/2023)_14/59/18,-44,-39,-53,-50,-40,-39,-47,-42
1691481500179,(08/08/2023)_14/58/20,-42,-36,-50,-47,-41,-38,-47,-45
1691481502958,(08/08/2023)_14/58/22,-45,-40,-49,-49,-40,-39,-49,-44
1691481515198,(08/08/2023)_14/58/35,-45,-39,-50,-50,-40,-37,-50,-41
1691481690410,(08/08/2023)_15/01/30,-45,-39,-54,-50,-40,-38,-49,-42
1691481521101,(08/08/2023)_14/58/41,-42,-38,-52,-50,-39,-40,-47,-40
1691481632666,(08/08/2023)_15/00/32,-43,-39,-54,-50,-39,-40,-47,-42
1691481626035,(08/08/2023)_15/00/26,-44,-36,-54,-50,-38,-40,-47,-40
1691481617119,(08/08/2023)_15/00/17,-44,-37,-53,-50,-39,-40,-48,-44
1691481512566,(08/08/2023)_14/58/32,-46,-39,-56,-50,-39,-39,-45,-41
1691481666040,(08/08/2023)_15/01/06,-45,-37,-53,-50,-38,-40,-49,-39
1691481592460,(08/08/2023)_14/59/52,-44,-39,-53,-51,-38,-47,-49,-41
1691481589557,(08/08/2023)_14/59/49,-44,-36,-53,-51,-38,-40,-48,-42
1691481705219,(08/08/2023)_15/01/45,-43,-34,-53,-50,-38,-38,-49,-40
1691481552523,(08/08/2023)_14/59/12,-45,-37,-53,-51,-39,-39,-48,-42
1691481549257,(08/08/2023)_14/59/09,-43,-37,-54,-49,-40,-39,-50,-42
1691481696085,(08/08/2023)_15/01/36,-46,-37,-54,-50,-38,-39,-49,-40
1691481702240,(08/08/2023)_15/01/42,-43,-38,-53,-49,-40,-36,-48,-40
1691481641464,(08/08/2023)_15/00/41,-44,-39,-53,-50,-37,-39,-49,-42
1691481568137,(08/08/2023)_14/59/28,-44,-37,-53,-51,-41,-39,-49,-36
1691481565016,(08/08/2023)_14/59/25,-45,-38,-53,-50,-39,-41,-49,-43
1691481635297,(08/08/2023)_15/00/35,-43,-36,-53,-50,-39,-40,-48,-42
1691481555146,(08/08/2023)_14/59/15,-45,-37,-53,-50,-42,-39,-47,-41
1691481509050,(08/08/2023)_14/58/29,-46,-38,-55,-50,-40,-39,-48,-41
