TimeStampMillis,TimeStampFormatted,Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
1691487296807,(08/08/2023)_16/34/56,-50,-54,-42,-45,-49,-46,-49,-29
1691487458291,(08/08/2023)_16/37/38,-46,-52,-51,-45,-45,-46,-45,-29
1691487500758,(08/08/2023)_16/38/20,-49,-53,-49,-49,-46,-41,-50,-30
1691487417826,(08/08/2023)_16/36/57,-46,-53,-51,-46,-45,-42,-47,-31
1691487442874,(08/08/2023)_16/37/22,-50,-53,-52,-49,-45,-43,-45,-31
1691487527298,(08/08/2023)_16/38/47,-48,-53,-52,-48,-45,-43,-51,-30
1691487284695,(08/08/2023)_16/34/44,-48,-51,-40,-47,-45,-40,-43,-30
1691487440127,(08/08/2023)_16/37/20,-47,-53,-47,-49,-44,-46,-49,-30
1691487277761,(08/08/2023)_16/34/37,-44,-55,-43,-41,-49,-45,-48,-39
1691487428062,(08/08/2023)_16/37/08,-52,-53,-52,-48,-45,-43,-46,-32
1691487491638,(08/08/2023)_16/38/11,-48,-53,-56,-47,-45,-43,-47,-29
1691487274779,(08/08/2023)_16/34/34,-50,-51,-40,-42,-43,-40,-46,-42
1691487322705,(08/08/2023)_16/35/22,-49,-52,-54,-46,-45,-42,-46,-29
1691487408285,(08/08/2023)_16/36/48,-47,-53,-48,-47,-45,-45,-45,-30
1691487474755,(08/08/2023)_16/37/54,-56,-53,-55,-86,-45,-43,-47,-27
1691487480466,(08/08/2023)_16/38/00,-47,-53,-52,-48,-45,-45,-48,-29
1691487421447,(08/08/2023)_16/37/01,-49,-53,-50,-47,-45,-40,-50,-31
1691487495273,(08/08/2023)_16/38/15,-47,-53,-51,-46,-45,-45,-49,-30
1691487377730,(08/08/2023)_16/36/17,-50,-53,-51,-47,-45,-42,-49,-32
1691487523594,(08/08/2023)_16/38/43,-47,-54,-49,-49,-45,-44,-50,-30
1691487293833,(08/08/2023)_16/34/53,-47,-53,-41,-50,-45,-43,-43,-29
1691487374689,(08/08/2023)_16/36/14,-47,-52,-49,-46,-46,-40,-48,-30
1691487281317,(08/08/2023)_16/34/41,-43,-52,-45,-54,-47,-46,-43,-32
1691487462183,(08/08/2023)_16/37/42,-50,-52,-49,-48,-45,-39,-48,-29
1691487386476,(08/08/2023)_16/36/26,-47,-53,-52,-47,-45,-43,-59,-29
1691487395621,(08/08/2023)_16/36/35,-50,-53,-52,-48,-46,-40,-45,-32
1691487339950,(08/08/2023)_16/35/39,-47,-53,-53,-47,-45,-43,-50,-29
1691487312753,(08/08/2023)_16/35/12,-47,-53,-53,-47,-47,-43,-49,-30
1691487424672,(08/08/2023)_16/37/04,-48,-53,-50,-46,-45,-41,-50,-29
1691487449365,(08/08/2023)_16/37/29,-49,-49,-35,-50,-45,-39,-51,-30
1691487300415,(08/08/2023)_16/35/00,-44,-49,-43,-45,-47,-42,-54,-35
1691487358168,(08/08/2023)_16/35/58,-51,-54,-53,-47,-45,-44,-47,-29
1691487392715,(08/08/2023)_16/36/32,-49,-53,-50,-49,-45,-43,-50,-30
1691487367090,(08/08/2023)_16/36/07,-48,-52,-52,-48,-45,-44,-50,-29
1691487471320,(08/08/2023)_16/37/51,-46,-53,-51,-48,-45,-41,-49,-29
1691487534160,(08/08/2023)_16/38/54,-48,-53,-53,-50,-45,-43,-52,-30
1691487310048,(08/08/2023)_16/35/10,-47,-53,-52,-47,-45,-41,-52,-29
1691487290713,(08/08/2023)_16/34/50,-41,-50,-51,-45,-49,-40,-55,-29
1691487326749,(08/08/2023)_16/35/26,-58,-54,-54,-48,-45,-41,-48,-30
1691487508418,(08/08/2023)_16/38/28,-49,-52,-51,-46,-45,-43,-51,-30
1691487517477,(08/08/2023)_16/38/37,-49,-52,-50,-49,-46,-44,-50,-30
1691487484261,(08/08/2023)_16/38/04,-48,-54,-50,-47,-45,-44,-51,-29
1691487316115,(08/08/2023)_16/35/16,-47,-53,-51,-45,-47,-43,-50,-31
1691487307218,(08/08/2023)_16/35/07,-48,-52,-50,-47,-45,-43,-51,-29
1691487361206,(08/08/2023)_16/36/01,-49,-52,-51,-45,-45,-41,-46,-29
1691487349325,(08/08/2023)_16/35/49,-47,-53,-52,-47,-45,-40,-46,-29
1691487497942,(08/08/2023)_16/38/17,-50,-53,-51,-47,-45,-41,-49,-29
1691487488300,(08/08/2023)_16/38/08,-48,-53,-53,-47,-44,-42,-48,-30
