Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-45.0,-28.0,-45.0,-42.0,-47.0,-28.0,-43.0,-48.0
-47.8267315780598,-28.026452056632117,-43.475876645329784,-40.55660760104581,-46.25640471709884,-29.029552417067062,-43.34849187345427,-46.387845390647406
-46.275894330938065,-27.70692698297275,-43.250187533155895,-41.163541241887025,-46.89612199047287,-30.32141190676995,-43.581004490595,-48.50777195639105
-42.175519101499205,-27.918075154741242,-46.08806028812545,-42.17585056455479,-46.51316686545686,-29.54139141523131,-43.12343406869891,-49.53672095706418
-42.78064823745155,-26.950614051596652,-42.95977342990708,-41.38589665144045,-48.35230521667539,-30.01644981484624,-42.17003688948472,-48.59331236498255
-39.8696316379648,-26.700883554995066,-42.7159744517477,-41.5784362205193,-49.35282110478393,-29.240785040440358,-41.69037506932243,-51.48450081133085
-38.970043087606165,-27.05026313311248,-42.907090229737456,-43.263538301530886,-50.54164473812998,-28.499182828062022,-43.20270412761328,-51.525145742886934
-40.368879337075875,-25.640574126751282,-43.03172979695016,-42.84729152338666,-52.5257502660693,-29.123739179960303,-43.74943621928231,-51.34206579188731
-40.315409296204464,-26.410227617519205,-44.35554529745728,-42.27218527572908,-50.62350541349428,-29.930938169824504,-43.997945515916335,-51.42832282672402
-41.57467644080526,-27.406818335103463,-44.882260191204104,-42.378357209397066,-49.10196968509349,-30.331668608610883,-45.0037709693103,-52.311297606902656
-44.25872799502269,-27.53013517051729,-44.68240019783582,-43.83387590083248,-50.11331391502475,-29.777942575523618,-45.84292793934839,-50.62648155454213
-44.8560737514986,-26.417979202563423,-44.1521763764283,-43.894371192911265,-49.99209763190965,-29.669388534638095,-44.18566486093206,-48.07610877807714
-45.137868014122866,-28.205875784570924,-43.79398526993004,-44.06990165432934,-50.04915717061934,-27.441573946532536,-44.87597074693916,-50.21259853465528
-44.06193704178006,-29.18262228026676,-43.960353047299066,-43.3432548711486,-48.5601578863825,-27.662436787242513,-46.92547612042666,-50.060681241741506
-44.01468655591269,-28.878647971586403,-45.31732802514683,-43.9757391489642,-48.520104864057465,-26.478415886604505,-44.28580073319503,-49.69085600067919
-42.25975592555265,-26.517608834368623,-44.65247244452995,-43.705561469191515,-47.99621798273295,-27.462496192637985,-43.19964602960156,-51.27587602863542
-42.79311987231618,-26.009459323799803,-45.17329372359231,-42.81925694139607,-50.441929690523835,-27.10322553448048,-42.54438449189877,-50.28768163759995
-44.15428832162334,-27.91248092049671,-42.725820374658184,-42.60165932025678,-51.490031619752074,-27.73628367292006,-43.07665130676157,-51.27081848079052
-44.17401628405091,-26.799342072605977,-42.50035120579544,-43.769938049049095,-50.32608203232032,-28.106062651029244,-42.7761763292182,-51.65400960103491
-43.893729251724075,-27.292614415677072,-43.16668435083626,-43.774545828553705,-50.138828914653665,-28.433965041263797,-44.858772179009556,-52.358445146893466
-41.664233386481634,-27.982129254431204,-43.93954317687383,-43.1245020314918,-49.882816687423826,-27.869546317557628,-45.84644691849725,-52.67658817343812
-42.28363905938572,-28.979371438690695,-42.24803583910609,-45.43195931083723,-48.79927387367326,-27.706886172026156,-47.19670988783368,-52.5271429104508
-41.37716350119699,-29.607167416545636,-40.71960024749098,-43.880152288167764,-47.21021562631801,-28.027266892885326,-44.67091553973505,-48.23807479396157
-41.28556260143871,-29.333012660625407,-42.83260643749846,-42.53252429831777,-45.88645581303426,-28.75234269005245,-43.44018609388657,-49.629477273739745
-44.463080926086214,-27.56989741664971,-42.294700259215546,-42.297951683495,-47.99516315836835,-27.78036629282541,-43.64957628448323,-48.36672977083334
-43.644021756163006,-27.684544423636236,-41.82439507282823,-44.19114308279138,-48.15702781488689,-26.745779924410233,-44.115529834511506,-48.42291988599149
