Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-50.0,-28.0,-40.0,-40.0,-48.0,-37.0,-47.0,-48.0
-49.829052643159685,-28.499633334698974,-42.42363826662194,-40.88008751450146,-47.725145201840775,-33.860715825431384,-46.578950303743184,-49.16115173910156
-47.22613628929675,-28.058577439498947,-41.130394874507424,-40.10041875467752,-47.567011897370826,-33.63890292177502,-46.53387234049509,-49.49813456070051
-46.055192315389036,-26.298580944166055,-39.70914658976692,-40.042228355846035,-47.54836011133949,-36.3789899370106,-46.732100384807104,-49.610095304533196
-45.27961867789674,-26.925728571501246,-37.495497559473506,-40.49756561159232,-47.92251663888499,-37.65710244848853,-47.05762758878379,-48.90537698558297
-43.970604502518384,-27.9617045772507,-37.25727146600063,-40.55432785061414,-46.40158764515486,-37.81013700692052,-45.55516625550165,-47.61753335774651
-42.699302261169194,-26.873739898367685,-38.822273297857336,-40.071548820146745,-47.68508078763254,-37.55472806474887,-43.74919907395235,-48.402319398391725
-45.40521804852798,-27.708700514423867,-39.85657176507582,-39.90450128599831,-47.01361320791291,-37.256920417167315,-46.703404775809894,-46.48919255590279
-45.58954852534941,-27.991411912187928,-38.47198965391761,-41.61258764454057,-46.07838727026854,-37.816143150017375,-45.092835345090364,-49.41708138265131
-44.9867659109039,-26.774300541803626,-37.371348025657774,-39.817559494420045,-45.86345916024874,-37.70238400898782,-44.870511201757836,-47.462724317303696
-43.727589843015885,-26.260326787500727,-38.59031709055189,-41.26064183940039,-47.3863706651074,-35.65828233381313,-46.22723448405975,-46.76362371659346
-45.05094125592811,-25.410998408953105,-39.32133827693337,-41.2729950283958,-47.00231561771075,-37.18858658022859,-47.3370082428849,-46.996600649552455
-47.576240776647914,-25.490905912353114,-40.52060268781184,-40.67765411299581,-48.92059222724015,-39.071765687758635,-47.5278123998727,-45.54142362160324
-45.82236652626086,-28.64020873839789,-40.916159550024986,-41.48634898270895,-47.00182363440695,-37.950214575024944,-46.53077817719432,-49.333006678263544
-45.814967338931964,-28.25656370372014,-39.73977690402003,-41.9954225512859,-46.71894250709424,-38.94159656067339,-47.49828167089731,-48.92812024331602
-47.18573623786379,-28.129795657551604,-38.0244158736236,-41.390190784599106,-46.66232574041162,-37.672057206440236,-46.88655339225259,-48.05038961201167
-46.69947959914466,-27.22220111808731,-36.95579312626941,-39.59351364327549,-45.253271222882596,-38.40505771517959,-45.137845924818386,-47.93667530044785
-48.191317751342574,-28.698987597980093,-36.576060558990015,-36.48521747766845,-45.35354587746462,-38.20682946200859,-44.39226258094164,-47.59290100945407
-45.12806264574946,-29.155600290753195,-37.41200626019127,-39.582641296817705,-44.54975373124941,-39.05956572697014,-44.047119851038104,-47.19606119229625
-47.12222346307409,-29.966834405352376,-39.56153723720091,-39.84510566689733,-47.46730279908272,-38.296901771664,-45.143561337342,-48.8186573720424
-47.5908127475626,-29.00670154406465,-40.31355328328345,-41.82706479716662,-47.288578519365366,-37.39561599234387,-44.54858986599854,-48.00823090883716
-46.61528223900695,-28.970700027445826,-40.26778125277309,-40.807114481628595,-46.27765057239638,-36.060352468231045,-45.15279009031146,-46.77256937769187
