Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-39.0,-34.0,-40.0,-39.0,-50.0,-49.0,-50.0,-49.0
-42.7452293379259,-35.599291029969294,-38.17941155650247,-38.29908781357456,-46.911852054470955,-49.66597368526544,-49.22870563381129,-47.678404659187855
-41.352794184713126,-34.58592385616502,-37.50607148536005,-37.975099084421764,-45.31967085117813,-48.160226618234205,-48.05333577210747,-49.187594038533085
-42.67427668060445,-33.65463143738222,-38.12542738629533,-36.72729063373061,-44.21782405374503,-45.97364175988099,-48.61285384316806,-48.3561046864039
-43.71555942669296,-32.26852100242652,-39.44721696350446,-38.92519315029725,-42.001213601430436,-43.33883628559438,-49.075387636576465,-49.45574655158137
-43.689910758245034,-34.74651624071738,-40.28532944971516,-38.72877900652085,-42.63941128957497,-41.237011268219064,-48.60769982765964,-49.51700539814613
-43.0912774602231,-32.905163165841,-42.6358262269727,-40.66257093855108,-42.922473869988366,-40.94064211201628,-48.98661027384844,-50.33593705503416
-44.08905014291907,-31.013716943705102,-39.593586055235676,-43.11369011898545,-42.1954142105635,-41.07730642960746,-47.4228260745228,-49.66843778420484
-44.95135826877675,-34.720685209291794,-42.30753449140924,-44.25681408791744,-42.098966669192954,-38.877838279590335,-49.75217345424997,-47.40783764464719
-45.603538066205004,-36.23101738903165,-42.70366864729859,-42.0787366965266,-41.260599029035056,-38.6746253450912,-50.31715174532385,-48.11577513746746
-45.728851782112,-33.35298376220119,-44.05429711234935,-46.783818562887596,-41.6897521798219,-39.28903666794461,-51.471533569284254,-46.73994302537651
-49.70304605974418,-31.285588739100255,-45.99988025728792,-44.65513614714331,-42.928193795960205,-38.989289282728734,-52.552197149155454,-47.735980667699515
-48.011286363446864,-31.140299859731687,-45.218485872268616,-43.51574988642695,-42.97415160637827,-38.13776209644064,-50.74664365780282,-47.4239154135032
-47.52767062682295,-30.131435084865924,-44.4858497812847,-42.639447605669965,-42.91005110941814,-38.83515923767765,-49.77202888805521,-46.93249073670283
-46.235978745065076,-30.557378246515707,-43.18013086632285,-42.995109871897085,-40.34972367856996,-39.01869653436987,-49.145719999663626,-46.861067947963264
-46.79163512582249,-29.15267142518185,-43.76467936722076,-43.74202905980729,-42.78806904282975,-39.13045663796246,-49.46706612079126,-46.96046139863332
-45.557372435121614,-30.67573638415821,-44.16470245275097,-43.008917660215204,-42.63463556182833,-40.861400316535544,-48.43160811752544,-45.35004581790929
-45.50929226371037,-29.60025074996447,-44.642432810731854,-43.09017687471633,-42.529057505501065,-39.79243047304454,-49.08698550385767,-45.97381406748968
-46.04529037766396,-29.533696713567572,-43.006754393918364,-41.19145835950151,-41.82618925457006,-40.31110828700901,-48.91471176175461,-48.32763733817133
-46.744583044717984,-30.266775932975502,-41.822331432798684,-40.462026484246415,-41.73814070040548,-42.120565490801525,-48.56835882978379,-48.30455424566785
-46.77949242818374,-28.757863732481695,-41.89146422050613,-41.594514440260696,-39.19230989758728,-40.92882626377838,-47.58471863602541,-48.510646116082384
-46.50477477605561,-28.460658881453405,-43.67413658725941,-41.25124259628545,-41.196430185685394,-39.28378539033067,-48.88562090577362,-47.85836001852849
-47.26335448898517,-29.63163649076788,-45.41783154875609,-42.263940216259506,-42.77883864306304,-39.56753644659029,-50.02717346693612,-48.20904192941161
-45.85436056278553,-29.49363754019127,-45.3824306948996,-43.07335064976456,-43.08944557858526,-39.63019740634023,-49.97642324245614,-45.85415981151823
-44.24806644119159,-31.066845291858602,-45.15610801749606,-39.02639091107428,-43.397812466520286,-40.07535341884236,-46.9888644645026,-49.238097793195635
-43.30587627287886,-29.841236577850605,-45.644286688707616,-39.50688630665549,-42.46399602574481,-39.32282533856494,-47.334836999910735,-49.50818200308934
-45.37441073463651,-30.14847739002137,-45.61586099128023,-42.242885583337916,-42.071634156894135,-39.28895187449256,-50.79650644282628,-47.57330178361466
-45.10419532841506,-31.871834868095917,-44.50577488260971,-40.437439342631265,-42.182798902889026,-38.00807075180054,-50.400099052599444,-48.90171337033696
-45.38091154853692,-30.299334103559318,-44.58560998787573,-39.934866128091784,-42.81148027224299,-39.79216387278841,-51.04565957445128,-48.63792644413283
-44.17530638723027,-32.140024648314444,-45.072129897640664,-40.42931954521617,-42.242320643306606,-40.497517826552766,-50.581819755287746,-50.51113370003675
-43.86286530176829,-31.481084048514184,-45.039161457442944,-41.1964834345152,-42.38399570246915,-41.42889567682561,-50.073726970004934,-50.39008540737236
-43.910026641230225,-31.002357600907477,-45.192317362630746,-39.52283134909221,-41.247943944036294,-40.66679315184435,-52.391627831887384,-50.0254290870284
-44.42728382111433,-29.844113518508028,-44.98842583627742,-40.43015753907111,-39.83681768077518,-39.20436366735202,-50.358854198857024,-49.44941836957779
-44.20607789158904,-29.796652375625516,-44.71843920163616,-40.92382538205653,-39.336983956726186,-38.2721204485903,-50.15924002509583,-48.732339838594044
-44.269208757552605,-30.630518822839683,-44.80238031008417,-42.34907008590649,-40.18049086517194,-38.01018015187185,-49.86129608346324,-47.82055088000361
-44.45183281850809,-30.738756101620165,-44.507450826615425,-42.10864533939656,-40.96060717443132,-38.62726980960897,-48.21006104524203,-47.978358332270915
