Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-37.0,-35.0,-44.0,-41.0,-47.0,-42.0,-49.0,-52.0
-38.206447761500485,-34.102572453126264,-44.68388743166931,-41.81930097044536,-46.74928831796536,-44.26058903857228,-47.37021428579744,-49.38760050144804
-37.06745358636132,-35.56292970814562,-45.956636411004716,-40.25067634532229,-45.38845853859463,-43.723404490581494,-49.51323307061896,-49.198753030123534
-39.68992525017823,-37.04027927609292,-45.43801929072438,-46.09584095366588,-47.68603741003461,-41.694334248315094,-50.77312522480603,-51.13693955831972
-39.02962344699629,-36.637187256408424,-46.23476759964814,-44.46106018341056,-46.60195696872154,-39.87307822982049,-49.648600292501264,-49.39584676083684
-37.69968754449918,-35.61050558226503,-45.01738248827263,-42.517185149539436,-45.727549470752514,-41.033659829214756,-49.924460715829085,-49.62464241162326
-38.40181002054767,-36.09846232562215,-43.93304519148389,-41.07699029064944,-47.924804519837345,-42.000281512554004,-49.03136736591555,-50.11585318355054
-37.485040754590415,-35.52139948033622,-45.304408266053386,-42.90739493643498,-46.784713336625664,-43.104986365608674,-48.98998766037484,-49.76201841517404
-37.989987650773045,-37.411213646712326,-43.67181673039083,-42.86918444256069,-47.74831708793114,-44.549238675283064,-49.23179366063123,-47.698986389575325
-39.7375349393377,-36.08057622394494,-42.602926805073665,-41.12041399383276,-47.44696656529081,-46.164680925009215,-48.291824612424534,-49.35171097031481
-38.56486457357449,-37.3258289345598,-42.21197052753047,-40.24384892082263,-48.834284661371306,-45.55223610497317,-49.36599360352872,-62.652074054617295
-37.448495979049326,-35.719441123879704,-43.661538880790054,-40.11694482705356,-49.00698148891218,-45.81193894015006,-48.63446170065813,-57.968420630985904
-37.83546678686303,-36.107748291809536,-42.99059839604244,-42.7228102235035,-45.5104261469889,-45.9647844253578,-49.40667645946226,-55.16756535552443
-37.833449102246924,-36.154694771184026,-45.20259332431475,-42.080479348572084,-46.740348096685466,-46.1993092267647,-48.25936815027628,-51.63047668934927
-37.16520726811634,-37.94452548155899,-43.41779765727722,-42.03969898510095,-49.470322291930515,-45.31366055202774,-48.44218440931277,-51.61092733289016
-38.17999469474825,-37.766174917296986,-44.014532352332466,-42.12820726812285,-48.56076155885445,-45.88690045993775,-49.57765515369026,-50.677237539737646
-38.625139880690746,-36.81568517699539,-44.67068648671342,-41.383457398174045,-47.79217931611373,-45.52872245425882,-48.67864118135855,-50.74909183255926
-38.14456749279196,-35.43828532138703,-45.368469225050156,-40.05937600790568,-49.035526762366835,-45.210319843732265,-47.67099649325055,-51.458663589139874
-38.6230570770663,-36.70909638156103,-45.355672115015985,-40.26885020214801,-49.0513690522968,-44.75226347238905,-47.79241248671558,-51.272428303643764
-39.71722996328405,-36.232051127045054,-44.65262949231754,-41.57204722248763,-49.67252928627779,-43.61574458017068,-49.22291220851651,-49.721808501881355
-40.751616513937236,-33.829075486943964,-44.87972376055215,-40.84395881616059,-48.9365685076123,-43.56620528042347,-51.93388467472147,-50.4717482090938
-39.778960431580934,-35.05720456892453,-42.39906059026426,-42.72473855897213,-48.968695937281204,-43.80192045633987,-50.05070469643876,-50.13027769505184
-39.37757259575651,-34.862724889095155,-44.190137597889496,-44.12626496844189,-48.63708539610745,-42.764383113764325,-49.01705629467498,-50.85686956329069
-38.55523113751795,-35.823143958841634,-44.97704671885858,-43.473535867432005,-47.992490123595516,-43.827111361280984,-49.90170119746635,-50.46829624558663
-39.91850544589673,-36.5711699247905,-44.676532992824555,-41.89748618832825,-48.51015179375979,-42.27015429790482,-50.52155053428095,-50.487030321736995
-39.26873942055038,-35.79101968484174,-45.26204083860924,-41.80357105689419,-48.355745558614394,-45.12666390899679,-52.291749530328445,-49.205355352067016
-40.73331916070576,-35.31146168520524,-45.76895298928201,-41.71255390976805,-48.70648566918055,-43.99366268357295,-49.72571064260359,-51.109821036640305
