Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-45.0,-38.0,-27.0,-43.0,-46.0,-43.0,-31.0,-50.0
-44.708836493102815,-38.9437761177127,-28.110391483648634,-44.7969119375317,-44.52517726505181,-40.5219849097401,-31.376781639913297,-49.776255804283444
-44.80309180568562,-38.64271860794131,-27.503747383192266,-44.01361675559598,-46.27287402836635,-44.00068081220378,-31.93392520336946,-50.834021876924425
-47.54243806911339,-39.548838636009165,-29.500482834792688,-44.81369626029607,-47.12705647582818,-45.118163124940686,-33.06823570591225,-49.56932918477278
-48.69681096172442,-39.39951339088906,-29.282326508355297,-44.507469688205106,-46.89396005019103,-47.878945748307615,-36.09251804933743,-49.81587645514839
-46.60613822768748,-42.74021897244871,-32.14097104514013,-40.93297354373409,-45.65263164268161,-44.479203802163596,-38.4662712555332,-50.190955721556385
-46.4770889797982,-42.41945220242788,-33.61324814127823,-40.7853781145743,-46.42374173384725,-44.98224840789668,-39.8677543073219,-51.02064894185365
-47.87391815165443,-41.57366294338322,-34.42332023480204,-40.7250220936732,-47.89982716088245,-46.36696211737442,-40.3742339539383,-49.336572368275235
-48.7815655674632,-40.91884686605629,-33.81745608101778,-38.72671470438104,-48.06419490815972,-45.8182256466712,-38.97831623650693,-48.97872783343724
-49.039492604552244,-39.37385196136982,-35.84996567624659,-38.24853404371131,-50.017453232961984,-46.98500958827859,-39.705786122734956,-50.08458996571291
-47.76612908085302,-40.34933150839801,-37.993876225713336,-37.03977014217456,-50.962943366711336,-47.743993681556404,-40.498942307638245,-50.387255584720265
-47.217563763134976,-39.732560221541114,-35.97236886221581,-37.39054760380634,-48.785743893501625,-48.98693734010959,-39.91048629681582,-49.09022561752848
-48.18182657302987,-40.800572129079605,-35.361929025771815,-36.749531046601334,-47.650584420504046,-46.675760366523214,-39.060788728028385,-48.89156586357661
-47.65410831130027,-40.594191652470336,-34.21544845303284,-35.64360839641788,-47.46777798514719,-46.63761539959579,-38.696627832608144,-49.404548836701714
-48.20182017403113,-38.810803525541196,-35.129054973248195,-37.497879446640106,-47.4092002250473,-47.11576978030313,-39.52771407697954,-50.78938121821412
-49.17821023653613,-38.08918183150679,-34.28693012931673,-37.41734176604709,-46.495157082008994,-48.64812830442702,-39.345622530061675,-53.106156537211994
-49.72766772026937,-39.13211696828946,-33.82669702680471,-38.544114208818634,-46.85944205368194,-48.872426553398185,-40.25509802205881,-52.24402260139625
-50.85492591131049,-38.3879552120669,-34.92460580058125,-38.85034392552769,-46.86829177910418,-47.697703358953376,-40.3413782085936,-53.87979727495518
-48.74443440579111,-38.87099487739969,-33.375064808992015,-38.38205539094816,-48.03367749637542,-46.81335994193514,-39.49337002747592,-53.12274587060167
-48.76331363650243,-38.280350854628296,-32.21380824679022,-39.747102230354656,-49.09553597094763,-47.50478485263154,-40.834584634859425,-53.13533593693372
-46.1695605461848,-39.80975110589615,-33.15287048000441,-38.80635711913396,-47.291870559591196,-47.73658524563978,-39.497828508115354,-51.944978452651654
-46.020784599518876,-40.99468537516211,-32.94493227737509,-37.27630761740776,-47.175879625452986,-46.31867879711927,-38.20133552649871,-52.08387147581896
-48.442793139695276,-41.568342852231964,-34.24260390567041,-37.637603914629324,-46.556758101142975,-46.385455775001255,-39.82517363860606,-52.84120208815226
-48.612103278363875,-40.21342767196946,-34.92315373012704,-37.18919922766065,-47.087304472832614,-45.07622217199539,-40.56118791322994,-52.32746534459029
-46.72424609989239,-39.37977506066761,-34.04997823599521,-38.03241752946763,-48.501589085272876,-45.14314521141023,-40.63878090171274,-51.185578688232695
-49.095990167414065,-40.38020603862566,-33.182364929251385,-41.91454463749654,-46.81413676910317,-45.289538497331634,-39.80413781891961,-51.77551467959774
-45.346297132841485,-39.71386197784029,-34.95593179267738,-41.465894570310866,-46.97538082240605,-46.690792945648596,-39.237523043963314,-49.9523119798835
-45.234682083108915,-41.29675396874604,-32.36211441176137,-41.91794744162485,-50.66580479621953,-47.03655789417915,-38.26880703186928,-51.31278493645278
-43.11609802694387,-43.20533906197855,-31.846362789635332,-44.294933640464606,-49.53631472854812,-45.522237066007754,-36.65966215713931,-49.41358665972947
-45.17822537391273,-44.327302923866355,-34.14009769390231,-44.2348747784375,-50.2795034440814,-48.3715627316564,-37.863306421144884,-50.93080820379856
-46.19040464005047,-41.64004938673214,-36.885686718572714,-46.57330780851453,-48.84016925091344,-46.56470585465166,-36.3345153834474,-50.40673517356262
-47.9383279396212,-42.90070981856705,-34.67929573908554,-45.30529419545819,-47.81364151694909,-47.9657339222756,-38.39975954803945,-50.42796028246333
-46.38641207906276,-41.46508710761767,-32.20549925947566,-42.2601623823539,-48.22662154270334,-48.75956106280171,-38.509493532365845,-49.45681013353818
-44.885149394998514,-42.79233829029071,-34.30391952180937,-42.358884229274395,-48.377850682368354,-47.80743902077354,-41.84280096321655,-49.92989477217595
-44.73023295456863,-42.73686090971947,-34.33835497928981,-43.70332145165108,-48.14169672138894,-47.58582756906404,-39.49546184193356,-49.316720460088085
-47.532241158959664,-43.23557031450132,-34.5599388735782,-45.21923225864022,-48.00038989922605,-49.652957785313085,-40.14426865540696,-47.385417471657846
-48.494517461757184,-40.707034986939135,-35.16282664845117,-42.44238840201757,-47.052134369202314,-48.09713670643777,-40.09237278700382,-44.15791415966143
-46.98524750214895,-40.618579220407035,-34.196721911972915,-41.19612705212253,-48.53584662575866,-45.237340300310294,-39.531563468374685,-45.463393703473926
-48.818053270988756,-41.328742647138185,-34.20243769507224,-39.756886441880674,-50.1908015506916,-45.17021114422912,-41.3162385392706,-45.98328670254192
-48.07849094433928,-41.10492645193287,-36.7015230662805,-38.953748503302556,-50.475368580229045,-44.82292951071397,-40.85502646190457,-48.55061300978291
-46.64080390488442,-40.482250918156176,-35.624150908271226,-39.15979232929118,-48.988897211814965,-45.574589566562814,-41.34405576761004,-50.65221691902495
-47.68214172841387,-41.13043454388396,-34.487737193415676,-39.23403051256334,-47.889699178776475,-45.80394205122236,-41.27030223380824,-49.8076835443967
-49.90148418862731,-43.17435998542678,-35.67056433968449,-40.28446041793773,-49.25350498709263,-46.934905076925574,-41.18751726270014,-51.41061498880477
-50.71446131778669,-41.76769805353664,-35.09328590874669,-40.3031299027888,-49.33929596927236,-45.99854968000457,-40.36927301591774,-51.7328439900717
-50.105368877463484,-42.77993185520575,-35.283183751001005,-40.31269842302271,-48.28926375032938,-45.947526738579185,-41.44497243193764,-49.16812620440641
-48.030669299769876,-42.290099975335686,-34.90480975592752,-40.53969415618563,-47.735093815776395,-46.13676682464587,-41.001276682224756,-48.80621418854571
-46.73577696584113,-40.47594579803916,-35.482035252991,-37.775714126234625,-47.79413761319461,-45.494832321856904,-42.64077467343444,-48.92500716162776
-47.258852790411005,-40.25029784352803,-35.01964379300638,-39.03362461110081,-47.81212926148375,-45.627840093266535,-40.92358209505438,-48.12270953272928
-48.64919566046316,-42.58436618229517,-36.034489961100576,-39.41967067091935,-49.77383130859122,-47.36190941949094,-41.27154767402446,-47.593717827058505
-50.708513906066706,-39.97412762422253,-35.265462135999584,-40.11709923527707,-46.457245807774534,-48.26224069054673,-42.59431283882325,-51.12258024149756
-51.785054953287485,-39.319803365578856,-34.7731189271175,-38.18273368609447,-47.5771419922812,-47.359027927068986,-41.80156145715179,-51.03433695795986
-50.782670270110415,-38.3681628210506,-35.33190192063611,-38.46950271091345,-47.3595632184974,-45.312446083054915,-44.018952235556256,-50.925354441708464
-50.27280671533764,-40.40920134544769,-35.71249503302265,-40.050002556238475,-48.019741025786736,-46.115793496074055,-43.187423554559935,-50.70593058270127
-49.22589509214528,-42.71707568264126,-33.579987698180524,-38.82633064867637,-48.292668447033016,-46.8467255146384,-40.615071375762604,-51.33185375886715
-48.15747235774691,-41.05278605066646,-35.32385452655766,-39.12277210015646,-49.67084186751093,-46.721533022843715,-40.40568888961161,-53.544729036465036
