Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
0.19,0.97,0.74,0.23,0.91,0.65,0.46,0.6
0.69,0.91,0.68,0.43,0.01,0.67,0.65,0.66
0.92,0.83,0.33,0.41,0.24,0.64,0.94,0.57
0.63,0.88,0.6,0.43,0.3,0.61,0.8,0.46
0.57,0.93,0.36,0.41,0.17,0.52,0.86,0.57
0.59,0.84,0.56,0.31,0.2,0.65,0.84,0.57
0.42,0.86,0.41,0.26,0.37,0.78,0.73,0.55
0.75,0.83,0.72,0.44,0.27,0.59,0.72,0.93
0.55,0.97,0.6,0.56,0.06,0.54,0.75,0.29
0.6,0.89,0.45,0.13,0.18,0.51,0.78,0.38
0.52,0.97,0.57,0.52,0.17,0.61,0.82,0.39
0.49,0.89,0.46,0.46,0.17,0.48,0.77,0.37
0.41,0.88,0.25,0.52,0.29,0.61,0.8,0.65
0.5,0.85,0.44,0.52,0.89,0.56,0.75,0.41
0.41,0.92,0.43,0.55,0.14,0.73,0.85,0.33
0.52,0.89,0.84,0.41,0.15,0.7,0.83,0.47
0.52,0.85,0.63,0.32,0.37,0.63,0.79,0.51
0.51,0.85,0.73,0.61,0.22,0.49,0.87,0.86
0.59,0.9,0.75,0.51,0.27,0.52,0.93,0.6
0.8,0.86,0.58,0.32,0.13,0.8,0.88,0.57
0.18,0.49,0.25,0.39,0.63,0.62,0.57,0.86
0.5,0.81,0.76,0.58,0.31,0.59,0.8,0.8
0.6,0.9,0.84,0.49,0.31,0.26,0.88,0.74
0.7,0.91,0.27,0.25,0.3,0.65,0.88,0.42
0.66,0.81,0.51,0.51,0.07,0.9,0.73,0.71
0.61,0.68,0.72,0.79,0.37,0.65,0.76,0.56
0.62,0.84,0.45,0.4,0.2,0.65,0.66,0.44
0.66,0.56,0.48,0.51,0.56,0.23,0.76,0.0
0.84,0.93,1.0,0.22,0.14,0.45,0.77,0.69
0.38,0.87,0.6,0.38,0.24,0.56,0.75,0.65
0.74,0.9,0.63,0.42,0.3,0.65,0.74,0.79
0.65,0.8,0.37,0.27,0.12,0.63,0.81,0.62
0.71,0.87,0.45,0.4,0.25,0.6,0.81,0.71
0.36,0.67,0.38,0.55,0.96,0.45,0.42,0.59
0.7,0.86,0.82,0.21,0.21,0.54,0.75,0.73
0.73,0.9,0.46,0.5,0.08,0.63,0.73,0.14
0.44,0.66,0.64,0.35,0.82,0.92,0.8,1.0
0.59,0.93,0.47,0.46,0.12,0.48,0.81,0.67
0.66,0.81,0.28,0.51,0.44,0.43,0.78,0.52
0.49,0.88,0.83,0.35,0.26,0.89,0.77,0.74
0.45,0.89,0.76,0.24,0.14,0.44,1.0,0.74
0.67,0.9,0.77,0.25,0.17,0.23,0.73,0.57
0.48,0.93,0.38,0.26,0.35,0.52,0.98,0.97
0.47,0.87,0.25,0.15,0.31,0.62,0.93,0.7
0.45,0.46,0.59,0.73,0.68,0.51,0.77,0.27
