Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
0.62,0.34,0.3,0.71,0.76,0.58,0.55,0.17
0.29,0.7,0.23,0.53,0.67,0.75,0.68,0.16
0.58,0.38,0.26,0.67,0.34,0.57,0.47,0.04
0.54,0.56,0.28,0.58,0.56,0.73,0.43,0.46
0.76,0.55,0.39,0.84,0.58,0.51,0.54,0.15
0.73,0.38,0.25,0.83,0.53,0.37,0.5,0.19
0.44,0.58,0.69,0.65,0.42,0.75,0.47,0.13
0.39,0.41,0.35,0.59,0.25,0.61,0.9,0.33
0.49,0.53,0.27,0.57,0.51,0.52,0.35,0.42
0.46,0.09,0.29,0.67,0.39,0.62,0.32,0.32
0.44,1.0,0.33,0.03,0.57,0.42,0.39,0.69
0.39,0.43,0.22,0.73,0.46,0.41,0.88,0.17
0.35,0.48,0.18,0.51,0.36,0.69,0.28,0.47
0.67,0.68,0.24,0.71,0.4,0.53,0.58,0.18
0.64,0.4,0.22,0.42,0.39,0.74,0.48,0.38
0.21,0.49,0.23,0.6,0.39,0.51,0.48,0.2
0.61,0.5,0.31,0.97,0.46,0.0,0.79,0.57
1.0,0.3,0.21,0.57,0.57,0.69,0.24,0.3
0.46,0.21,0.51,0.4,0.24,0.59,0.36,0.25
0.54,0.4,0.22,0.63,0.47,0.68,0.38,0.39
0.43,0.14,0.38,0.29,0.26,0.56,0.57,0.27
0.5,0.58,0.3,0.48,0.45,0.83,0.31,0.45
0.2,0.4,0.18,0.67,0.84,0.75,0.13,0.4
0.36,0.13,0.28,0.61,0.12,0.52,0.27,0.28
0.79,0.4,0.36,0.6,0.41,0.37,0.64,0.17
0.25,0.04,0.26,0.6,0.25,0.77,0.4,0.26
0.79,0.59,0.23,0.63,0.78,0.87,0.34,0.16
0.72,0.35,0.28,0.73,0.44,0.69,0.66,0.45
0.47,0.28,0.32,0.64,0.51,0.72,0.44,0.38
0.47,0.5,0.26,0.46,0.54,0.62,0.85,0.57
0.09,0.48,0.28,0.3,0.57,0.5,0.33,0.78
0.69,0.23,0.31,0.5,0.76,0.52,0.23,0.0
0.42,0.43,0.23,0.62,0.29,0.42,0.35,0.26
0.43,0.4,0.25,0.55,0.14,0.54,0.52,0.38
0.34,0.55,0.22,0.57,0.4,0.65,0.5,0.25
0.4,0.53,0.21,0.4,0.36,0.57,0.59,0.6
0.53,0.66,0.32,0.59,0.54,0.65,0.6,0.15
0.42,0.46,0.0,0.69,0.4,0.37,0.13,0.5
0.37,0.47,0.35,0.4,0.48,0.72,0.22,0.28
0.64,0.42,0.26,0.75,0.23,0.84,0.65,0.17
0.32,0.52,0.28,0.51,0.51,0.62,0.55,0.37
0.58,0.11,0.32,0.5,0.49,0.64,0.73,0.38
0.56,0.62,0.31,0.36,0.48,0.6,0.85,0.36
0.53,0.56,0.26,0.66,0.37,0.3,0.23,0.17
0.52,0.58,0.25,0.61,0.63,0.89,0.49,0.38
0.5,0.35,0.3,0.82,0.42,0.73,0.51,0.17
0.59,0.38,0.35,0.66,0.31,0.51,0.38,0.36
0.91,0.71,0.23,0.68,0.56,0.4,0.79,0.2
0.46,0.38,0.35,0.4,0.73,0.26,0.22,0.23
0.64,0.67,0.24,0.28,0.44,0.49,0.56,0.57
0.06,0.52,0.26,0.49,0.71,0.64,0.49,0.56
0.36,0.16,0.28,0.76,0.4,0.79,0.51,0.38
0.19,0.44,0.32,0.48,0.47,0.62,0.41,0.11
0.52,0.42,0.43,0.63,0.49,0.57,0.72,0.22
0.49,0.25,0.31,0.7,0.29,0.55,0.61,0.28
0.68,0.37,0.24,0.75,0.77,0.71,0.38,0.5
0.61,0.52,0.18,0.65,0.34,0.75,0.78,0.33
0.3,0.85,0.34,0.31,0.4,0.49,0.49,0.75
0.34,0.39,0.3,0.5,0.53,0.66,0.12,0.59
0.44,0.59,0.22,0.42,0.53,0.92,0.75,0.18
0.34,0.21,0.26,0.69,0.58,0.35,0.64,0.62
0.49,0.61,0.23,0.38,0.41,0.67,0.65,0.5
0.5,0.41,0.26,0.33,0.32,0.37,0.67,0.29
0.52,0.35,1.0,0.51,0.42,0.77,0.47,0.34
0.44,0.21,0.3,0.49,0.5,0.67,0.29,0.24
0.3,0.31,0.31,0.83,0.59,0.57,0.5,0.28
0.62,0.43,0.22,0.73,0.92,0.33,0.68,0.42
0.4,0.4,0.25,0.43,0.53,0.56,0.64,0.3
0.57,0.46,0.34,0.54,0.4,0.3,0.7,0.13
0.8,0.21,0.33,0.91,0.39,0.17,0.75,0.32
0.52,0.52,0.28,0.66,0.66,0.75,0.26,0.44
0.46,0.04,0.3,0.63,0.45,0.57,0.2,0.27
0.54,0.68,0.35,0.62,0.39,0.79,0.28,0.44
0.47,0.5,0.25,0.44,0.55,0.71,0.63,0.32
0.63,0.36,0.31,0.52,0.63,0.59,0.52,0.32
0.78,0.54,0.2,0.72,0.61,0.85,0.44,0.07
0.62,0.44,0.28,0.63,0.32,0.61,0.65,0.15
0.67,0.31,0.22,0.79,0.19,0.58,0.67,0.4
0.54,0.24,0.38,0.56,0.44,0.81,0.59,0.39
0.85,0.22,0.37,0.66,0.58,0.8,0.0,0.64
0.43,0.48,0.33,0.54,0.59,0.74,0.61,0.29
0.56,0.13,0.33,0.48,0.65,0.45,0.92,0.19
0.61,0.74,0.2,0.6,0.37,0.28,0.35,0.25
0.66,0.81,0.35,0.0,0.3,0.46,0.56,0.62
0.26,0.27,0.33,0.27,0.55,0.53,0.6,0.19
0.79,0.58,0.28,0.65,0.78,0.76,0.82,0.23
0.41,0.21,0.25,0.63,0.0,0.86,0.68,0.38
0.23,0.32,0.34,0.61,0.71,0.6,0.63,0.2
0.05,0.2,0.24,0.37,0.88,0.61,0.66,1.0
0.34,0.34,0.31,0.4,0.41,0.66,0.51,0.36
0.54,0.44,0.23,0.62,0.7,0.71,0.67,0.57
0.46,0.23,0.33,0.78,0.3,0.47,0.36,0.58
0.64,0.18,0.71,0.36,0.36,0.42,0.34,0.28
0.44,0.0,0.2,0.63,0.6,0.63,0.31,0.54
0.24,0.41,0.2,0.33,0.7,0.56,0.27,0.84
0.39,0.4,0.25,0.82,0.59,0.7,0.2,0.22
0.41,0.19,0.32,0.67,0.39,0.52,0.63,0.47
0.49,0.25,0.28,0.59,0.3,0.93,0.25,0.36
0.05,0.14,0.2,0.49,1.0,0.48,0.61,0.58
0.5,0.49,0.28,0.86,0.81,0.7,0.23,0.32
0.65,0.23,0.26,0.62,0.57,0.74,0.58,0.27
0.42,0.32,0.33,0.27,0.7,0.64,0.24,0.54
0.49,0.73,0.22,0.6,0.77,0.83,0.81,0.28
0.56,0.22,0.94,0.39,0.39,0.61,0.48,0.36
0.41,0.52,0.26,0.63,0.59,0.56,0.69,0.39
0.68,0.38,0.22,0.48,0.64,0.55,0.28,0.19
0.44,0.08,0.31,0.46,0.64,0.53,0.42,0.27
0.16,0.09,0.34,0.59,0.56,0.59,0.31,0.23
0.72,0.38,0.23,0.59,0.28,0.95,0.29,0.45
0.58,0.83,0.25,0.33,0.42,0.46,0.9,0.52
0.44,0.54,0.35,0.65,0.31,0.48,0.74,0.33
