Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
0.69,0.66,0.22,0.48,0.23,0.41,0.21,0.82
0.57,0.38,0.44,0.65,0.42,0.6,0.41,0.32
0.68,0.69,0.49,0.17,0.39,0.63,0.27,0.51
0.0,0.62,0.58,0.58,0.64,0.5,0.72,0.61
0.37,0.71,0.27,0.22,0.39,0.71,0.32,0.63
0.83,0.51,0.17,0.61,0.49,0.27,0.49,0.81
0.78,0.36,0.55,0.57,0.49,0.39,0.53,0.29
0.48,0.39,0.54,0.53,0.55,0.77,0.3,0.87
0.56,0.5,0.31,0.25,0.29,0.31,0.6,0.52
0.62,0.42,0.56,0.28,0.36,0.42,0.75,0.58
0.59,0.85,0.55,0.22,0.16,0.38,0.08,0.57
0.34,0.5,0.94,0.6,0.54,0.49,0.42,0.7
0.4,0.36,0.28,0.45,0.34,0.3,0.43,0.24
0.3,0.62,0.5,0.28,0.21,0.52,0.47,0.65
0.11,0.46,0.98,0.5,0.58,0.54,0.53,0.61
0.41,0.33,0.65,0.22,0.46,0.58,0.8,0.56
0.27,0.09,0.2,0.82,0.04,0.49,0.64,0.82
0.37,0.6,0.42,0.16,0.23,0.58,0.25,0.51
0.42,0.02,0.19,0.95,0.0,0.44,0.45,0.77
0.36,0.53,0.1,0.38,0.66,0.51,0.29,0.42
0.77,0.37,0.68,0.18,0.25,0.3,0.55,0.65
0.88,0.78,0.52,0.59,0.26,0.09,0.24,0.62
0.43,0.36,0.36,0.66,0.67,0.32,0.77,0.34
0.55,0.5,0.46,0.9,0.36,0.52,0.75,0.22
0.37,0.41,0.49,0.75,0.6,0.75,0.63,0.11
0.52,0.39,0.6,0.15,0.3,0.23,0.52,0.49
0.72,0.58,0.66,0.9,0.32,0.37,0.43,0.46
0.03,0.34,0.54,0.58,0.54,0.18,0.68,0.27
0.54,0.47,0.33,0.31,0.45,0.6,0.64,0.46
0.61,0.84,0.21,0.6,0.44,0.53,0.57,0.49
0.52,0.69,0.26,0.27,0.25,0.37,0.45,0.61
0.83,0.59,0.91,0.48,0.29,0.14,0.34,0.68
0.83,0.21,0.56,0.48,0.58,0.58,0.25,0.58
0.52,0.37,0.54,0.93,0.59,0.71,0.5,0.06
0.49,0.56,0.42,0.2,0.27,0.46,0.33,0.6
0.46,0.59,0.86,1.0,0.43,0.44,0.46,0.62
0.53,0.55,0.66,0.11,0.33,0.29,0.69,0.9
0.54,0.41,0.3,0.43,0.55,0.82,0.31,0.55
1.0,0.61,0.82,0.45,0.2,0.12,0.0,0.52
0.53,0.09,0.55,0.65,0.27,0.75,1.0,0.0
0.77,0.68,0.79,0.46,0.28,0.02,0.35,0.47
0.65,0.56,0.76,0.83,0.48,0.74,0.21,0.43
0.67,0.59,0.87,0.19,0.44,0.49,0.16,0.39
0.89,0.49,0.63,0.41,0.32,0.28,0.68,0.28
0.73,0.64,0.55,0.38,0.36,0.34,0.18,0.55
0.48,0.71,0.42,0.18,0.28,0.63,0.31,0.47
0.7,0.5,0.36,0.12,0.38,0.46,0.54,0.64
0.48,0.38,0.69,0.49,0.47,0.58,0.58,0.33
0.48,0.47,0.14,0.14,0.29,0.4,0.36,0.58
0.63,0.44,0.04,0.17,0.31,0.47,0.48,0.37
0.67,0.62,0.59,0.23,0.32,0.27,0.34,0.52
0.33,0.45,0.15,0.63,0.57,0.68,0.56,0.55
0.54,0.19,0.61,0.77,0.63,0.28,0.71,0.21
0.52,0.46,0.59,0.78,0.68,0.64,0.79,0.22
0.6,0.81,0.6,0.24,0.35,0.35,0.36,0.43
0.53,0.77,0.28,0.4,0.3,0.52,0.62,0.5
0.48,0.71,0.56,0.56,0.64,0.74,0.67,0.84
0.5,0.53,0.71,0.31,0.46,0.59,0.69,0.39
0.5,1.0,0.17,0.42,0.48,0.47,0.57,0.41
0.44,0.26,0.33,0.74,0.64,0.71,0.4,0.65
0.73,0.56,0.23,0.16,0.34,0.42,0.49,0.51
0.84,0.38,0.46,0.75,0.38,0.26,0.43,0.56
0.46,0.57,0.62,0.88,0.41,0.74,0.72,0.52
0.61,0.57,0.32,0.11,0.25,0.52,0.8,0.34
0.18,0.35,0.74,0.6,0.78,0.31,0.37,0.65
0.88,0.35,0.42,0.69,0.3,0.39,0.5,0.59
0.7,0.84,0.28,0.54,0.48,0.62,0.65,0.42
0.6,0.47,0.71,0.53,0.76,0.75,0.36,0.45
0.59,0.51,0.26,0.4,0.51,0.42,0.26,0.49
0.49,0.82,0.57,0.3,0.22,0.45,0.56,0.63
0.42,0.85,0.62,0.79,0.32,0.61,0.73,0.59
0.29,0.57,0.31,0.31,0.23,0.48,0.3,0.24
0.95,0.9,0.72,0.77,0.22,0.2,0.37,0.79
0.48,0.44,0.41,0.33,0.51,0.95,0.23,0.57
0.3,0.42,0.66,0.56,0.32,0.48,0.36,0.76
0.56,0.57,0.61,0.26,0.26,0.38,0.68,0.73
0.42,0.18,0.44,0.57,0.26,0.84,0.4,0.9
0.26,0.61,0.51,0.67,0.16,0.65,0.26,0.53
0.45,0.9,0.39,0.12,0.4,0.49,0.32,0.56
0.5,0.18,0.26,0.88,0.7,0.74,0.49,0.46
0.41,0.57,0.43,0.66,0.41,0.43,0.23,0.69
0.59,0.69,0.37,0.64,0.44,0.69,0.51,0.71
0.29,0.52,0.35,0.41,0.35,0.5,0.35,0.66
0.78,0.46,0.53,0.55,0.49,0.66,0.67,0.24
0.67,0.36,0.45,0.89,0.16,0.54,0.52,1.0
0.32,0.68,0.23,0.96,0.14,0.21,0.78,0.79
0.62,0.31,0.96,0.61,0.6,0.47,0.52,0.76
0.69,0.69,0.53,0.29,0.47,0.45,0.24,0.25
0.77,0.2,0.82,0.37,0.58,0.44,0.7,0.55
0.06,0.62,0.45,0.55,0.61,0.09,0.93,0.46
0.7,0.7,0.44,0.23,0.33,0.56,0.26,0.35
0.73,0.54,0.38,0.54,0.45,0.39,0.32,0.71
0.42,0.0,0.75,0.81,0.45,0.23,1.0,0.49
0.59,0.54,0.41,0.25,0.27,0.46,0.49,0.51
0.47,0.41,0.5,0.37,0.44,0.57,0.65,0.67
0.5,0.61,0.86,0.53,0.23,0.42,0.26,0.41
0.52,0.19,0.29,0.55,0.52,0.64,0.5,0.74
0.65,0.57,0.56,0.38,0.62,0.64,0.09,0.5
0.63,0.26,0.58,0.26,0.37,0.57,0.81,0.66
0.85,0.49,0.59,0.26,0.34,0.59,0.21,0.51
0.62,0.48,0.57,0.25,0.35,0.37,0.31,0.52
0.63,0.92,0.59,0.3,0.42,0.4,0.08,0.76
0.58,0.51,0.77,0.19,0.19,0.4,0.75,0.84
0.68,0.37,0.65,0.81,0.37,0.34,0.66,0.42
0.73,0.61,0.0,0.94,0.6,0.57,0.71,0.48
0.41,0.34,0.08,0.56,0.45,0.57,0.59,0.43
0.63,0.61,0.19,0.43,0.47,0.38,0.43,0.74
