Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-30.61535116494954,-29.53297513228966,-46.42133032059353,-47.25652484453397,-35.23128038372378,-51.35979381689821,-52.533366407741305,-52.462224952016136
-29.08808389489429,-31.100383486854245,-46.23317214503903,-50.356930118336464,-39.07491743601029,-50.099670504082326,-53.99812431623488,-47.87655640831856
-28.29241929588079,-30.24715160545766,-45.65353938192972,-48.74432660326029,-39.88843494643261,-47.90817451784529,-50.883977059457024,-50.12344183450609
-29.39640921898373,-29.803483060498078,-45.52025979793123,-51.8222182230461,-40.05314250485467,-49.86856811352595,-54.18712842517085,-48.78679411291493
-30.65204911931805,-29.500975538546957,-46.46601607727077,-49.86302890156313,-40.62212752642746,-47.809729055283135,-51.976445714693256,-48.89042792851838
-28.43472834937459,-30.29097498941346,-46.68652076384772,-48.86625861581192,-37.5413902857859,-48.370078797270686,-52.26582676712191,-48.65405955360187
-30.2292244537151,-31.88181776265904,-44.07096943307352,-49.276798294811655,-40.96689675732581,-47.14490324333206,-52.6030537325856,-48.06402340458708
-26.8537326560475,-31.479502028470492,-46.04068856008109,-45.889036114924686,-35.08613991038221,-47.67665098336238,-50.596631230914674,-54.3750385254269
-32.01566887002095,-30.898223579491763,-44.57173712841475,-50.038663738599546,-39.55670447720579,-49.37396645524719,-54.11738356403728,-48.68802646495605
-32.15508356744079,-32.05162192186421,-48.92049973815965,-45.52471962772304,-38.262142528847896,-47.05200408692591,-54.100556516408574,-50.834429415388165
-28.6531936111301,-32.15051830032412,-46.0164739735904,-50.8337286214397,-38.90556924050558,-51.17511993023993,-52.17811181994704,-48.75075950821093
-29.469495372600345,-33.57338427449654,-46.17389183629723,-51.49777205879641,-38.66228412567624,-49.81617548039089,-53.05907951939558,-49.47516980748377
-27.341770525750604,-27.514881260252054,-46.27931128787747,-45.884378326738855,-35.92067831448788,-50.73454319926566,-50.72803757513297,-49.82167722339562
-27.644315791830884,-32.395461144153245,-43.9417764852672,-46.71457484763012,-38.33003105027676,-50.28227407340465,-49.12737567050512,-47.62134551967237
-28.99477432773023,-29.07374075765959,-47.057392310062816,-47.744766428617766,-38.42325470921744,-52.20607978321208,-52.25795657803028,-48.094936149716816
-30.0001324335442,-30.197532073016987,-43.95514108854388,-53.75328062747278,-39.860958991913634,-48.39697071267584,-52.82384326606958,-48.29175703484362
-29.243331689008382,-32.73726620010034,-48.15545596550711,-52.931542868019065,-38.828003317556,-48.28155655266679,-52.71361879371013,-49.712832098042654
-31.813468470739693,-31.25290703192045,-43.87420726936598,-49.43864225534637,-40.31396741374685,-48.57744371836299,-53.30463987209093,-50.066274602728186
-30.75509227851529,-30.791545593768117,-45.37139687955287,-50.340526403308,-42.07732493992283,-47.34919235904303,-52.61902155048933,-48.66946209558646
-28.44173172288857,-29.969170809609267,-43.86555166019829,-50.28318982850861,-38.92227763343796,-50.46991625622375,-52.63598213958496,-48.98924736564778
-28.958837604893027,-32.37752931169706,-47.08385453677059,-52.45298176011886,-38.697183712456585,-47.70685322034434,-54.05355144724429,-49.25430694576318
-28.84973530062349,-30.726203598451367,-46.179783399358655,-53.044695903710725,-41.154021455713135,-49.12652145297494,-51.45736520062853,-49.77325755037204
-29.525143551944527,-31.79924867079866,-46.22446328317129,-46.14671157650958,-38.21196924594644,-51.5855369559858,-51.42170041137973,-50.01548761549437
-29.55572523665711,-33.19923486278249,-42.78485166042312,-50.28518479120362,-39.11299987763701,-49.152201531380825,-49.47036670098032,-46.87425265785096
-27.41314986653288,-30.87131522182673,-44.60010486554166,-50.215588372885456,-40.46754317849008,-49.187234143444655,-52.48668180445145,-50.200178644535306
-29.21359403970184,-31.46155277500634,-45.79720103814362,-53.98680078262152,-39.00198463266039,-49.34297608569791,-51.480979805695725,-50.29209671399434
-28.935563343350776,-29.267682797238827,-44.03325806332355,-45.85346911042664,-37.67247845292926,-50.12208592360193,-53.07349275157429,-52.03507290096966
-28.439983909107887,-30.71566148690201,-48.29184077266186,-51.64613632567596,-37.40427363568879,-48.974048973282905,-53.326667607736496,-50.168643509118766
-28.140899990381147,-32.07627960320008,-48.478199797380576,-46.95134717091477,-38.36653787676933,-49.18448149358876,-54.05762497139806,-53.33076005705019
-28.21007911156476,-32.68769486811917,-45.878470767577205,-52.5673702369516,-39.00755131710736,-49.34409894031033,-51.17960601793306,-49.69654855054516
-28.55503018585834,-30.742593376167385,-51.35677971600682,-50.34485699103828,-39.416804417173154,-50.8469651617873,-53.30440666887264,-49.57431714184751
-30.239704051989367,-30.744079024056564,-43.99464651973774,-46.77125571053178,-39.08581906330203,-48.346543295713296,-53.799086345863365,-51.25753951890525
-31.790586491864342,-30.62680711170879,-43.9223867418632,-45.43082433680593,-38.0873376781604,-48.16527889430647,-49.98834525204905,-49.67218395838673
-27.71739283216548,-31.55824721675179,-46.30880415615472,-50.492590388495806,-39.50213862459648,-46.367205937954566,-53.4531378766334,-49.23892455541264
-27.77672128523453,-31.76572977856138,-45.083343332063606,-52.53261591641688,-40.65330237550183,-47.65233042806645,-53.76830631133858,-47.871425724811736
-30.900272506735963,-28.856901261388384,-45.4323380378302,-50.40178727098211,-39.04098440184843,-48.88467384156188,-53.05415311667196,-46.05654000473282
-28.90914742792961,-31.12383978004205,-49.2263379593856,-50.11945702615381,-38.582597985961335,-48.58567414391865,-53.59139612706737,-52.49371088363303
-27.282237166165576,-31.98118540626338,-45.79609461824399,-51.89252036551922,-39.046587324987975,-47.50041582114111,-52.275159278858666,-48.9921271074129
-31.107607019921407,-29.32828157572739,-47.48432124957301,-45.71016405077716,-37.07632709136696,-50.41504164740128,-50.87968495476117,-53.845383918299405
-32.645713261483465,-28.08830703444633,-46.30219460418192,-46.73119920097984,-36.97189964752916,-50.18892699525731,-50.16467899734591,-54.8454565734213
-27.7440947231863,-29.83208120503656,-45.30794383428843,-49.60511051284038,-39.969500260669584,-49.08062373248643,-50.53121692834522,-51.99899580929572
-30.120298027657487,-32.377054399572,-43.54856296956061,-49.544188219692494,-39.73772134478641,-49.228022547238766,-53.60905003416296,-50.30955464323918
-27.264404642921875,-31.95703362565778,-43.99186175355938,-50.82821689974602,-39.63478462737743,-47.9878571644933,-54.2371147071559,-48.87073726822232
-29.82616152429233,-32.31251748596335,-43.889424028480384,-46.17349235266442,-39.15108430921147,-45.25328541089463,-52.14967515537442,-47.86310999063924
-30.823489122362677,-30.904922678378064,-44.50106231650634,-50.837098504987466,-36.21145410560852,-56.47852426805379,-52.60328764559024,-48.09607557516961
-29.20684881613257,-29.32762059261845,-46.535059476746525,-49.54691289408623,-37.780705557623534,-49.17913346541447,-52.76286213398483,-48.640866463041725
-31.4585318008035,-31.285486430139294,-44.01989209577254,-48.75147034028486,-38.4011634117043,-48.58729942778284,-52.89402740819627,-51.497625204753504
-29.992328344372687,-32.071195349559154,-45.25705806110141,-46.52211999406553,-38.03395624530619,-51.91932770514257,-51.6169247901406,-50.2040369453954
-29.07291945508581,-32.97442554986537,-43.95975093842401,-49.72869288799451,-37.29428181905136,-47.75046505076577,-52.69676295236362,-50.96665400465302
-30.379117969029192,-30.49299356698707,-44.43851099906146,-47.59304584866696,-38.84003471930794,-49.07803002274397,-50.32229292475127,-48.39987991442037
-28.45353396577381,-31.497447068724053,-46.25280812763965,-51.622426335551474,-39.3657297923805,-49.80957189251178,-52.19627969167348,-50.14568158857207
-27.99954082395729,-31.440563698741084,-44.84521491049268,-50.83931791045928,-38.385762346349175,-46.45906943048307,-53.76400190795373,-47.9160592652786
-29.2047559932104,-30.64596783212502,-45.93814337694842,-49.93087024869537,-39.40217381838355,-48.6015592848475,-53.86836082454915,-48.54441866468948
-28.382307940513925,-30.22177423895809,-52.82489758108319,-47.43047051066949,-38.1984688750754,-48.800886819977606,-53.19821528336524,-52.8434915226573
-28.949655101159436,-31.411234875977083,-44.224713551580514,-50.631012044506136,-37.01208577723087,-47.912440280281686,-53.27521184315284,-49.85594288355168
-32.37436165605599,-29.60074852263669,-45.66693481548441,-49.61805196050478,-40.74606700599293,-48.04595088118685,-52.745137568890776,-47.45731400252214
-28.99188013337654,-29.883274214286324,-50.97353273608847,-47.13316669862403,-37.49163125236669,-51.46677763928282,-53.9166009480418,-49.0346751280149
-28.312347399518227,-29.89572453790417,-43.67603489560199,-50.85477472885884,-38.38196574503198,-48.0806908425002,-52.49535599110058,-49.70539382298559
-29.92951358687678,-31.66460872152488,-43.39073473293129,-50.42834873934997,-38.79704521696628,-48.93880493259676,-53.00487544479868,-45.60733093863941
-30.413879402483587,-32.92786877982675,-44.70318814626276,-50.77731283431976,-40.315287366087176,-48.66860833997249,-49.3366942172981,-48.71615243197829
-28.38869589725262,-29.72491327906548,-44.50949506153293,-50.864062592735415,-38.83750678651864,-50.18001256709888,-54.6746059260456,-49.63698114145727
-28.548207468450464,-31.76728007541,-46.03391874971508,-49.433062701421136,-39.37285747562928,-47.36953239415888,-52.11868189843902,-48.24688201577987
-32.86830069827804,-30.23543886934478,-51.95034339837057,-50.32981437155277,-39.0335693703685,-48.42898128510639,-53.703036115555705,-51.19783450797764
-29.44274389102864,-29.180112610857176,-45.84169331415279,-49.84619416729,-39.20742436908571,-49.00008440337065,-54.61922254699612,-48.48098319074425
-29.94807016244006,-31.88767504469691,-43.6930893245753,-53.42219984077749,-39.82193374490605,-48.79259179411443,-49.40239001218076,-50.78396326793244
