Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-39.244994800786046,-23.074751005926124,-44.44232505317652,-46.910578094190974,-48.23202967364546,-34.21314751357725,-57.68078171764894,-51.75663663686062
-36.860667850018416,-24.15334059809873,-41.13039708693192,-46.68280724238232,-47.72542498332637,-33.17391794284611,-54.093922244534106,-51.524699544469854
-37.74530627444069,-27.81058316751496,-40.94046307786013,-46.38035406814841,-41.37417866301662,-31.764973013856995,-51.415341124714274,-45.24493254698982
-39.07683773350218,-25.20702928251778,-43.75936722953282,-42.63143719427149,-48.2965156638062,-34.092994806351626,-55.26160808330183,-48.04216920345106
-36.59019107204427,-30.51759677077731,-41.06154511098976,-45.10188271822632,-41.71778964656311,-33.96737264066425,-49.1373520588694,-48.08101023667902
-40.425352970861695,-26.951115048794588,-47.32819613593733,-44.22916842615594,-37.85909420982665,-38.72110860220749,-53.26849410694332,-47.1882319533851
-37.51968702701316,-23.282522035168608,-42.20507749142685,-43.62792708837066,-49.82887058269984,-33.746339133500534,-57.00176689629638,-47.372202646539655
-37.23056455351991,-27.548835601000125,-40.75728066864855,-44.494648624015255,-42.177621339807246,-32.01285457500457,-48.911653521111695,-44.10188000350709
-41.14437125956533,-23.136785297990738,-46.88525533421274,-46.46551019223264,-47.26726948218501,-33.877198808017845,-55.69968910434582,-51.491348506169416
-36.63959922663228,-27.420547066527448,-43.04200417868104,-45.7801686316356,-42.66714078213966,-31.067813812415725,-51.04852395118692,-47.03281941332546
-39.09163098049986,-24.84282941458292,-44.20225534049978,-44.7367662771593,-47.87559559505658,-32.09721365274975,-54.10723086600831,-50.81167059437404
-37.73273888956896,-22.257077720492568,-42.76398510646477,-45.82521495641567,-48.433223593486,-32.56543461762128,-57.51933069729884,-51.75276828429991
-40.507896062515385,-24.68773443816568,-46.7296182349741,-46.61725956605262,-45.03684996759903,-33.47369526666905,-56.63550919534202,-52.44347198709456
-38.78782695906522,-25.39341355889201,-47.1198351243679,-53.4881919474147,-50.4132811412757,-33.31753517882045,-65.17608768939931,-51.291293988348166
-36.92832244356437,-24.380165477331047,-46.15210135874157,-44.84200631157651,-45.362617162471295,-33.92992765754302,-58.034841616386096,-48.562632569293655
-38.25811183919928,-22.321559142265134,-43.57474591308984,-47.68433435628837,-45.94986802904448,-33.9229468413315,-55.59718696673309,-48.34593973655393
-38.74240152861992,-24.92479201838434,-45.220935085358974,-47.77678994982446,-46.74109805835219,-33.34880283043453,-55.87089701700694,-50.76340037409692
-37.30421828673075,-30.766753791530505,-44.072406610802055,-44.69157767464259,-40.27787767740895,-34.1294615723675,-53.47600172309191,-47.21226731687446
-38.12682397376605,-25.989139258619065,-44.13184423085944,-46.75018945543801,-48.39649896749125,-33.45051318421336,-55.77246563215,-49.52526406364713
-40.12279449095913,-24.19862770557909,-44.069062654045695,-49.55818355553602,-52.51267184968047,-31.66401406936672,-59.08744334253986,-49.82433900712632
