Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-42.39809305262946,-24.401764158635665,-40.69366609920238,-49.16057885119056,-47.19740669905276,-26.93641189770116,-47.48374999970798,-46.32227849387967
-41.95406351540784,-24.19946048338962,-42.34865555455467,-52.8067550714598,-47.1702953723763,-27.98481340596771,-49.79831131743279,-47.5330345477142
-45.84661701674134,-24.0109347663872,-40.57192601763464,-54.237785903694565,-49.810159213268,-27.573704324912,-50.04787038830915,-47.83152468485413
-41.78217364964854,-24.49145471383945,-39.176234194180914,-54.81505342094498,-48.70395728600863,-25.866242031630684,-50.69472702345709,-48.00281350160802
-42.28933552498893,-25.449444687678863,-39.5120342097794,-50.43203968061401,-46.85573729520022,-27.39929542615717,-48.4414012432118,-49.77175456099857
-45.06611586765796,-24.65397462138569,-40.95194299612125,-47.616103595751255,-48.16062475256009,-24.506733731450797,-47.10918847876892,-47.41307638595245
-45.0,-28.0,-42.0,-45.0,-53.0,-27.0,-49.0,-46.0
-42.94565827532573,-24.278241712161897,-40.430524538156426,-56.4213522212776,-48.05023663236277,-27.605593757272576,-46.58306160830277,-48.410232129292254
-44.08222314931185,-24.482066439963795,-39.41180606356984,-47.30544128685395,-48.07326515899108,-27.915484943055315,-47.79476791883353,-50.1408728426848
-43.95967452525749,-22.778793332828123,-37.84547829967624,-47.36911869931197,-47.7383823046767,-25.958747787720213,-47.87226446578115,-50.77663424630398
-45.14747678544212,-25.73237529310148,-39.11133672947691,-48.32091367226223,-45.472609098319005,-28.39034164254203,-49.596399515140334,-48.86339434810164
-43.42074188116889,-22.22991151752221,-41.56061356829816,-52.27871225658366,-48.37209457328721,-27.623476630982115,-49.24698788331799,-47.43490791941564
-45.33366449337578,-24.82503141967741,-42.55270331956344,-46.19692714154481,-51.94440744448915,-25.85229154454317,-48.11599412378378,-45.151846559933446
-43.81624547849485,-25.579268491606125,-40.45346110132327,-47.73167099776936,-43.69519767006512,-26.322082996528582,-45.54528236254447,-51.23245930218616
-42.27992932325783,-23.181171355746056,-40.77207805692133,-51.85978472195562,-46.292535462169454,-24.4355693803342,-48.75030800199472,-46.33705528755772
-42.84182521521069,-25.62270425082088,-37.9653846144995,-46.78853178500795,-46.6680582996572,-25.17642221392108,-45.75083719926079,-49.99231598846396
-43.55417974487361,-23.87180994822412,-41.10291098294539,-56.92528471776752,-49.90818910901291,-26.39000346845916,-46.537124386869614,-49.39394789390526
-42.27325421977347,-24.682209015920524,-39.650091262989065,-50.69887640778895,-46.78581643752771,-25.353214407378804,-47.42743872197954,-50.14698687919471
-44.1633973596699,-24.99757364896743,-40.37898636622325,-55.354005563004826,-46.91191050547667,-26.583491328657995,-47.89329844069497,-49.9373398327807
-44.17471454135636,-22.34774635537657,-41.37125332216567,-52.80926294396601,-49.258220394674765,-26.426996475056026,-47.81069992897929,-48.13670921946084
-43.66920204784868,-23.69088845285683,-40.04528582482765,-51.4806726197514,-45.5887449560478,-23.91223007391304,-47.78383453299919,-49.37754583322817
-41.88946603886058,-23.697498688850075,-36.94842433238742,-51.59558363502729,-49.35051758603306,-29.236330155990892,-49.79812584255343,-46.65692219834713
-44.46576765311035,-21.96580619064493,-39.36168484873908,-54.2158595864618,-50.28275891916352,-26.936521592271056,-48.23171585085876,-47.08277734140307
-45.99093525312275,-23.86293869718048,-41.200657676656455,-54.01133953391547,-50.05670522099847,-26.72126678450377,-50.0394842311455,-50.20402045066818
-45.06927726596593,-23.889361268046574,-40.357694173814416,-49.06188186137938,-47.79811271194509,-27.09781024369152,-50.54976549233562,-46.631003206895
-44.58047990832264,-24.612727159488887,-42.36328240180432,-56.49761807721256,-49.34765429540157,-27.305030544075112,-49.61370488313038,-47.43396014352615
-44.09021560930442,-26.748230454328134,-39.038288048136295,-47.505305461855606,-45.03202019058247,-28.20795315122892,-47.122674961828544,-50.3694556567846
-44.74969249899278,-27.056363189867344,-40.53253903926679,-48.78840428492531,-46.41244643053852,-26.50294325653241,-50.31043430165851,-48.58048720486545
-44.848507381189386,-26.203943464375183,-41.04676275480377,-47.96196499271416,-44.893675186671096,-25.024052411630425,-49.385074424592375,-46.91681159780632
-43.67945496961128,-24.75551115351367,-40.37669847169656,-52.3339235170404,-47.39507144567673,-26.015478219228413,-50.36229979013031,-45.806904674513895
-44.816462511506906,-21.35040955338769,-40.61169284905544,-56.806699366137856,-47.98078812797375,-26.629741206689125,-49.94671405836114,-47.6516972848871
-41.49647597798747,-22.79098183959915,-38.71615668149694,-54.83246776806431,-49.00564877716219,-26.51640150332333,-46.595505725015336,-50.24292654220606
-40.48730243436879,-23.187279078717705,-40.68578978915067,-48.698222325540414,-47.64693411351325,-27.065719579487585,-49.43138990286805,-47.72071235511709
-45.05421383784089,-21.720165673934748,-39.01104927565717,-47.32120679031671,-48.95582267774616,-25.72124558868824,-46.985577337945344,-47.36491638615014
-43.14126128751215,-23.28708024684612,-40.803362737798,-55.06289418338937,-50.5292335123284,-27.18872621716416,-49.95084558100343,-47.36832170320238
-42.65054891426947,-24.066503657678485,-40.70604811885376,-50.84051476904816,-47.36198971350047,-27.37590201967066,-49.93507982326987,-46.44447714572544
-46.124798175223695,-24.780839668074037,-41.45949230559936,-48.67145882570706,-50.15681981314907,-26.149214950866558,-49.029231709611295,-49.2715875262736
-42.77914755101686,-24.24848937525238,-39.14151197989185,-44.99224017397852,-46.80937586808036,-26.94436915465538,-46.96539751591977,-50.39296178140625
-42.3254832142799,-25.399684278153423,-38.58756781429268,-55.85626522734117,-49.84033210827839,-28.04167100094321,-48.281464113326805,-46.87905403884003
-42.16414746623046,-27.518910860002023,-40.671273991810594,-52.84581794709327,-40.38646568366623,-25.926265695811512,-50.15115647181601,-50.93549650611613
-44.929441142014696,-25.462024003717264,-40.831326555819984,-49.18394858934195,-44.55681476622957,-27.913935974466483,-46.754874917518855,-49.38762910733004
-43.149640026274085,-24.183350071834013,-37.7169908654521,-47.49760060522374,-49.573681734795606,-27.985328340293005,-47.75341737562992,-48.28054979663026
-44.256692690204126,-22.989959088522035,-41.53400047571712,-54.57942518125808,-49.90480479907502,-27.49782456491537,-48.98620339886271,-47.26783604227195
-43.73872559729583,-23.5729613151535,-39.82254862195561,-55.44413169744086,-49.85662406743138,-27.199823391760244,-46.61265744515661,-44.09016181003451
-42.34041708038622,-26.651375285784543,-37.62046806043416,-53.17178735946703,-45.66065123755399,-26.99487858802298,-47.23348520756328,-47.711617439283
-45.099832971311365,-25.626107945444534,-42.838064799219566,-50.49017607661593,-47.35004997861781,-26.04363989109549,-48.01069647151346,-48.630373018592415
-43.27376956865534,-21.349528455778533,-39.65348284082405,-46.82870820617923,-49.894022656383086,-28.04910792927627,-47.55520733095179,-45.38694009405967
-46.40313057625526,-21.834647709113863,-37.74303793339215,-47.560153212098186,-45.52584349168915,-24.84210070217184,-45.610867708658056,-48.30555943437285
-43.318557723106615,-26.96874569064991,-39.87148223367871,-50.6573697882505,-49.835544355833,-25.02603281913369,-46.17772045467986,-49.59704978212834
-44.22467738898582,-25.88498216581308,-39.87048792923444,-48.23839594556998,-47.45108694456033,-26.903718638636605,-48.00073872803068,-47.94664229342786
-43.23893444935759,-23.85084108761082,-39.38741217252978,-53.077007906342246,-45.161568455839856,-25.51701161111345,-51.58958931657883,-48.11035647698581
-43.12167803638815,-23.485326224502213,-39.17870549914691,-55.23063926107132,-49.00291751696741,-28.228984737151848,-49.81666252853042,-47.920977222469496
-46.26747532555747,-23.527959624769924,-39.80251989711239,-49.01509125914805,-51.01449845920536,-25.42906471391523,-50.35020536979943,-47.83640685080613
-42.41048317580452,-24.222040272708487,-41.04709310703623,-50.093662753678935,-47.54068600458237,-25.647817904906887,-49.32125336911821,-46.315378336747386
-46.13333168456322,-22.70355824178661,-37.54874487453336,-47.992697406882606,-45.50104442278615,-26.191930755746327,-46.30206194457116,-49.29029681656294
-44.34696097836272,-23.747106700735767,-40.674961424247,-50.55765524893193,-47.751825073590496,-27.59886970881133,-49.6742623383016,-44.92832633084935
-44.92974110696644,-25.49000932067503,-39.36238789811906,-47.11115990381842,-48.24898748608713,-27.19383824901552,-46.70055239542547,-50.54322274274786
-43.496784776294895,-24.53349215393147,-39.36030781963255,-54.96036270173565,-48.60333164994376,-27.54278326456062,-50.016630931479895,-47.91476966298444
-42.42395360077128,-23.804755298153637,-38.98925616083827,-51.47342585429043,-49.39152081974439,-26.58578183560716,-48.58575897165385,-49.98417507971256
-44.216933653811296,-22.567906468886264,-39.35092255989183,-56.72935237063305,-48.6143202718849,-25.193262195530497,-50.49736928153633,-48.02790282789855
-44.72658231800939,-23.871281770551207,-39.00617412651555,-45.96132550448595,-47.79775477983881,-24.80643507848234,-47.05928135397293,-47.93387619252052
-43.99975854167726,-24.362930100635637,-40.12912403912158,-45.72374482143847,-48.42590876508369,-26.42092930875454,-46.87497892340677,-50.302035620824725
-44.59535427817528,-22.83722040378835,-40.39934729862812,-55.919240779397455,-49.51831064041996,-25.586519287508597,-50.00874540086031,-48.324598876562185
-43.6204631875063,-24.65718010196908,-38.372688077568434,-50.90805831035637,-43.37259881200985,-24.71231495598021,-49.63342076552473,-48.535259213886974
-42.88668161621256,-24.395213964548965,-40.82989924788685,-56.73835069088671,-48.18679977906405,-26.88825639017083,-48.37609084689366,-47.0040292042268
-44.28373450805769,-25.406801600365508,-39.533745480898496,-45.37779635803543,-45.5206274495995,-24.994544776705368,-48.67291264643444,-51.61086854129464
-45.66342456456232,-25.694290718572944,-42.348346011309616,-46.783700652117055,-47.11858336156143,-28.82681532850468,-46.57957393652229,-50.647120639114455
-44.4006808582615,-20.6202218340098,-42.13441027888988,-52.45486655472956,-46.98050502438462,-26.777810663107957,-48.14950560287251,-48.79476191248258
-41.86037629111382,-26.90421938351228,-36.99744626866477,-52.21357284125858,-47.06378680311732,-26.53662799382653,-46.52159314779574,-46.86352702473235
-44.44707808641024,-23.248273368222947,-42.0894912628756,-56.18495807112119,-48.35635252031456,-27.25181518169813,-49.954527858682376,-48.07276906940811
-46.14691965521065,-27.46632603470405,-41.92345641045532,-46.835660638502326,-52.458390829662655,-26.643447368917272,-47.66915845857248,-45.56635884000296
-44.59464108319701,-22.83362077762287,-39.42536072240095,-50.49083905050346,-44.97884685112936,-24.79173962536476,-47.45391347330012,-45.38349388512648
-44.57277615898084,-23.37788880496513,-38.51274714552173,-55.598613208986656,-48.40538706027136,-28.665941817887063,-47.46858362286954,-49.463822673623866
-42.59550013600303,-25.758718104847407,-42.02038776270652,-53.851297357931365,-47.281929495279016,-27.48314642255804,-47.04460828032679,-47.92656787885697
-43.59851658262545,-21.85235715329892,-41.89633637375616,-50.01104690744335,-47.45839127962345,-26.320330397741618,-48.16848948334169,-48.18855857536692
-44.03280686105188,-24.146511637722604,-39.93057030037917,-56.92459851532808,-48.59805313836036,-28.856571671331043,-48.38064386092413,-47.03905546546368
-45.06706073808827,-22.25419196793381,-40.16702097293841,-56.985061061305984,-48.22699784780241,-27.34427203802259,-49.3681222755122,-49.242786579004445
-43.65714870487873,-24.956408336613485,-42.59041194214808,-47.32347150233871,-46.52855331416235,-27.90403263887288,-48.07217760489748,-50.951882282817714
-45.43405627561695,-23.55648908704148,-38.70732517736001,-49.69977394384453,-44.6253419739884,-25.558257178098817,-48.50810565183239,-46.733999943639546
-45.18133861665414,-23.170341733956853,-41.29405578228939,-55.45598427348957,-50.45483084873212,-27.59457174453,-49.48591389678557,-47.24124992188576
-43.84217777537262,-25.865122434306272,-39.32685554452151,-52.86695513936236,-47.30659148478144,-26.658909189393636,-48.26675872120278,-50.14603522373294
-43.512014971121815,-25.81761323851797,-36.57575355961139,-49.78409798291066,-45.45951149735351,-26.749343367060035,-48.532940145283824,-46.02691510927183
-44.59846298795608,-25.273841089167576,-38.52730016704175,-51.467014973537616,-47.040749757094005,-25.93799366288388,-48.08063572125288,-49.4550964843277
-41.47534360247288,-24.45861371116721,-38.93387366950512,-52.63987131615794,-48.92285890071933,-28.161528160191097,-47.34346708037795,-49.86728387485754
-43.52407935263988,-25.005627584560365,-39.43002830466942,-54.53232368980766,-48.4302656349301,-27.113535361457654,-46.85908308031601,-47.50276321476287
-41.77292682880391,-23.57467049545336,-37.49560836719377,-50.14748952725344,-48.78349004843353,-30.24987579550257,-49.91767237832404,-47.56563648232538
-42.86403564114392,-22.91179033337238,-40.28389435139161,-55.187925807908094,-48.790147925786,-26.112067855501707,-50.377802220288,-49.30559885056392
-45.83962850269719,-26.40692342333522,-40.25326401715321,-47.42471537024985,-43.28428422546723,-24.50875708687942,-49.37966456210912,-47.69699407802171
