Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-43.68991075824504,-34.74651624071738,-40.28532944971516,-38.72877900652085,-42.63941128957497,-41.23701126821906,-48.60769982765964,-49.51700539814613
-44.42728382111433,-29.844113518508028,-44.98842583627742,-40.43015753907111,-39.83681768077518,-39.20436366735202,-50.358854198857024,-49.44941836957779
-45.85436056278553,-29.49363754019127,-45.3824306948996,-43.07335064976456,-43.08944557858526,-39.63019740634023,-49.97642324245614,-45.85415981151823
-44.272829972149,-30.2675345192546,-44.231873173666855,-42.18674253951706,-44.213077315354745,-38.16101891489127,-50.25553247883512,-50.31784070151521
-44.79272249459267,-30.331189146579213,-45.64295414791088,-40.86250594289705,-42.80857913537088,-38.24825770193525,-50.83331045026179,-48.63041365623936
-45.61531954447557,-30.809085040698776,-44.16820034071411,-41.85442128226769,-42.07982726689721,-41.40559040396801,-48.65359313019022,-48.552243808808
-45.62316728770663,-29.836325989460388,-43.58169912238768,-42.025893953078885,-41.85169297027141,-39.14816363482694,-49.38761165820311,-48.329259955827965
-44.65903148983014,-30.33417159777158,-45.15881125764666,-40.56180038228374,-40.21625433832957,-40.18957474009283,-49.96625801691888,-51.13027540699328
-45.24678997124727,-29.628539799104782,-43.53150683471842,-40.41509992926778,-39.629939611805504,-39.25435314938745,-50.43299834150997,-50.13018810187876
-46.79163512582249,-29.15267142518185,-43.76467936722076,-43.74202905980729,-42.78806904282975,-39.13045663796246,-49.46706612079126,-46.96046139863332
-48.21884498492764,-28.811708585784093,-43.51566161959008,-41.25177675786984,-47.91888657839724,-43.7185645100254,-49.24946944612657,-47.33935117144684
-46.744583044717984,-30.266775932975506,-41.82233143279869,-40.462026484246415,-41.73814070040548,-42.120565490801525,-48.56835882978379,-48.30455424566785
-46.25311809432762,-29.8171382853909,-43.84736202163775,-42.82533972432383,-41.477902038559385,-40.06476370870588,-50.1472111660396,-50.92574039287189
-45.13561551489293,-29.68505324894171,-42.98682605327161,-42.769495444392064,-50.415254455688284,-39.43642104797613,-50.42264343914636,-49.09791611214759
-46.96061650594734,-30.601951329171293,-44.01754045866442,-41.75363796010605,-41.273340192214405,-38.701650386841024,-48.50572250046382,-49.11403133725172
-41.01366135711277,-27.56077491248617,-43.22825072136913,-41.85425526518279,-47.936764375350045,-40.12152254616837,-48.96694437158813,-48.74433367213966
-44.17530638723027,-32.140024648314444,-45.07212989764066,-40.42931954521617,-42.242320643306606,-40.497517826552766,-50.58181975528775,-50.51113370003675
-45.1074826724649,-32.070445900629444,-42.309594894742624,-43.41015422029533,-40.17783097337427,-38.96737094476261,-51.08142981097181,-48.1775940345287
-45.28723748354072,-30.707973401707413,-46.0877071663993,-41.83289534232557,-44.53627666531682,-39.83552439935213,-48.07957481135264,-49.79376453934432
-44.789195790948185,-29.94909030843568,-45.19560846278981,-44.156634614441685,-42.066872921101805,-40.64738851197288,-50.33980587809565,-49.3252752715057
-44.24806644119159,-31.0668452918586,-45.15610801749606,-39.02639091107428,-43.397812466520286,-40.07535341884236,-46.9888644645026,-49.23809779319564
-45.37441073463651,-30.14847739002137,-45.61586099128023,-42.24288558333792,-42.071634156894135,-39.28895187449256,-50.79650644282628,-47.57330178361466
-45.40931917250563,-29.446749457117534,-46.15132469978062,-41.67883510212745,-44.67623652960223,-41.59903291389311,-50.13611837295116,-48.35518600425048
-43.91002664123023,-31.00235760090748,-45.192317362630746,-39.52283134909221,-41.24794394403629,-40.66679315184435,-52.39162783188738,-50.0254290870284
-44.45183281850809,-30.738756101620165,-44.50745082661543,-42.10864533939656,-40.96060717443132,-38.62726980960897,-48.21006104524203,-47.97835833227092
-46.80219854765248,-29.60589678516178,-43.42265351976856,-42.31427595277394,-41.981285037725165,-41.92805441753857,-49.022922164013664,-48.45164827812047
-46.50477477605561,-28.460658881453405,-43.67413658725941,-41.25124259628545,-41.196430185685394,-39.28378539033067,-48.88562090577362,-47.85836001852849
-44.12093258384337,-30.76365051290489,-42.71240657425504,-39.578347213652286,-41.41911759388052,-40.85100966743463,-48.40299441313451,-49.41267633453036
-49.70304605974418,-31.285588739100252,-45.99988025728792,-44.65513614714331,-42.928193795960205,-38.989289282728734,-52.552197149155454,-47.73598066769952
-43.89305264351289,-29.50004285037156,-42.399231411861535,-42.625170706764976,-46.70595009951374,-41.07847260892756,-49.81711331140312,-47.8413609042125
-47.03447720413127,-31.638607915908157,-43.02565204664811,-41.87058104190615,-41.32297402025798,-40.683628588061694,-50.45767999589396,-49.74174055865672
-43.30587627287886,-29.841236577850605,-45.644286688707616,-39.50688630665549,-42.46399602574481,-39.32282533856494,-47.334836999910735,-49.50818200308934
-44.871972428458434,-30.16396999686439,-43.57451853620447,-42.92618000217931,-40.09526906199447,-40.212935451405976,-48.57089752547152,-48.788544717569465
-46.36192783609869,-29.984004049057937,-44.3665194815427,-42.43882190009661,-42.01206965752563,-39.43666725356629,-49.62094871285486,-49.86669449725844
-39.0,-34.0,-40.0,-39.0,-50.0,-49.0,-50.0,-49.0
-45.394492234596,-30.3179359688726,-41.760558693428926,-41.149665813538505,-41.08597251444391,-37.09341342815648,-48.45643073862968,-47.881602434437205
-41.352794184713126,-34.58592385616502,-37.50607148536005,-37.97509908442176,-45.31967085117813,-48.160226618234205,-48.05333577210747,-49.187594038533085
-45.78589726860014,-28.09354385605012,-42.67718891262278,-41.00323089698135,-41.23911375005887,-41.27614760417432,-48.863113373237816,-47.56974506969806
-44.5681858923356,-30.22150176138369,-43.96544661234874,-42.69555743455114,-48.9647671529594,-37.87607950743677,-49.72155926309389,-49.13389607509139
-44.57552001258454,-30.796698345410437,-43.00456652705006,-41.78725788853171,-42.57377058120512,-37.37028183360352,-48.36418850332806,-47.696655267990806
-43.553433104152624,-29.64938292047386,-46.16255606583833,-41.55558277967525,-42.93365520611315,-37.52998807252739,-50.163208103317714,-47.68267116634192
-46.77949242818374,-28.75786373248169,-41.89146422050613,-41.594514440260696,-39.19230989758728,-40.92882626377838,-47.58471863602541,-48.510646116082384
-46.23597874506508,-30.557378246515707,-43.18013086632285,-42.995109871897085,-40.34972367856996,-39.01869653436987,-49.145719999663626,-46.861067947963264
-45.10133538724892,-30.21974648260372,-46.72868324680535,-42.765590503402045,-40.114955521569634,-40.875388597526175,-49.96384192207552,-51.0854871698952
-44.43102688086435,-29.85720722808467,-43.64898874507975,-40.15689826514634,-43.6403497418664,-38.577789969690016,-50.70159975057617,-51.23868259085756
-45.50929226371037,-29.60025074996447,-44.642432810731854,-43.09017687471633,-42.529057505501065,-39.79243047304454,-49.08698550385767,-45.97381406748968
-45.38091154853692,-30.29933410355932,-44.58560998787573,-39.93486612809178,-42.81148027224299,-39.79216387278841,-51.04565957445128,-48.63792644413283
-44.7422246267633,-29.99390759168758,-43.95390990312896,-39.86559049081631,-42.136439552020136,-41.5420513577142,-49.767750327978256,-49.55816740793166
-45.557372435121614,-30.67573638415821,-44.16470245275097,-43.0089176602152,-42.63463556182833,-40.86140031653554,-48.43160811752544,-45.35004581790929
-49.62549032959279,-28.529666885067385,-43.78099711303143,-42.99399595159343,-46.773602749216806,-40.61821795760483,-49.67113821410079,-46.26296542686309
-46.02642063040452,-29.954343579533194,-43.45850108964127,-42.61881739211614,-43.4969049413767,-40.22043031781476,-51.165147420661135,-48.36126154444138
-44.28662019645879,-29.70751095367605,-46.16451820705675,-42.853203362717785,-45.92529466529882,-40.24010601884287,-49.17188514710747,-50.406625445477054
-45.4839372618155,-29.027470409052977,-44.03786205798923,-43.43948626203271,-43.98019743090374,-38.841804897410135,-47.87131553822726,-49.45434505465146
-44.910431881009856,-29.48338655193485,-41.60098442518456,-43.94707496253609,-41.31963622862365,-40.93226590110329,-50.41440912880908,-47.50189460909289
-47.26335448898517,-29.63163649076788,-45.41783154875609,-42.26394021625951,-42.77883864306304,-39.56753644659029,-50.02717346693612,-48.20904192941161
-48.011286363446864,-31.140299859731687,-45.218485872268616,-43.51574988642695,-42.97415160637827,-38.13776209644064,-50.74664365780282,-47.4239154135032
-44.70627984514062,-29.85554103692105,-47.78590997262978,-42.49670778357325,-42.2085375248357,-37.945557219378586,-51.0781308998676,-50.45348995561107
-47.74191791830136,-29.9261463637712,-42.95370657604212,-42.96636139637186,-44.72789121748751,-37.10503821407013,-49.56799407975262,-48.33379184589006
-44.08905014291907,-31.013716943705106,-39.59358605523568,-43.11369011898545,-42.1954142105635,-41.07730642960746,-47.4228260745228,-49.66843778420484
-45.603538066205004,-36.23101738903165,-42.70366864729859,-42.0787366965266,-41.260599029035056,-38.6746253450912,-50.31715174532385,-48.11577513746746
-45.61371322427788,-27.680085431889037,-44.13959770794064,-42.74584641282464,-40.63788454355877,-39.626302936469855,-49.77536008380003,-48.58251212823509
-46.19046170978732,-28.758349033569125,-43.24011800240813,-42.775743986803406,-40.79453400752651,-40.18622579520076,-49.522007233993975,-49.51192647675109
-45.728851782112,-33.35298376220119,-44.05429711234935,-46.7838185628876,-41.6897521798219,-39.28903666794461,-51.471533569284254,-46.73994302537651
-44.269208757552605,-30.630518822839683,-44.80238031008417,-42.34907008590649,-40.18049086517194,-38.01018015187185,-49.86129608346324,-47.82055088000361
-48.52535826511681,-30.557386933987345,-44.17966644071953,-42.81580398809264,-50.26702980216445,-37.3096579822203,-50.571906743557946,-47.55220667014182
-40.568466177592846,-29.20755480175716,-41.95442439444501,-38.67473945682056,-42.029406702641126,-39.25704907156416,-47.79804544479517,-49.35155256822245
-43.71555942669296,-32.26852100242652,-39.44721696350446,-38.92519315029725,-42.00121360143044,-43.33883628559438,-49.07538763657647,-49.45574655158137
-44.79959223475424,-30.546087205883016,-42.187408548897686,-42.0891317629533,-40.62843733439251,-40.120139565818654,-50.430054123328574,-47.71060475103771
-47.8008399769041,-29.932396982808083,-44.10045902108374,-41.350204954430914,-46.42911967358679,-39.26909136726994,-50.12407334520995,-47.599214095639496
-44.20607789158904,-29.79665237562552,-44.71843920163616,-40.92382538205653,-39.336983956726186,-38.2721204485903,-50.15924002509583,-48.73233983859405
-45.6680811515203,-28.828788313533742,-44.12854608040159,-43.96935317507262,-40.29888580860147,-39.91488591646553,-48.653505174854885,-51.66881910405705
-43.39948215662555,-28.885827297571005,-40.10891862578687,-39.26801800388071,-43.25994871238099,-39.06757854319045,-48.1113194813749,-49.190978483573225
-44.76020103052522,-31.3969407840764,-44.87809069463609,-43.14147970226426,-43.14391224760013,-39.261614452074575,-48.67126001124122,-48.70252535304493
-44.787277223915545,-29.350140123053603,-42.63399009229925,-42.815148255971664,-43.21540994382988,-40.35288451686907,-47.99865699412402,-47.500896157727
