Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-42.35287496479332,-41.41182841286676,-30.32288960772118,-41.322281962796296,-51.387240096767066,-48.28278811379688,-46.97403904143395,-43.93385479583754
-41.64661339382883,-45.03731564765214,-33.175048069251325,-43.7794650474125,-49.46365630029643,-48.4639303275428,-47.07420765454579,-45.79825295059129
-44.50128750314026,-43.62741998837924,-32.450129060576884,-35.917038329715304,-54.0535432019588,-47.75495917610077,-46.9131374205336,-40.59745339034249
-44.413444519640585,-43.924643896092526,-33.24461316106556,-32.07235155934605,-54.20726026579547,-47.58453321772662,-46.63548686512147,-40.27871009811095
-42.81121133817815,-42.38813190322479,-34.09345152115913,-36.78207391647293,-50.59470993838728,-49.93468722656514,-48.09064499264407,-41.16423867432015
-46.45411233357885,-46.19033778021136,-35.32424779968228,-41.29598459829555,-53.435743390061134,-48.05442093724629,-46.0225959434644,-41.724426087424845
-45.06998657591548,-41.70228878420768,-37.4630001573524,-36.74310738078726,-52.49158245091099,-43.49124391107421,-46.53421489085694,-38.75328469779218
-42.46513864157088,-42.27369538495376,-31.48694149422792,-38.68431113652584,-52.10790288039574,-48.23162303267254,-45.65651314901872,-38.94873539984833
-44.89620627449459,-40.66707767997227,-32.55076084412778,-39.4219615056454,-51.48452448605976,-50.94014468180043,-46.12739264314593,-44.487047390296
-46.43693867648445,-42.514360215163926,-31.92052572313469,-48.71197528532844,-50.9921183344675,-48.28992035727348,-46.65265552915645,-44.51939515936336
-43.09004118354366,-42.18513397646797,-32.162505634939535,-38.19382683013921,-50.1883405815404,-47.45183911366083,-44.213167400515104,-41.98842117554383
-43.10821345244997,-40.59912784854088,-31.313418704658567,-38.49525088319861,-50.31619915925365,-49.60845631098156,-43.61238235051594,-40.22453574983792
-45.12438093101649,-42.54711965270366,-34.30984213487294,-35.72606372268275,-50.52967638335738,-48.162418901896025,-46.2429070173671,-41.19019160488824
-43.18546645119628,-42.909734828636935,-37.12055901616452,-39.35378007583554,-48.86996564070122,-47.31409170019389,-47.16861046811852,-39.49205974687457
-42.31353078136746,-41.47209510418847,-30.45064067091621,-39.09928646526541,-51.937943067691485,-46.780242136317526,-47.01393987363959,-42.37162189117544
-42.28149567690327,-40.55741000576719,-32.83352702737911,-36.90429204275173,-52.41636774070519,-45.68523710232156,-46.90781400661962,-43.32279591484093
-44.80118871059352,-44.57691815407145,-31.523748162989733,-37.95419643258304,-50.839744973240855,-49.49724417314932,-45.176215241441874,-44.086622188376886
-42.89421277350935,-43.17680159621739,-30.40339519596335,-37.21481523965375,-52.787053153276936,-46.884215861395774,-46.16316507129283,-41.13414923395121
-43.76142703699231,-41.08526542385541,-34.76500542973999,-38.86253420194989,-51.36923876015059,-47.18690819486379,-46.0442751474227,-41.37471488409408
-43.43527276702128,-43.31041793172485,-32.1780472050247,-37.8478023715222,-51.40060295582864,-47.55893918751733,-47.415241626764,-41.98199057409224
-45.71362970441701,-43.477024384264205,-35.59709841661656,-35.58589870442876,-52.96026645018401,-47.99550347816059,-48.10535650244929,-42.57516365327554
-45.17171634789057,-42.13854276914164,-31.229908441669927,-39.15056257523626,-50.53113245976978,-48.15033186783664,-46.88496330483645,-42.83979421116052
-43.18897072075684,-41.69427198946997,-32.163205475100504,-38.07260318574362,-51.040953744115896,-47.26459012773301,-45.83027449873645,-40.58437019559592
-45.43066047654065,-41.72955453642292,-32.310444133517635,-40.21274453674042,-52.08740560463036,-48.20324223835146,-45.59460365204586,-39.60871293313241
-42.870266386679546,-41.520512028188485,-34.02507850676307,-35.889093465187,-51.17799687029297,-48.35998523755314,-46.51783448041096,-41.608748258531215
-43.74199565502133,-42.22791721639431,-32.43073659772991,-38.48556939376086,-51.36441973908892,-48.23137162335742,-46.854765875448415,-42.14137609059009
-43.67685462904911,-44.41991684316159,-32.06289133118584,-36.6855327373779,-51.93137566991563,-46.97104772914723,-46.30860958408823,-43.69926398709599
-44.06034048248579,-42.37570006703245,-30.767372148342268,-41.89914654590692,-52.00685786850319,-49.1495220454299,-42.52025811884628,-44.885310263955
-44.649350617713125,-43.30439325656022,-30.35103728480066,-36.40926311572806,-48.85213433070211,-48.68789173539077,-46.18920575839039,-42.12147593619953
-43.91332249808976,-40.100457919946,-35.994789178616244,-37.84669108698042,-49.79312230114082,-46.62409983168072,-42.87103649741452,-41.88195101927991
-47.32015690725279,-42.60759419393544,-32.067892150812526,-39.651615753666405,-54.01980759639366,-45.00215473555135,-43.67535350690802,-38.05289936756565
-44.83459001116405,-42.53479614256052,-33.24812895005401,-37.13999722064664,-51.61598764987307,-48.640942360729134,-47.45166083678813,-42.157312233807225
-44.672220917146205,-41.44214351743961,-34.712882651094404,-40.29031446752149,-49.89334326666204,-47.048859444888514,-48.01264327468372,-40.76661248868176
-42.24737676668878,-40.70978737742652,-31.601470784123244,-38.06704390444666,-53.27215536562306,-46.953505715080176,-45.466652146470295,-42.57408039458783
-44.16207500589778,-42.75339839999437,-30.735890389281327,-38.04075078130485,-53.82132669815869,-47.0449132511677,-46.52390999893424,-43.655175009896
-42.45721390862765,-41.66827721052119,-35.65821221431471,-41.04210699623667,-49.309870665104434,-47.65076451215455,-46.705749146938,-42.98351356751413
-45.56349723204183,-43.0656776207782,-33.388755571151506,-40.21662330595073,-53.73228963942428,-46.8795133584886,-41.67833324494466,-43.54286738765439
-43.72890543873793,-43.69816070277799,-30.037341252213217,-40.28255028280177,-51.78483936592048,-48.000529748477845,-46.581758278559136,-39.681880277406485
-42.20966760748452,-40.83197302949978,-34.42788493593073,-35.90506927103878,-52.61897205083833,-46.58268066624113,-46.59296643869269,-42.071406004704
-44.074605739570856,-41.63437751834638,-32.654764810540414,-39.15896036769358,-51.10228664394224,-48.18175122343056,-45.90434091677828,-42.00286856698772
-42.984202504768966,-41.36863190499979,-35.57608427640075,-37.23532989958743,-49.93928555033797,-48.10678557757476,-45.44542748925354,-40.06427368144399
-47.75925955792029,-44.89567721044883,-34.20560635263383,-40.18197824789799,-50.8424623732345,-47.60914459234221,-46.96303346987545,-41.52222318820813
-42.40913868873226,-41.7438606974144,-31.26537824670529,-41.86392963908697,-53.7382113942129,-48.60365499856999,-47.01178955774804,-42.23653647556088
-43.09373382249127,-41.04693084660012,-31.6271178712222,-37.712987684751184,-51.23230912261537,-47.35452569458279,-47.47833675251168,-41.01300425935205
-43.433477340832255,-40.52017042220951,-33.49193221248644,-37.60554663740687,-53.19330904059305,-48.77144540661487,-45.70712337862253,-45.13452625573346
-43.99555800737839,-40.77403038039738,-33.43419378249851,-41.48325455967457,-51.74561689569507,-47.447829168917664,-46.91430916868234,-42.13537395772077
-45.08444414946694,-42.1798057094361,-32.22678487597235,-40.14025870830418,-53.05911778465776,-46.15922137618197,-45.6557445349929,-44.38290435132437
-45.14784904433997,-42.39104293028156,-33.74962781125187,-38.775813299103866,-51.31491244850617,-49.32549564116063,-46.82241318158506,-38.91613343779613
-42.38998094484896,-41.65880096804415,-32.394258169404225,-38.7392314693768,-50.73055027193189,-46.99671114650118,-45.36631804190059,-42.31258384589171
