Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-41.28556260143871,-29.333012660625407,-42.83260643749846,-42.53252429831777,-45.88645581303426,-28.75234269005245,-43.44018609388657,-49.62947727373975
-43.47650637783875,-27.66456794833453,-41.59562557732947,-46.15332006316979,-51.292574982249455,-27.347787848319665,-41.74623465848643,-49.76782106900844
-43.78447962554903,-27.017906960469027,-41.32048528488801,-42.8006062909874,-49.74465092001663,-28.18770932337995,-45.65254677267776,-53.02452342945247
-44.33793375556797,-28.244745426322417,-40.50686040583897,-44.245973999022944,-51.74416994700736,-26.878091431576216,-42.78512929598545,-50.85516408504404
-45.803661198215615,-30.35588163619301,-40.56321380489873,-44.41492785103146,-46.83493632803648,-26.54803737178684,-41.16280374893072,-50.46429332492866
-44.23921895358155,-28.658509296401878,-43.90997767050119,-42.7996132222641,-47.50878262225989,-26.250585051220703,-41.3757160628838,-50.030431355776855
-40.315409296204464,-26.410227617519205,-44.35554529745728,-42.27218527572908,-50.62350541349428,-29.930938169824504,-43.997945515916335,-51.42832282672402
-47.8267315780598,-28.02645205663212,-43.47587664532978,-40.55660760104581,-46.25640471709884,-29.029552417067062,-43.34849187345427,-46.387845390647406
-41.37716350119699,-29.60716741654564,-40.71960024749098,-43.88015228816776,-47.21021562631801,-28.02726689288533,-44.67091553973505,-48.23807479396157
-44.90439411685491,-26.94369816268753,-44.358555169985344,-43.871018794115145,-48.26930908126114,-29.400747765889857,-43.73897335937362,-50.73064933305628
-44.00219013528484,-29.23509488770525,-41.47262423773326,-44.56177604379052,-48.51207391800426,-27.67124859386566,-42.856858183001286,-50.35514643418789
-46.62543273315499,-27.837426833237046,-41.76305253396003,-44.27042145256905,-50.62946694696271,-28.293106836407627,-43.19110925341167,-48.559088408692745
-44.80844818977501,-27.01012771332953,-43.911878834950585,-43.89831559619784,-50.222563962283004,-28.02026097254856,-42.9385963254971,-50.39048057503315
-45.503741056070176,-28.238415360884265,-40.95792248898418,-44.52946048917536,-48.11906339792023,-27.450308212251212,-45.57144193191116,-51.428335610450446
-44.39791903191404,-26.88149885817418,-43.91280341189553,-45.88414314515016,-49.22052568419319,-26.737857294044893,-43.70523124853786,-50.90323924689782
-45.0,-28.0,-45.0,-42.0,-47.0,-28.0,-43.0,-48.0
-43.37329815122808,-27.40457472489303,-40.84861249379724,-44.04423636974188,-52.74645504813787,-27.54274986184729,-42.00804209765898,-49.92185610882409
-46.59499550553802,-28.61537379149822,-44.41046288812179,-44.84577515314217,-49.55050139309687,-27.9742763688905,-42.76944051461211,-50.43248535444688
-47.84542138251098,-28.47945248799813,-46.00621660260516,-42.66770012362629,-51.24315533126194,-26.90395684660943,-40.924299806142734,-50.28809048495216
-45.24674625641043,-26.290575474263207,-43.45477046393554,-43.315183121336645,-49.13860900598663,-28.273134347983078,-43.76146353638585,-50.533053735221166
-40.050252678380936,-27.573207941205126,-42.97483150431467,-43.6094018142178,-49.01117322079392,-28.46038306525841,-42.629978230867394,-46.637474069503135
