Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-36.16795303669639,-34.513154283783734,-50.35664171015832,-41.69383668029743,-45.85770668159168,-43.96411885169332,-57.02277368351164,-47.98190295591808
-38.0488416610844,-35.59410871161584,-50.418508262616605,-44.11493171073389,-45.3404908244588,-47.329035621074446,-58.52547088910536,-43.55982637311649
-39.1169762836366,-34.560113417086605,-50.69104809257895,-40.77037508799198,-46.40073608396454,-46.28104698630717,-58.497664363017655,-45.735332805773055
-39.14580384692816,-37.46051920397242,-48.46077675863479,-43.70389110499047,-44.147507336206175,-44.99449746183869,-57.107846932639006,-46.38704692419766
-35.56102845876425,-35.2748162242863,-48.78979683706653,-42.39802565728307,-45.88612977821152,-45.75545595611846,-58.30516330250968,-45.069159075426654
-40.068936436134166,-37.05899755586712,-47.59798744809517,-42.21658875213495,-46.920850289531465,-45.94969269615677,-57.47155444378267,-45.10599944489103
-38.29569836749016,-37.07666188830271,-51.4626974701748,-40.43853330795391,-44.38039500464149,-47.54855833599962,-58.68462560170892,-43.056208840609145
-38.68075406840624,-37.17618790509837,-50.40195995011956,-43.38883782182716,-46.24545561096527,-46.33101400412517,-58.07165497536202,-44.38610466121175
-38.657722544633856,-36.22568252867698,-48.29895971651884,-40.31434903910803,-44.51985583170576,-46.52567082227524,-58.8536665316566,-44.85628825616045
-39.40553905116921,-36.08344322679044,-48.87566773183815,-41.92840079615237,-43.992417624689146,-45.98554469994037,-59.11739098320351,-45.32131762681791
-37.46463647564619,-36.51549625798477,-51.06381865769914,-40.687845801825866,-45.42364427737039,-45.90551139345628,-56.7074651247588,-43.65903479224678
-37.54055294630577,-33.40973908008764,-48.89519622354834,-42.4023784955953,-46.24389290743213,-46.84437737502769,-56.15964169167516,-46.61242006937074
-37.85055037251062,-35.293783203025626,-50.128251584623,-41.69348296322996,-45.0156839584908,-45.222766713352975,-57.09862260931938,-46.56730624474429
-40.221801702027584,-36.0128160529532,-50.33317239911341,-38.81520205526736,-45.96110355022445,-45.34555239839009,-56.046834520128,-46.15689788841339
-38.95516875974056,-35.177569675729075,-51.31254760353336,-41.49318533634919,-44.6702661702237,-44.69295598515868,-57.63543538148116,-45.51250347438942
-35.957657222863595,-36.10804440883238,-47.640893009066346,-41.14242063667345,-45.1241342909757,-45.52631819407834,-56.61594064901657,-45.31777290270579
-36.97051607793715,-38.41403940200082,-46.95458215396923,-43.84059282497733,-45.25366591657362,-46.95475235426441,-59.13298315799615,-44.69683424434336
-39.64408564689798,-35.38874577069531,-49.81863270895606,-41.02267952137608,-46.82656915307477,-45.52427205242477,-58.43432983174665,-44.63701909785858
-39.62034108360668,-34.0371378700692,-50.17901624846616,-40.69433055875084,-45.36015467927835,-46.92908163679281,-56.62244273047441,-46.12677514804389
-38.31618477246043,-36.43482434671812,-51.68261040929899,-42.81628888805028,-45.27947373618849,-43.945718894831145,-58.730310289348864,-45.22952865781125
-40.19925240985405,-37.39039929454513,-48.96750320622611,-40.780872228381234,-44.29272017057208,-45.83434539775419,-58.41375882315385,-44.898882379557655
-36.930658043002616,-36.562068261284445,-49.2109652100003,-41.08637558972122,-46.16150158916818,-45.236767035494005,-56.8828799745658,-45.671617363457216
-37.5779073139181,-37.75105108490965,-49.9096150858168,-41.03379259239941,-47.36831709151849,-44.44029622165692,-57.86679157475622,-47.30650021823091
-39.64821349032568,-32.90715682633384,-50.245403459530976,-39.54857461988392,-45.07838365622858,-48.59915508637351,-57.94686825448376,-43.59311297058541
-40.84327197402572,-36.74414535139092,-49.61612358839682,-39.6031480700069,-45.890373488867326,-46.00226074721371,-56.74193609281684,-44.71920015014498
-39.81831180904917,-33.954536925924195,-46.988987091618775,-47.21191508166567,-47.45162982798516,-47.3986200027479,-55.412624114862254,-45.27124726622853
-39.754521448882656,-35.5503842187814,-49.56225117130506,-44.12968421765021,-46.65936742559611,-45.42767316010753,-58.08304556174382,-46.08941158681971
-40.82133583421533,-37.85730230869206,-50.1637106585826,-41.25327629685942,-45.9582009284741,-47.22352380388836,-57.6112562907567,-45.26397060146903
-39.58599641681644,-36.79481701459822,-50.675476698834174,-40.74660405728709,-44.9311590846943,-47.350468782533525,-57.54926362312286,-42.631459170974615
-39.03853045347059,-33.22882192192153,-49.68330903287552,-42.03896688822545,-45.49200834231879,-45.77306971909259,-57.11114164395652,-44.91752027678833
-39.29329452161242,-36.0383429360235,-49.74115562785557,-41.10507736372888,-45.83898884538223,-45.5731233826329,-56.02644671468307,-44.98535890603189
-38.24089688883193,-35.49050488586384,-50.52189915681485,-42.37228048509543,-45.095004055760135,-47.025546553731175,-58.477205368023945,-43.21111637575235
-40.66045371553998,-35.88224412352796,-50.824717170400056,-42.91723131492305,-45.567194262413466,-46.72122628548505,-56.27313640404735,-43.331707144273366
-36.8961429479827,-35.739017609837255,-51.04362620907029,-45.051319369154086,-46.21778584649433,-45.41010012877504,-57.98620581678977,-46.547167223564905
-38.96734230488617,-36.37877033706539,-46.92502167243155,-42.78026000892249,-46.56322351164407,-46.31720184618759,-58.18018058306727,-43.58978579309667
-39.69403084459953,-36.91548554325575,-48.99412410305796,-42.65229810327487,-43.681290621462665,-44.89005670749433,-58.58798546297214,-45.67222669830692
-38.36647198716437,-33.443755566842725,-48.467309559323965,-42.61823364212594,-49.11079298992694,-45.15427170807931,-53.22392293164911,-48.45342484388925
-38.991716121065664,-39.221011211475926,-50.38117201771881,-43.26770056193915,-45.09823884124539,-46.56629728860457,-58.55224478301281,-44.6029200242818
-37.8120241631719,-36.443835207025664,-48.1426087701111,-43.258981752207546,-44.076981104614944,-46.94023874996453,-56.96591035193367,-47.565278823011255
-38.431505635307175,-34.690356682356324,-50.5610967755829,-41.25765073540684,-44.47804310402831,-46.42397252271786,-57.85970327805185,-43.52663330109871
-35.40473557411809,-37.03639203651718,-51.04701402089458,-42.05957536981121,-45.2153474683528,-45.61182627344128,-58.42582174962117,-45.05398852505605
-40.72805894736285,-33.733184346372326,-51.54007701757533,-41.115332914950905,-48.14718364769984,-46.28896436057452,-56.91591057121804,-46.46556674663826
-36.58940851350932,-35.77509956994469,-48.52683140633892,-41.70228518326325,-45.24447265769085,-44.80441695441181,-57.35361559628864,-47.17047227924999
-40.034776976603816,-35.791917711339586,-50.28372643861759,-44.781551113048,-46.25847077399703,-46.10633577782602,-57.175804505984985,-47.21926499512569
-38.89923051236461,-35.93587664856399,-49.65980224178912,-41.85144809091988,-46.11702407702021,-45.48674774664444,-59.13865386845227,-45.32706874645264
-39.77346467835148,-37.684260114716366,-50.53270002789583,-42.1264745875006,-44.24452958933424,-47.61540746695459,-56.851251046320485,-42.535243350829695
-36.891140923110456,-36.92345026997364,-50.46984290814008,-44.27583645043304,-44.979519005715424,-47.6380606078758,-57.85034424739639,-43.229539547967775
-38.06895419516206,-37.211670398486746,-49.64240507142672,-42.87407445883872,-43.987073400399154,-44.022098317690855,-60.462233701477686,-44.54088505237719
