Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-42.0,-31.0,-46.0,-57.0,-50.0,-33.0,-65.0,-48.0
-41.388616721028775,-28.2699660727431,-48.15600686816352,-55.98818739387236,-49.92516104955509,-36.61326987262083,-65.88788939302333,-49.88313939557488
-39.71058889627874,-28.202009325259652,-47.87628670144854,-56.588785634649106,-51.23292288553319,-33.996674007486405,-64.46547923262301,-51.40576478029111
-40.03219787006463,-25.4316631030578,-48.04105025278997,-54.88319565397519,-49.82111437581807,-33.65630314437092,-60.150134481894234,-49.499233070280916
-40.52038937448877,-24.169504112785848,-44.65594088644316,-50.65937498680647,-48.99903719429929,-33.62090231785775,-59.022851961920445,-49.3066462491634
-39.26288602128885,-24.66091322097121,-43.03996684636158,-50.62787965278874,-48.559148782300156,-31.903313857211465,-58.607005585126984,-49.38426831543537
-41.95147532023487,-23.75580772818485,-44.102430570495095,-53.077516712307215,-48.39626597957432,-32.333512999646736,-56.2953337729374,-48.57435765330507
-40.35184098774257,-25.34470005164254,-42.46630876648806,-49.576754913481174,-49.731343155764904,-31.282194893708674,-56.813917821671986,-49.42952930507132
-39.439429265962154,-24.432770527813787,-42.46299293601264,-51.81198692108483,-50.61584344829174,-32.201616764521155,-57.21669097763076,-50.02966862359067
-39.11565123917663,-24.670706024405273,-41.56030437664316,-49.29444403053443,-50.86029898495022,-32.7211180518347,-56.25192913880853,-48.98929448658794
-40.198829142386515,-26.45646054779738,-42.65164926876177,-43.81337232934329,-51.10804268894309,-32.722196457924596,-59.673857361141785,-48.87225845946435
-39.19756796084312,-25.766917328600652,-40.34751430681466,-42.74375248893539,-51.881040086914176,-34.191619944049485,-62.606495840912565,-49.04007194220472
-39.34448875308902,-26.209250070217195,-42.02584801004018,-41.730495282269764,-54.82260029451871,-33.737363527721634,-60.696600235820135,-48.571805968314514
-37.55198258724155,-26.64922251284307,-41.93121206653307,-40.8347447959004,-51.813821395156396,-31.89441963233159,-55.15155629878933,-50.88471436837152
-38.97087487491152,-27.459506536333052,-44.317260354642386,-41.28763840142551,-51.5563707133168,-30.312029934154925,-56.689942368879066,-49.76022811235747
-39.53157662674078,-27.830729585584375,-41.84981545012405,-41.54153511659507,-51.79239380451518,-32.097092355881955,-55.04452016838222,-50.576384710297006
-38.054094864840934,-27.33912211646015,-43.20956889639848,-45.214517343342536,-48.39120580108393,-33.94145240988102,-57.572911488437455,-48.350300926360774
-37.52619972631934,-26.36250883652749,-41.737884882740005,-45.791359597383455,-48.04895467402683,-33.95860611005949,-57.42977092726312,-49.004593969750324
-36.431318391528826,-25.14514204240775,-43.23200125651211,-51.32958162709143,-47.97407349270899,-32.71167365908003,-57.12849094303029,-50.73437237955861
-36.55833307659196,-25.514560909078355,-44.26833385312047,-48.63468954795208,-48.75237764533168,-33.69101756355803,-56.729982991017025,-50.39003016779623
-37.90284339850931,-24.778847282539054,-45.24884511725374,-45.724892824617555,-48.671502536075536,-34.8781791262858,-55.507223133819686,-50.047240656842014
-40.38311480737141,-26.039019504775897,-44.62340031251627,-45.476280022987495,-48.24849601554943,-33.77369783748344,-55.98283015611508,-51.50081192830355
-38.94269323361315,-23.01139458152731,-43.890386075370095,-47.447360539047374,-47.07363150048046,-34.82215925573453,-56.01133955302086,-50.05232609304203
-39.130399107408124,-25.03758009017971,-43.994452818546826,-48.03178028993414,-47.428141975230204,-36.38788138073365,-56.78161676273561,-51.033697114016356
-36.59103971049442,-25.04895495650098,-45.15287694513742,-44.85900781573875,-47.157728452434256,-34.594690319582725,-55.048139387102786,-51.45453393906571
-38.556026407617175,-25.183851327575333,-44.1330473323052,-44.23051179576212,-47.63826936906419,-35.213163327535206,-55.208309394429264,-51.543663775116144
-36.54677498139372,-25.912084868241692,-44.05392667795674,-43.769422509852845,-46.72407626521119,-34.69529344285304,-55.643494509439805,-49.74066386485609
-36.06176191721617,-24.595870784657613,-42.6941447018252,-43.639426037231495,-46.81980916049448,-34.82131404253211,-55.45362702509826,-49.81447229358176
-38.21143743276426,-26.22965415340738,-43.088382652277645,-41.32954250423826,-46.639174903003756,-34.84328022168467,-57.44321206695726,-50.535237865105174
-36.51896038698589,-26.56298207210804,-42.16817214849334,-43.36573832604615,-47.66974740388571,-34.7348720343096,-55.61229026067182,-49.65190340970106
-38.085473170462194,-27.255961798852777,-42.96429994324914,-44.2928651633558,-46.432889124962706,-34.279229588546826,-54.42389435246453,-48.496766696790075
