Wifi_A,Wifi_B,Wifi_C,Wifi_D,Wifi_A_5G,Wifi_B_5G,Wifi_C_5G,Wifi_D_5G
-45.0,-46.0,-39.0,-45.0,-47.0,-44.0,-48.0,-47.0
-45.48397834918282,-46.134555408629936,-39.233088818297574,-44.878278769005874,-45.14798157135724,-44.95850396771042,-47.92376911104987,-46.136354526312296
-45.43693398407743,-46.3138186113122,-41.68432617256632,-42.4014011127043,-45.78489716986974,-45.86048601365953,-48.09794527592345,-45.99534392928832
-46.07812622622968,-45.46993375736253,-41.668911387320705,-42.124602748051714,-45.90299329156042,-45.01773940672242,-49.991346577769804,-46.42436004207267
-44.52735045099639,-45.104965008581175,-41.14239689244419,-40.037371480317795,-47.50703151818401,-44.01185994806654,-49.849132240451894,-45.50454695310376
-45.5950773556362,-45.642748695885146,-40.896537301497894,-39.32375889743357,-45.851753222803445,-42.45675920332542,-48.583433760068786,-44.02296428074406
-45.411068635657045,-44.67245070967107,-42.812717925591635,-37.30544634659228,-46.265151724606554,-41.344336772122304,-49.63767244416727,-44.58076388748694
-44.885484135124344,-43.52329169803674,-42.58824464418341,-37.49447169306889,-46.1446082574456,-43.29230955734231,-49.012349680058115,-44.28173158114643
-45.273672637599994,-44.190181216480575,-42.87014385362258,-37.422784637006984,-46.22332091689046,-44.05451796501073,-48.29779198862857,-43.79964301060275
-46.574411812924225,-45.17478714206664,-43.21502813980155,-39.07459763296956,-47.01857930478514,-44.03571822555407,-49.163026432050266,-45.93175435645609
-45.68012549681533,-43.82636183325631,-44.637153102632794,-39.45367598049813,-46.684493970657755,-45.18021428166166,-49.26942093608407,-46.962643834006364
-46.91169547302893,-43.37790653632725,-43.72319133561682,-38.74821596915451,-45.65404840890985,-46.05907865115097,-48.0183050218489,-47.57135818496552
-48.388639715106116,-44.604098874048375,-42.048882200278385,-36.969254854875956,-44.72501800744038,-45.83084056569226,-47.50777872076996,-46.228134855049596
-47.345743746691966,-42.64847520667817,-43.20210452430863,-38.00913306875057,-47.38153302499828,-45.6630312960359,-48.271432843654104,-45.77462485254327
-47.426737415293175,-43.82021918928737,-42.04668603431622,-37.785255277503396,-46.2127672855709,-45.30714881386341,-46.17565538755397,-46.96332688463217
-47.245633703399115,-43.156343568895274,-43.521210636265494,-37.37655307627833,-46.52736091109218,-45.907728559342495,-44.95633428798682,-47.349155380035356
-46.99394481895782,-42.87522186296641,-42.353165038051706,-39.398705742367135,-46.16839894038539,-45.878596181803324,-45.98838611945372,-45.73880365965918
-46.57261391845715,-41.4509124342886,-43.12490231409702,-40.17095757832737,-46.12604572861896,-44.88116274405419,-47.429416401426664,-45.48207561471466
-46.635352637493625,-43.043040736654156,-43.547673091429424,-40.685879357200285,-46.85893673314809,-45.37048284612502,-48.42657198441747,-47.22057576244557
-45.94002314564748,-44.36944475189237,-43.383902577558736,-39.819710489798155,-47.46849149590485,-42.94852406158508,-48.87181886798906,-47.94841548652132
-46.41688664207947,-45.97843243928982,-44.849634400484575,-38.22377283223945,-46.05313221318626,-44.22606318623362,-47.534525293820295,-45.77719221446554
-47.55548501409519,-45.82006645463177,-45.44839758412015,-39.731066145822105,-46.78572611928867,-45.34025827103823,-46.26294404895996,-46.0961050928397
-47.47431596531472,-43.836468596011706,-44.065510090444015,-38.13556725649665,-48.69027275722328,-45.208862982029686,-46.03433399655753,-46.68459314590668
-47.91426703750156,-43.65217750158249,-45.54091646216763,-39.39786167680478,-48.85945889235381,-45.216771306198645,-47.55849822705209,-44.69210238432839
-47.00923814255324,-44.457454397375635,-43.16706305013482,-37.74645725495536,-49.43432158860316,-45.42722801842683,-48.60326991445739,-45.67408932967644
-47.48629298661329,-45.54666298965634,-43.46354858771913,-36.545510709418195,-46.761080068179915,-46.26588619771559,-49.392163372567104,-47.01934637097792
-48.065508913205285,-45.58157182164141,-43.52835373040297,-39.83786612439186,-45.8738882624798,-46.777897204641675,-48.57617686938344,-45.79886284937003
-47.52168823743077,-43.56998894107608,-44.0247322513524,-40.35618261016485,-45.86692638390987,-45.442826487270644,-47.79846048946576,-47.015392556682
-46.159804961576356,-44.832498416239495,-44.1430007704623,-37.45120365980491,-47.645499688004875,-45.84986556209209,-47.58357688117068,-48.9360561723367
-48.25561568445599,-46.57026003407691,-42.32330601292061,-38.23438587698264,-46.72185203382564,-46.11284047614809,-47.94491718154996,-48.791345035518134
-46.16240247361575,-46.123955509931605,-44.23328292570822,-38.35884861724064,-45.970689293510574,-46.05256437916633,-47.06877992286467,-47.50665740669225
-46.17681354634032,-45.148584628819286,-41.6165100484544,-39.78758541685283,-45.051812649239416,-47.02765739354377,-47.112328403685446,-46.787636516992876
-47.59162607974542,-45.59885449050295,-39.413198021567894,-40.142195428924815,-46.08447769556132,-45.054243036205186,-49.27839497872103,-45.31794073655011
-46.907752835008125,-45.67542878558633,-41.225431807218044,-39.2016075307066,-46.33691451779961,-43.30484482671902,-48.639995390569624,-47.22156630473167
-45.91512457157728,-44.073589313872226,-42.673081815190805,-38.857108123531184,-45.5912016986763,-43.76565099677504,-49.8668211239192,-47.27808368411454
-44.86900796574769,-43.826051530124865,-42.01500287651058,-37.40059940768863,-47.97724678229622,-44.29621399004542,-49.119047682794,-48.17105424768997
-44.625069725355836,-46.199236032089225,-40.49527674473423,-37.275346756835035,-48.94682571930486,-43.1090805943651,-47.35799912220595,-47.66260121869924
-48.25121397057431,-46.02103456245376,-42.90497548875898,-36.89008683468831,-47.16473231907081,-43.67072163084643,-46.817213591279256,-48.16869813716096
-48.01579328465722,-45.41094276806532,-43.399536757966025,-38.446122584640776,-46.604392901389026,-44.93137219060083,-47.807667034708615,-46.84210831522625
-44.06207267300736,-45.13591890993836,-43.930471468630905,-37.975840093727996,-48.31891172201635,-43.27042903211843,-48.09507721457579,-47.62417271706036
-42.89034469413498,-46.042864986182344,-45.150051058949124,-37.38089658790809,-47.85762623452821,-43.07389394006072,-48.7450901342228,-47.015519560166254
-46.31591010321518,-46.141056709422784,-43.907972883435136,-37.407680793199944,-48.32278085000204,-43.92438061591007,-49.161025102617046,-46.32192628081569
-47.01265733784446,-46.440970320911894,-45.697331351506975,-36.73882080344622,-47.10845639114908,-44.30571095164706,-49.63750304041137,-46.541088749837996
-46.85812762150381,-46.37318879562352,-43.77001710735303,-37.310238088077234,-48.15969307733443,-43.70126798681323,-49.161481418405984,-46.225869032003246
-47.12747470546266,-46.38398311377557,-43.63484979722198,-35.97597214533547,-48.049266238926194,-44.09303829475865,-48.135512972630174,-45.517800539643694
-48.14816399392039,-43.98609419078171,-42.327449893451046,-35.84633978497427,-46.54103950269702,-45.2794306759669,-47.86970586272855,-46.32263219374479
-47.67036569497957,-42.46786328696022,-44.46048648322511,-38.7804707130984,-47.02937303749814,-43.633028623977275,-46.72394049746453,-46.88312295197415
-47.19266439337905,-41.74424647413794,-44.61523388995943,-41.83153445287141,-47.03394299848448,-44.96036922808007,-46.884315412603684,-44.96020015970955
-45.70022461437442,-43.996774795627594,-43.86398780047612,-43.690075054176994,-47.9140874503496,-45.86550103247108,-48.74832920404767,-45.44832222355859
