TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A,Column,Mean,Median,Maximum
"1,69148E+12",(08/08/2023)_14/06/28,-51,-53,-51,-50,-25,-38,-47,-41,Wifi_A,-41.77619047619048,-42.0,-39
"1,69148E+12",(08/08/2023)_14/06/44,-51,-51,-51,-52,-25,-39,-46,-40,Wifi_A,-45.06190476190476,-44.0,-38
"1,69148E+12",(08/08/2023)_14/09/27,-50,-53,-50,-40,-24,-41,-45,-45,Wifi_A,-44.16666666666666,-44.0,-41
"1,69148E+12",(08/08/2023)_14/07/31,-50,-49,-51,-50,-26,-39,-47,-39,Wifi_A,-34.86,-35.0,-33
"1,69148E+12",(08/08/2023)_14/08/35,-51,-51,-51,-49,-26,-39,-46,-40,Wifi_A,-39.833333333333336,-40.0,-37
"1,69148E+12",(08/08/2023)_14/09/57,-57,-52,-50,-40,-25,-39,-45,-43,Wifi_A,-37.9,-38.0,-33
"1,69148E+12",(08/08/2023)_14/06/24,-51,-60,-51,-52,-24,-39,-46,-43,Wifi_A,-39.55,-40.0,-35
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43,Wifi_A,-33.9,-34.0,-30
"1,69148E+12",(08/08/2023)_14/07/31,-50,-49,-51,-50,-26,-39,-47,-39,Wifi_A,-21.116666666666667,-21.0,-19
"1,69148E+12",(08/08/2023)_14/08/08,-52,-48,-51,-49,-26,-43,-47,-44,Wifi_A,-38.71428571428572,-38.0,-34
"1,69148E+12",(08/08/2023)_14/08/26,-51,-50,-50,-50,-24,-40,-47,-43,Wifi_A,-42.18333333333333,-42.0,-35
"1,69148E+12",(08/08/2023)_14/06/59,-50,-50,-51,-50,-24,-39,-46,-43,Wifi_A,-38.266666666666666,-38.0,-34
"1,69148E+12",(08/08/2023)_14/07/15,-50,-57,-51,-50,-25,-39,-47,-42,Wifi_A,-34.85,-35.0,-32
"1,69148E+12",(08/08/2023)_14/09/23,-52,-50,-54,-48,-25,-40,-45,-44,Wifi_A,-29.316666666666663,-29.0,-27
"1,69148E+12",(08/08/2023)_14/09/45,-51,-52,-49,-44,-25,-39,-51,-44,Wifi_A,-29.183333333333334,-29.0,-20
"1,69148E+12",(08/08/2023)_14/06/00,-53,-48,-48,-51,-25,-39,-41,-43,Wifi_A,-39.81666666666667,-39.0,-35
"1,69148E+12",(08/08/2023)_14/07/33,-51,-54,-51,-50,-26,-38,-46,-40,Wifi_A,-33.88333333333333,-34.0,-30
"1,69148E+12",(08/08/2023)_14/05/48,-52,-54,-48,-53,-30,-44,-49,-43,Wifi_A,-35.833333333333336,-36.0,-33
"1,69148E+12",(08/08/2023)_14/07/27,-50,-49,-49,-49,-26,-41,-47,-43,Wifi_A,-33.95,-34.0,-33
"1,69148E+12",(08/08/2023)_14/07/05,-51,-51,-51,-49,-26,-39,-46,-41,Wifi_A,-32.56666666666667,-32.0,-29
"1,69148E+12",(08/08/2023)_14/07/15,-50,-57,-51,-50,-25,-39,-47,-42,Wifi_A,-36.23333333333333,-36.0,-34
"1,69148E+12",(08/08/2023)_14/09/11,-50,-51,-51,-50,-25,-40,-46,-42,Wifi_A,-42.45,-42.0,-37
"1,69148E+12",(08/08/2023)_14/07/24,-50,-50,-51,-50,-25,-40,-46,-40,Wifi_A,-38.73333333333333,-38.0,-35
"1,69148E+12",(08/08/2023)_14/05/54,-47,-49,-48,-49,-26,-39,-43,-42,Wifi_A,-37.833333333333336,-38.0,-34
"1,69148E+12",(08/08/2023)_14/06/00,-53,-48,-48,-51,-25,-39,-41,-43,Wifi_A,-38.65,-39.0,-34
"1,69148E+12",(08/08/2023)_14/05/48,-52,-54,-48,-53,-30,-44,-49,-43,Wifi_A,-43.78333333333333,-43.5,-40
"1,69148E+12",(08/08/2023)_14/06/15,-50,-51,-48,-49,-24,-42,-46,-43,Wifi_A,-43.91666666666666,-43.0,-42
"1,69148E+12",(08/08/2023)_14/07/55,-51,-52,-51,-49,-26,-40,-47,-40,Wifi_A,-39.41666666666666,-39.0,-37
"1,69148E+12",(08/08/2023)_14/08/14,-52,-48,-52,-50,-25,-39,-46,-43,Wifi_A,-36.61666666666667,-36.0,-32
"1,69148E+12",(08/08/2023)_14/09/23,-52,-50,-54,-48,-25,-40,-45,-44,Wifi_A,-43.833333333333336,-44.0,-40
"1,69148E+12",(08/08/2023)_14/05/51,-52,-52,-50,-52,-25,-40,-42,-40,Wifi_A,-41.44,-41.0,-38
"1,69148E+12",(08/08/2023)_14/06/03,-52,-51,-45,-53,-27,-38,-46,-44,Wifi_A,-43.77,-44.0,-37
"1,69148E+12",(08/08/2023)_14/08/11,-51,-51,-52,-49,-25,-39,-47,-41,Wifi_A,-44.016666666666666,-44.0,-39
"1,69148E+12",(08/08/2023)_14/07/31,-50,-49,-51,-50,-26,-39,-47,-39,Wifi_A,-36.88333333333333,-37.0,-34
"1,69148E+12",(08/08/2023)_14/09/42,-50,-53,-47,-52,-23,-38,-41,-44,Wifi_A,-40.48333333333333,-40.5,-36
"1,69148E+12",(08/08/2023)_14/08/14,-52,-48,-52,-50,-25,-39,-46,-43,Wifi_A,-42.3,-42.0,-39
"1,69148E+12",(08/08/2023)_14/07/02,-51,-50,-51,-50,-26,-39,-46,-41,Wifi_A,-43.98,-44.0,-36
"1,69148E+12",(08/08/2023)_14/09/14,-49,-50,-51,-50,-26,-39,-48,-42,Wifi_A,-41.36,-41.0,-38
"1,69148E+12",(08/08/2023)_14/07/24,-50,-50,-51,-50,-25,-40,-46,-40,Wifi_A,-47.63333333333333,-48.0,-39
"1,69148E+12",(08/08/2023)_14/07/24,-50,-50,-51,-50,-25,-40,-46,-40,Wifi_A,-41.15,-41.0,-36
"1,69148E+12",(08/08/2023)_14/06/56,-50,-49,-51,-49,-25,-39,-46,-41,Wifi_A,-41.516666666666666,-42.0,-39
"1,69148E+12",(08/08/2023)_14/07/05,-51,-51,-51,-49,-26,-39,-46,-41,Wifi_A,-48.13333333333333,-48.0,-41
