0,1,2,3,4,5,6,7,8,9,10
1,69147E+12,(08/08/2023)_12/21/13,-48,-40,-47,-37,-28,-40,-48,-50
1,69147E+12,(08/08/2023)_12/21/37,-46,-41,-46,-37,-29,-39,-47,-46
1,69147E+12,(08/08/2023)_12/21/49,-48,-42,-47,-35,-29,-38,-46,-46
1,69147E+12,(08/08/2023)_12/21/53,-48,-42,-47,-37,-30,-38,-45,-44
1,69147E+12,(08/08/2023)_12/21/56,-47,-39,-47,-37,-29,-37,-47,-48
1,69147E+12,(08/08/2023)_12/22/24,-47,-42,-47,-38,-28,-37,-47,-43
1,69147E+12,(08/08/2023)_12/22/28,-48,-42,-46,-37,-28,-39,-47,-43
1,69147E+12,(08/08/2023)_12/22/33,-48,-39,-47,-37,-29,-38,-47,-48
1,69147E+12,(08/08/2023)_12/22/37,-49,-41,-45,-37,-28,-37,-47,-49
1,69147E+12,(08/08/2023)_12/22/49,-49,-39,-47,-37,-29,-38,-45,-46
1,69147E+12,(08/08/2023)_12/22/53,-49,-42,-47,-36,-29,-38,-48,-43
1,69147E+12,(08/08/2023)_12/23/01,-48,-39,-45,-38,-29,-39,-47,-47
1,69147E+12,(08/08/2023)_12/23/21,-43,-39,-46,-37,-30,-42,-51,-51
1,69147E+12,(08/08/2023)_12/23/33,-53,-43,-46,-36,-30,-40,-46,-45
1,69147E+12,(08/08/2023)_12/23/37,-48,-41,-48,-36,-28,-38,-50,-44
1,69147E+12,(08/08/2023)_12/23/45,-49,-43,-44,-37,-29,-38,-46,-47
1,69147E+12,(08/08/2023)_12/23/49,-48,-39,-45,-38,-27,-38,-45,-47
1,69147E+12,(08/08/2023)_12/24/05,-47,-39,-47,-37,-29,-38,-46,-47
1,69147E+12,(08/08/2023)_12/24/13,-46,-42,-44,-37,-29,-39,-44,-44
1,69147E+12,(08/08/2023)_12/24/29,-48,-42,-45,-37,-29,-39,-48,-47
1,69147E+12,(08/08/2023)_12/24/33,-48,-41,-44,-37,-29,-38,-47,-48
1,69147E+12,(08/08/2023)_12/24/37,-47,-41,-45,-37,-27,-38,-45,-47
1,69147E+12,(08/08/2023)_12/24/41,-48,-41,-47,-37,-29,-39,-48,-45
