TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691486975815,(08/08/2023)_16/29/35,-50,-43,-31,-43,-38,-27,-46,-45
1691486977732,(08/08/2023)_16/29/37,-45,-38,-31,-42,-45,-31,-45,-45
1691486979801,(08/08/2023)_16/29/39,-47,-46,-31,-51,-40,-30,-47,-44
1691486981740,(08/08/2023)_16/29/41,-49,-43,-38,-47,-40,-30,-48,-49
1691486985755,(08/08/2023)_16/29/45,-50,-42,-40,-51,-41,-33,-49,-51
1691486987788,(08/08/2023)_16/29/47,-52,-40,-40,-46,-41,-33,-47,-46
1691486989882,(08/08/2023)_16/29/49,-51,-39,-40,-46,-41,-35,-46,-46
1691486991879,(08/08/2023)_16/29/51,-44,-34,-40,-47,-40,-36,-49,-49
1691486993863,(08/08/2023)_16/29/53,-50,-39,-41,-46,-40,-35,-48,-49
1691486999794,(08/08/2023)_16/29/59,-51,-37,-40,-48,-40,-35,-49,-48
1691487001824,(08/08/2023)_16/30/01,-51,-38,-41,-47,-40,-35,-48,-48
1691487003857,(08/08/2023)_16/30/03,-50,-38,-41,-48,-40,-35,-48,-48
1691487005824,(08/08/2023)_16/30/05,-51,-38,-41,-47,-40,-35,-48,-47
1691487007787,(08/08/2023)_16/30/07,-50,-37,-41,-47,-40,-35,-49,-49
1691487009810,(08/08/2023)_16/30/09,-53,-39,-40,-47,-41,-34,-48,-49
1691487011835,(08/08/2023)_16/30/11,-53,-37,-41,-48,-41,-34,-48,-49
1691487013793,(08/08/2023)_16/30/13,-52,-38,-40,-48,-40,-36,-48,-49
1691487015835,(08/08/2023)_16/30/15,-53,-38,-41,-48,-40,-33,-48,-49
1691487017909,(08/08/2023)_16/30/17,-50,-38,-40,-47,-40,-33,-49,-47
1691487019852,(08/08/2023)_16/30/19,-50,-38,-41,-47,-40,-35,-48,-47
1691487021800,(08/08/2023)_16/30/21,-50,-39,-41,-47,-40,-36,-49,-46
1691487023830,(08/08/2023)_16/30/23,-53,-38,-41,-47,-41,-35,-49,-47
1691487025863,(08/08/2023)_16/30/25,-52,-40,-41,-47,-41,-35,-48,-50
1691487027826,(08/08/2023)_16/30/27,-52,-34,-40,-48,-40,-35,-48,-47
1691487029750,(08/08/2023)_16/30/29,-45,-40,-41,-47,-40,-35,-49,-49
1691487031841,(08/08/2023)_16/30/31,-51,-47,-40,-46,-41,-33,-47,-51
1691487033903,(08/08/2023)_16/30/33,-50,-45,-35,-50,-41,-41,-48,-44
1691487035775,(08/08/2023)_16/30/35,-53,-46,-40,-48,-44,-30,-52,-44
1691487037871,(08/08/2023)_16/30/37,-47,-47,-38,-48,-44,-30,-45,-43
1691487039829,(08/08/2023)_16/30/39,-48,-45,-39,-51,-42,-36,-49,-47
1691487041862,(08/08/2023)_16/30/41,-47,-46,-40,-46,-37,-36,-48,-49
1691487043804,(08/08/2023)_16/30/43,-50,-48,-43,-50,-42,-31,-49,-49
1691487045862,(08/08/2023)_16/30/45,-49,-39,-35,-48,-40,-36,-49,-45
1691487047892,(08/08/2023)_16/30/47,-51,-42,-45,-46,-41,-35,-49,-42
1691487051804,(08/08/2023)_16/30/51,-48,-40,-39,-48,-42,-34,-48,-44
1691487053836,(08/08/2023)_16/30/53,-50,-45,-39,-47,-41,-35,-48,-47
1691487055898,(08/08/2023)_16/30/55,-45,-38,-40,-45,-41,-36,-48,-48
1691487059867,(08/08/2023)_16/30/59,-47,-37,-40,-47,-41,-36,-49,-47
1691487061830,(08/08/2023)_16/31/01,-46,-37,-41,-47,-40,-35,-49,-49
1691487063862,(08/08/2023)_16/31/03,-53,-37,-41,-45,-39,-36,-49,-48
1691487065911,(08/08/2023)_16/31/05,-52,-40,-40,-47,-41,-35,-49,-49
1691487067884,(08/08/2023)_16/31/07,-50,-38,-41,-47,-40,-36,-48,-49
1691487069935,(08/08/2023)_16/31/09,-50,-39,-41,-47,-46,-36,-49,-48
1691487071879,(08/08/2023)_16/31/11,-50,-39,-40,-48,-41,-33,-49,-48
1691487073908,(08/08/2023)_16/31/13,-50,-39,-41,-47,-41,-35,-48,-47
1691487075960,(08/08/2023)_16/31/15,-50,-39,-41,-47,-41,-36,-48,-47
1691487077905,(08/08/2023)_16/31/17,-50,-32,-41,-47,-40,-35,-48,-48
1691487079933,(08/08/2023)_16/31/19,-49,-38,-40,-47,-41,-36,-49,-48
1691487081872,(08/08/2023)_16/31/21,-50,-39,-41,-48,-40,-35,-48,-48
1691487085902,(08/08/2023)_16/31/25,-52,-39,-40,-48,-40,-34,-48,-48
1691487087951,(08/08/2023)_16/31/27,-50,-40,-41,-47,-40,-35,-48,-48
1691487089895,(08/08/2023)_16/31/29,-52,-39,-41,-47,-41,-36,-49,-51
1691487091925,(08/08/2023)_16/31/31,-50,-39,-40,-48,-41,-35,-49,-49
1691487095924,(08/08/2023)_16/31/35,-50,-39,-40,-47,-48,-30,-49,-48
1691487099937,(08/08/2023)_16/31/39,-51,-38,-41,-47,-39,-36,-49,-47
1691487101882,(08/08/2023)_16/31/41,-51,-38,-41,-47,-41,-36,-48,-49
1691487103897,(08/08/2023)_16/31/43,-50,-40,-41,-48,-43,-36,-48,-46
1691487107924,(08/08/2023)_16/31/47,-50,-39,-40,-47,-41,-35,-48,-48
1691487109981,(08/08/2023)_16/31/49,-50,-40,-41,-48,-39,-35,-48,-47
1691487117923,(08/08/2023)_16/31/57,-55,-38,-41,-47,-42,-35,-49,-48
1691487119882,(08/08/2023)_16/31/59,-46,-38,-41,-47,-41,-36,-49,-49
1691487123874,(08/08/2023)_16/32/03,-50,-42,-41,-47,-42,-34,-49,-48
1691487125940,(08/08/2023)_16/32/05,-48,-40,-41,-47,-41,-35,-48,-49
1691487127968,(08/08/2023)_16/32/07,-48,-40,-41,-48,-36,-35,-48,-46
1691487129941,(08/08/2023)_16/32/09,-49,-43,-38,-48,-40,-36,-48,-45
1691487133906,(08/08/2023)_16/32/13,-52,-40,-41,-47,-42,-35,-49,-46
1691487135950,(08/08/2023)_16/32/15,-53,-41,-40,-48,-45,-32,-49,-46
1691487138000,(08/08/2023)_16/32/18,-45,-41,-42,-48,-41,-35,-48,-48
1691487142007,(08/08/2023)_16/32/22,-49,-37,-39,-47,-40,-35,-48,-47
1691487145983,(08/08/2023)_16/32/25,-50,-40,-40,-47,-40,-35,-48,-48
1691487147932,(08/08/2023)_16/32/27,-48,-40,-41,-48,-41,-35,-48,-46
1691487150009,(08/08/2023)_16/32/30,-51,-40,-41,-48,-41,-33,-48,-48
1691487151930,(08/08/2023)_16/32/31,-50,-41,-41,-47,-41,-33,-49,-48
1691487153997,(08/08/2023)_16/32/33,-50,-40,-41,-47,-39,-35,-48,-49
1691487156026,(08/08/2023)_16/32/36,-50,-39,-40,-47,-40,-32,-48,-48
1691487160029,(08/08/2023)_16/32/40,-49,-40,-41,-47,-48,-35,-49,-48
1691487161983,(08/08/2023)_16/32/41,-49,-39,-41,-47,-40,-35,-49,-48
1691487164064,(08/08/2023)_16/32/44,-49,-39,-41,-47,-41,-34,-49,-50
1691487166083,(08/08/2023)_16/32/46,-48,-39,-41,-47,-41,-35,-48,-50
1691487169975,(08/08/2023)_16/32/49,-49,-38,-41,-47,-40,-32,-48,-49
1691487172023,(08/08/2023)_16/32/52,-50,-39,-41,-47,-40,-36,-47,-47
1691487174059,(08/08/2023)_16/32/54,-50,-39,-41,-47,-41,-35,-49,-48
1691487175980,(08/08/2023)_16/32/55,-50,-41,-41,-47,-43,-33,-48,-47
1691487177935,(08/08/2023)_16/32/57,-51,-39,-41,-47,-40,-34,-49,-47
1691487180131,(08/08/2023)_16/33/00,-51,-40,-40,-47,-39,-35,-48,-46
1691487182035,(08/08/2023)_16/33/02,-51,-39,-41,-48,-41,-36,-48,-47
1691487184010,(08/08/2023)_16/33/04,-51,-40,-41,-48,-39,-35,-48,-47
1691487188018,(08/08/2023)_16/33/08,-49,-40,-41,-47,-40,-32,-48,-47
1691487190123,(08/08/2023)_16/33/10,-48,-38,-40,-47,-40,-34,-48,-47
1691487192085,(08/08/2023)_16/33/12,-50,-40,-40,-47,-39,-33,-48,-47
1691487196051,(08/08/2023)_16/33/16,-51,-38,-41,-47,-40,-35,-49,-48
1691487198122,(08/08/2023)_16/33/18,-49,-39,-40,-48,-41,-33,-48,-49
1691487199965,(08/08/2023)_16/33/19,-51,-39,-40,-48,-41,-33,-48,-48
1691487206031,(08/08/2023)_16/33/26,-52,-41,-40,-46,-39,-35,-44,-48
1691487208067,(08/08/2023)_16/33/28,-50,-39,-37,-46,-40,-33,-45,-50
1691487210129,(08/08/2023)_16/33/30,-48,-38,-40,-49,-39,-31,-50,-48
1691487212055,(08/08/2023)_16/33/32,-52,-39,-39,-47,-41,-33,-50,-48
1691487213974,(08/08/2023)_16/33/33,-53,-38,-41,-45,-41,-34,-45,-50
1691487216036,(08/08/2023)_16/33/36,-51,-39,-37,-46,-42,-35,-48,-47
1691487217996,(08/08/2023)_16/33/37,-53,-40,-45,-48,-41,-34,-48,-47
