TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69148E+12",(08/08/2023)_14/31/59,-54,-44,-44,-44,-38,-41,-42,-37
"1,69148E+12",(08/08/2023)_14/32/01,-55,-43,-45,-42,-38,-41,-42,-38
"1,69148E+12",(08/08/2023)_14/32/09,-49,-40,-44,-42,-37,-40,-45,-37
"1,69148E+12",(08/08/2023)_14/32/17,-50,-44,-42,-43,-36,-39,-45,-39
"1,69148E+12",(08/08/2023)_14/32/23,-50,-46,-44,-39,-37,-40,-45,-39
"1,69148E+12",(08/08/2023)_14/32/29,-49,-42,-44,-42,-37,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/32/31,-49,-44,-44,-42,-37,-41,-44,-40
"1,69148E+12",(08/08/2023)_14/32/33,-50,-45,-44,-41,-37,-39,-44,-39
"1,69148E+12",(08/08/2023)_14/32/35,-48,-44,-44,-41,-37,-40,-45,-38
"1,69148E+12",(08/08/2023)_14/32/41,-49,-40,-44,-42,-36,-40,-44,-39
"1,69148E+12",(08/08/2023)_14/32/43,-48,-46,-41,-41,-37,-39,-44,-39
"1,69148E+12",(08/08/2023)_14/32/45,-50,-46,-44,-40,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/32/53,-49,-42,-44,-42,-38,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/32/55,-49,-45,-45,-38,-38,-42,-45,-38
"1,69148E+12",(08/08/2023)_14/33/01,-50,-41,-44,-41,-37,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/33/05,-50,-44,-44,-39,-37,-41,-45,-39
"1,69148E+12",(08/08/2023)_14/33/09,-50,-42,-43,-42,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/33/11,-50,-44,-44,-41,-37,-40,-44,-37
"1,69148E+12",(08/08/2023)_14/33/21,-50,-44,-43,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/33/23,-51,-45,-43,-42,-37,-42,-45,-38
"1,69148E+12",(08/08/2023)_14/33/25,-49,-42,-44,-42,-37,-40,-44,-38
"1,69148E+12",(08/08/2023)_14/33/27,-49,-44,-44,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/33/29,-49,-43,-43,-42,-35,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/33/31,-49,-45,-44,-41,-36,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/33/33,-50,-44,-43,-41,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/33/37,-50,-44,-44,-41,-37,-42,-44,-34
"1,69148E+12",(08/08/2023)_14/33/39,-50,-43,-44,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/33/41,-51,-44,-44,-41,-37,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/33/43,-50,-42,-44,-42,-33,-43,-45,-39
"1,69148E+12",(08/08/2023)_14/33/45,-52,-44,-44,-42,-37,-42,-44,-39
"1,69148E+12",(08/08/2023)_14/33/47,-53,-44,-44,-42,-37,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/33/51,-48,-41,-44,-42,-36,-41,-45,-40
"1,69148E+12",(08/08/2023)_14/33/55,-52,-44,-44,-42,-37,-42,-45,-35
"1,69148E+12",(08/08/2023)_14/33/57,-50,-45,-44,-42,-38,-39,-45,-38
"1,69148E+12",(08/08/2023)_14/33/59,-51,-44,-44,-42,-36,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/34/03,-54,-44,-44,-42,-38,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/34/11,-47,-45,-44,-43,-38,-42,-45,-40
"1,69148E+12",(08/08/2023)_14/34/13,-48,-44,-43,-42,-37,-38,-45,-38
"1,69148E+12",(08/08/2023)_14/34/15,-50,-41,-44,-43,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/34/17,-48,-46,-44,-42,-36,-44,-45,-39
"1,69148E+12",(08/08/2023)_14/34/19,-53,-45,-44,-42,-34,-42,-45,-39
"1,69148E+12",(08/08/2023)_14/34/21,-53,-45,-44,-42,-36,-41,-44,-37
"1,69148E+12",(08/08/2023)_14/34/23,-53,-44,-44,-41,-33,-42,-44,-39
"1,69148E+12",(08/08/2023)_14/34/25,-51,-44,-45,-42,-37,-39,-45,-38
"1,69148E+12",(08/08/2023)_14/34/27,-51,-42,-44,-42,-36,-40,-45,-39
"1,69148E+12",(08/08/2023)_14/34/31,-52,-45,-44,-39,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/34/33,-51,-46,-43,-42,-38,-42,-45,-38
"1,69148E+12",(08/08/2023)_14/34/35,-50,-44,-43,-41,-34,-39,-45,-38
"1,69148E+12",(08/08/2023)_14/34/37,-51,-43,-44,-42,-37,-39,-44,-38
"1,69148E+12",(08/08/2023)_14/34/39,-50,-44,-44,-42,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/34/41,-50,-43,-44,-42,-37,-41,-45,-37
"1,69148E+12",(08/08/2023)_14/34/43,-51,-45,-44,-42,-37,-41,-45,-40
"1,69148E+12",(08/08/2023)_14/34/45,-50,-44,-44,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/34/47,-51,-45,-44,-42,-37,-42,-44,-38
"1,69148E+12",(08/08/2023)_14/34/49,-52,-45,-44,-42,-36,-41,-45,-39
"1,69148E+12",(08/08/2023)_14/34/51,-51,-44,-43,-41,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/34/53,-51,-45,-44,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/34/55,-51,-45,-44,-41,-37,-43,-45,-39
"1,69148E+12",(08/08/2023)_14/34/57,-50,-41,-44,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/34/59,-50,-45,-43,-42,-37,-42,-44,-38
"1,69148E+12",(08/08/2023)_14/35/01,-50,-43,-44,-42,-31,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/35/07,-50,-41,-44,-42,-37,-42,-45,-39
"1,69148E+12",(08/08/2023)_14/35/09,-49,-44,-41,-41,-38,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/35/11,-50,-44,-44,-41,-36,-41,-44,-37
"1,69148E+12",(08/08/2023)_14/35/13,-50,-44,-44,-42,-37,-38,-44,-38
"1,69148E+12",(08/08/2023)_14/35/15,-50,-45,-41,-41,-37,-39,-45,-38
"1,69148E+12",(08/08/2023)_14/35/17,-50,-44,-44,-42,-35,-41,-45,-39
"1,69148E+12",(08/08/2023)_14/35/19,-49,-45,-44,-42,-38,-39,-45,-39
"1,69148E+12",(08/08/2023)_14/35/21,-51,-43,-44,-41,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/35/25,-50,-43,-44,-41,-38,-38,-45,-39
"1,69148E+12",(08/08/2023)_14/35/27,-49,-44,-44,-41,-38,-39,-44,-39
"1,69148E+12",(08/08/2023)_14/35/29,-49,-40,-44,-41,-37,-43,-44,-38
"1,69148E+12",(08/08/2023)_14/35/31,-50,-44,-45,-41,-37,-39,-45,-38
"1,69148E+12",(08/08/2023)_14/35/33,-51,-44,-44,-41,-37,-38,-44,-38
"1,69148E+12",(08/08/2023)_14/35/35,-49,-44,-44,-41,-38,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/35/37,-49,-45,-45,-41,-38,-42,-45,-37
"1,69148E+12",(08/08/2023)_14/35/39,-50,-40,-44,-41,-37,-42,-45,-39
"1,69148E+12",(08/08/2023)_14/35/41,-50,-44,-44,-35,-37,-39,-45,-39
"1,69148E+12",(08/08/2023)_14/35/43,-50,-43,-44,-42,-38,-41,-45,-39
"1,69148E+12",(08/08/2023)_14/35/47,-50,-43,-44,-41,-37,-42,-45,-38
"1,69148E+12",(08/08/2023)_14/35/49,-51,-44,-43,-41,-38,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/35/51,-51,-44,-44,-40,-37,-42,-45,-39
"1,69148E+12",(08/08/2023)_14/35/53,-51,-43,-44,-42,-32,-41,-45,-39
"1,69148E+12",(08/08/2023)_14/35/55,-50,-44,-44,-42,-38,-41,-44,-39
"1,69148E+12",(08/08/2023)_14/35/57,-50,-43,-44,-42,-37,-42,-45,-38
"1,69148E+12",(08/08/2023)_14/36/03,-50,-41,-44,-42,-37,-41,-44,-38
"1,69148E+12",(08/08/2023)_14/36/05,-51,-44,-44,-42,-33,-40,-44,-38
"1,69148E+12",(08/08/2023)_14/36/07,-52,-44,-45,-42,-37,-41,-45,-38
"1,69148E+12",(08/08/2023)_14/36/11,-50,-42,-43,-42,-37,-35,-45,-38
"1,69148E+12",(08/08/2023)_14/36/13,-49,-44,-44,-42,-37,-41,-45,-38
