TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691484019403,(08/08/2023)_15/40/19,-43,-45,-54,-48,-37,-52,-31,-44
1691484022728,(08/08/2023)_15/40/22,-41,-45,-50,-44,-37,-58,-36,-33
1691484026022,(08/08/2023)_15/40/26,-46,-40,-50,-47,-33,-49,-32,-30
1691484028546,(08/08/2023)_15/40/28,-50,-43,-51,-47,-33,-48,-33,-35
1691484034694,(08/08/2023)_15/40/34,-51,-45,-50,-48,-34,-55,-32,-34
1691484037933,(08/08/2023)_15/40/37,-49,-40,-52,-46,-32,-47,-32,-34
1691484043721,(08/08/2023)_15/40/43,-46,-40,-52,-49,-35,-49,-33,-34
1691484046695,(08/08/2023)_15/40/46,-48,-44,-51,-47,-33,-47,-32,-34
1691484050019,(08/08/2023)_15/40/50,-49,-43,-52,-47,-32,-48,-32,-33
1691484052721,(08/08/2023)_15/40/52,-48,-40,-52,-50,-33,-48,-32,-34
1691484058858,(08/08/2023)_15/40/58,-48,-44,-51,-49,-35,-48,-31,-35
1691484061954,(08/08/2023)_15/41/01,-48,-42,-51,-49,-34,-47,-32,-31
1691484071415,(08/08/2023)_15/41/11,-48,-41,-52,-48,-33,-49,-33,-34
1691484076885,(08/08/2023)_15/41/16,-48,-40,-51,-48,-35,-47,-32,-33
1691484083341,(08/08/2023)_15/41/23,-48,-40,-50,-46,-33,-48,-31,-34
1691484086299,(08/08/2023)_15/41/26,-48,-38,-51,-49,-33,-47,-32,-34
1691484095886,(08/08/2023)_15/41/35,-48,-41,-51,-47,-34,-48,-32,-33
1691484099406,(08/08/2023)_15/41/39,-47,-41,-51,-47,-34,-48,-33,-33
1691484102696,(08/08/2023)_15/41/42,-48,-41,-51,-48,-33,-48,-33,-33
1691484108941,(08/08/2023)_15/41/48,-48,-42,-51,-49,-33,-48,-33,-33
1691484111719,(08/08/2023)_15/41/51,-48,-42,-52,-48,-33,-48,-33,-33
1691484114445,(08/08/2023)_15/41/54,-48,-42,-52,-47,-33,-48,-33,-34
1691484117959,(08/08/2023)_15/41/57,-48,-41,-51,-49,-34,-48,-32,-34
1691484120578,(08/08/2023)_15/42/00,-47,-39,-50,-48,-34,-49,-32,-34
1691484123369,(08/08/2023)_15/42/03,-48,-42,-52,-47,-34,-47,-33,-35
1691484126691,(08/08/2023)_15/42/06,-48,-42,-51,-49,-33,-49,-33,-33
1691484129471,(08/08/2023)_15/42/09,-48,-42,-52,-48,-34,-48,-33,-33
1691484132426,(08/08/2023)_15/42/12,-48,-41,-52,-48,-34,-50,-32,-33
1691484135571,(08/08/2023)_15/42/15,-48,-42,-52,-46,-32,-47,-31,-34
1691484138445,(08/08/2023)_15/42/18,-48,-41,-51,-48,-32,-48,-32,-34
1691484144601,(08/08/2023)_15/42/24,-48,-40,-51,-49,-33,-48,-33,-34
1691484147502,(08/08/2023)_15/42/27,-48,-41,-50,-47,-32,-49,-33,-35
1691484153642,(08/08/2023)_15/42/33,-48,-45,-52,-48,-34,-49,-32,-34
1691484157168,(08/08/2023)_15/42/37,-48,-42,-52,-48,-34,-52,-32,-34
1691484159807,(08/08/2023)_15/42/39,-48,-42,-52,-45,-36,-46,-32,-33
1691484166142,(08/08/2023)_15/42/46,-48,-43,-51,-47,-35,-49,-32,-33
1691484168833,(08/08/2023)_15/42/48,-48,-40,-51,-46,-34,-49,-33,-35
1691484171831,(08/08/2023)_15/42/51,-48,-43,-50,-46,-32,-48,-33,-35
1691484175523,(08/08/2023)_15/42/55,-47,-41,-50,-48,-34,-49,-32,-33
1691484179637,(08/08/2023)_15/42/59,-48,-41,-50,-46,-33,-47,-32,-34
1691484182868,(08/08/2023)_15/43/02,-48,-38,-51,-47,-34,-48,-33,-35
1691484189118,(08/08/2023)_15/43/09,-48,-41,-51,-47,-33,-48,-33,-34
1691484192393,(08/08/2023)_15/43/12,-48,-42,-50,-46,-34,-49,-32,-33
1691484195671,(08/08/2023)_15/43/15,-47,-42,-52,-46,-33,-47,-33,-34
1691484198608,(08/08/2023)_15/43/18,-47,-42,-51,-46,-31,-48,-32,-34
1691484201478,(08/08/2023)_15/43/21,-48,-42,-51,-47,-36,-47,-33,-33
1691484216597,(08/08/2023)_15/43/36,-47,-40,-52,-46,-34,-49,-33,-34
1691484225582,(08/08/2023)_15/43/45,-48,-41,-51,-48,-34,-49,-32,-34
1691484240614,(08/08/2023)_15/44/00,-48,-41,-50,-48,-30,-47,-33,-33
1691484249849,(08/08/2023)_15/44/09,-48,-41,-51,-48,-34,-49,-33,-33
1691484253237,(08/08/2023)_15/44/13,-48,-42,-52,-45,-33,-49,-32,-34
1691484256431,(08/08/2023)_15/44/16,-48,-43,-51,-46,-32,-49,-33,-35
1691484259174,(08/08/2023)_15/44/19,-48,-39,-51,-47,-33,-48,-32,-33
1691484262893,(08/08/2023)_15/44/22,-48,-42,-51,-47,-35,-49,-32,-35
1691484265307,(08/08/2023)_15/44/25,-48,-42,-52,-47,-29,-48,-32,-34
1691484268342,(08/08/2023)_15/44/28,-48,-43,-52,-48,-35,-49,-33,-35
1691484271542,(08/08/2023)_15/44/31,-48,-42,-51,-46,-33,-48,-32,-33
1691484274606,(08/08/2023)_15/44/34,-48,-42,-52,-48,-35,-49,-32,-35
1691484278102,(08/08/2023)_15/44/38,-48,-42,-52,-49,-33,-49,-32,-34
1691484280954,(08/08/2023)_15/44/40,-46,-43,-50,-47,-33,-49,-31,-34
