ID,RSSI,kalman_filtered_signal,gray_filtered_signal,fourier_filtered_signal
1,-51.0,-51.0,-51.0,-51.0
2,-47.0,-49.995953709892206,-46.36252270805713,-46.36252270805713
3,-46.0,-48.16130091783957,-47.003725271393876,-47.003725271393876
4,-49.0,-46.64413414541476,-47.653795788914614,-47.653795788914614
5,-51.0,-49.013488854244486,-48.31285690612314,-48.31285690612314
6,-50.0,-49.05098273887928,-48.98103296473402,-48.98103296473402
7,-49.0,-52.08019021057521,-49.65845002613156,-49.65845002613156
8,-51.0,-51.400880458097085,-50.34523589515312,-50.34523589515312
9,-51.0,-51.1228204136686,-51.0,-51.0
10,-47.0,-50.42778048643011,-48.43901225183791,-48.43901225183791
11,-50.0,-49.93283323620429,-48.64884592049547,-48.64884592049547
12,-50.0,-50.40503831689356,-48.85958857070438,-48.85958857070438
13,-51.0,-50.08444817343093,-49.07124414009517,-49.07124414009517
14,-48.0,-49.46495398813008,-49.28381658335585,-49.28381658335585
15,-48.0,-48.014964747291145,-49.4973098723058,-49.4973098723058
16,-51.0,-49.82323849671926,-49.711727995969994,-49.711727995969994
17,-48.0,-49.024313164555494,-48.0,-48.0
18,-51.0,-48.74837641877103,-50.291105875327,-50.291105875327
19,-50.0,-49.781697361380964,-50.182137171805515,-50.182137171805515
20,-50.0,-48.446822532719146,-50.07340457719714,-50.07340457719714
21,-48.0,-51.282750404352456,-49.96490757991076,-49.96490757991076
22,-50.0,-51.98752980143075,-49.85664566946378,-49.85664566946378
23,-50.0,-51.6426268828479,-49.7486183364797,-49.7486183364797
24,-50.0,-50.738425790434874,-49.64082507268569,-49.64082507268569
25,-49.0,-50.1977051146774,-49.0,-49.0
26,-51.0,-49.433382329001425,-53.022803099851345,-53.022803099851345
27,-51.0,-51.117071512073956,-52.20668979743332,-52.20668979743332
28,-53.0,-52.618005827939136,-51.403137900362516,-51.403137900362516
29,-49.0,-50.717121931282946,-50.611954066729396,-50.611954066729396
30,-49.0,-50.44572112456535,-49.83294793049319,-49.83294793049319
31,-51.0,-50.858858591019455,-49.065932055678104,-49.065932055678104
32,-45.0,-48.110127106954884,-48.31072189127451,-48.31072189127451
33,-49.0,-48.989029283496365,-49.0,-49.0
34,-47.0,-47.288343645786746,-47.04144040300554,-47.04144040300554
35,-50.0,-49.704230508680254,-47.72672639139803,-47.72672639139803
36,-49.0,-50.092081553328036,-48.421995426267515,-48.421995426267515
37,-49.0,-50.81700882475043,-49.12739293772439,-49.12739293772439
38,-50.0,-50.27839197932242,-49.843066474462525,-49.843066474462525
39,-52.0,-49.277855183181536,-50.56916573462214,-50.56916573462214
