TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691491584909,(08/08/2023)_17/46/24,-50,-43,-49,-48,-46,-52,-50,-45
1691491586967,(08/08/2023)_17/46/26,-50,-41,-50,-46,-45,-47,-49,-46
1691491588827,(08/08/2023)_17/46/28,-48,-43,-48,-46,-50,-46,-48,-45
1691491592918,(08/08/2023)_17/46/32,-53,-46,-52,-51,-47,-49,-50,-44
1691491597014,(08/08/2023)_17/46/37,-50,-46,-49,-45,-45,-49,-47,-46
1691491598859,(08/08/2023)_17/46/38,-49,-43,-48,-43,-44,-51,-50,-45
1691491600916,(08/08/2023)_17/46/40,-50,-45,-48,-46,-50,-55,-51,-45
1691491606935,(08/08/2023)_17/46/46,-49,-41,-46,-43,-48,-49,-47,-45
1691491608897,(08/08/2023)_17/46/48,-51,-40,-53,-43,-51,-53,-48,-45
1691491610842,(08/08/2023)_17/46/50,-46,-41,-49,-44,-46,-50,-48,-46
1691491612898,(08/08/2023)_17/46/52,-48,-42,-46,-44,-50,-53,-48,-48
1691491619021,(08/08/2023)_17/46/59,-45,-43,-49,-44,-52,-53,-46,-46
1691491621002,(08/08/2023)_17/47/01,-48,-44,-49,-43,-53,-46,-49,-45
1691491623014,(08/08/2023)_17/47/03,-48,-42,-47,-43,-51,-47,-48,-45
1691491624974,(08/08/2023)_17/47/04,-47,-42,-48,-43,-51,-52,-47,-45
1691491630994,(08/08/2023)_17/47/10,-47,-45,-50,-43,-49,-46,-47,-44
1691491635010,(08/08/2023)_17/47/15,-47,-44,-48,-45,-48,-48,-46,-47
1691491637057,(08/08/2023)_17/47/17,-44,-40,-47,-44,-49,-46,-45,-45
1691491639083,(08/08/2023)_17/47/19,-48,-44,-49,-43,-46,-45,-48,-42
1691491641155,(08/08/2023)_17/47/21,-46,-44,-47,-43,-45,-50,-49,-44
1691491642981,(08/08/2023)_17/47/22,-47,-42,-52,-43,-49,-46,-46,-45
1691491646982,(08/08/2023)_17/47/26,-45,-44,-48,-43,-47,-48,-45,-45
1691491653137,(08/08/2023)_17/47/33,-50,-44,-46,-44,-48,-49,-46,-43
1691491655089,(08/08/2023)_17/47/35,-50,-44,-50,-43,-51,-47,-51,-45
1691491661021,(08/08/2023)_17/47/41,-48,-41,-49,-44,-48,-51,-45,-42
1691491665031,(08/08/2023)_17/47/45,-48,-45,-48,-44,-47,-50,-47,-46
1691491667065,(08/08/2023)_17/47/47,-47,-43,-49,-36,-51,-53,-48,-48
1691491669093,(08/08/2023)_17/47/49,-49,-43,-49,-43,-52,-51,-47,-47
1691491671056,(08/08/2023)_17/47/51,-48,-41,-50,-43,-49,-45,-47,-46
1691491673107,(08/08/2023)_17/47/53,-48,-42,-51,-44,-44,-53,-48,-47
1691491677276,(08/08/2023)_17/47/57,-45,-41,-51,-43,-47,-50,-47,-44
1691491679037,(08/08/2023)_17/47/59,-46,-42,-47,-43,-47,-49,-46,-45
1691491681167,(08/08/2023)_17/48/01,-45,-42,-50,-43,-50,-48,-47,-43
1691491685090,(08/08/2023)_17/48/05,-46,-43,-47,-42,-50,-50,-46,-44
1691491689085,(08/08/2023)_17/48/09,-48,-44,-45,-42,-49,-50,-47,-44
1691491691018,(08/08/2023)_17/48/11,-46,-43,-46,-43,-49,-52,-47,-45
1691491701167,(08/08/2023)_17/48/21,-50,-41,-50,-45,-46,-52,-45,-42
1691491705165,(08/08/2023)_17/48/25,-49,-44,-48,-47,-49,-41,-52,-46
1691491713126,(08/08/2023)_17/48/33,-44,-48,-44,-43,-45,-52,-46,-47
1691491715192,(08/08/2023)_17/48/35,-48,-49,-49,-47,-42,-47,-45,-44
