TimeStampMillis,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
"1,69149E+12",-48,-47,-54,-48,-45,-40,-53,-39
"1,69149E+12",-45,-43,-53,-41,-46,-38,-41,-41
"1,69149E+12",-52,-48,-54,-45,-44,-40,-60,-42
"1,69149E+12",-47,-43,-46,-43,-39,-41,-48,-39
"1,69149E+12",-46,-48,-51,-44,-45,-40,-49,-42
"1,69149E+12",-47,-49,-54,-45,-37,-40,-47,-39
"1,69149E+12",-49,-44,-49,-44,-41,-40,-53,-40
"1,69149E+12",-50,-44,-52,-45,-45,-39,-50,-40
"1,69149E+12",-53,-46,-52,-45,-44,-40,-48,-42
"1,69149E+12",-48,-45,-50,-45,-44,-42,-49,-43
"1,69149E+12",-57,-44,-55,-50,-43,-41,-45,-42
"1,69149E+12",-49,-47,-50,-44,-43,-41,-48,-40
"1,69149E+12",-43,-49,-42,-40,-44,-39,-47,-39
"1,69149E+12",-49,-43,-51,-42,-42,-40,-48,-44
"1,69149E+12",-49,-51,-50,-44,-44,-41,-47,-40
"1,69149E+12",-48,-46,-49,-44,-44,-40,-51,-41
"1,69149E+12",-51,-42,-47,-45,-43,-41,-49,-42
"1,69149E+12",-51,-46,-55,-52,-44,-43,-50,-40
"1,69149E+12",-42,-48,-49,-43,-41,-39,-53,-43
"1,69149E+12",-50,-45,-49,-44,-45,-41,-47,-40
"1,69149E+12",-49,-46,-44,-43,-44,-39,-53,-44
"1,69149E+12",-48,-43,-49,-44,-42,-40,-53,-38
"1,69149E+12",-47,-46,-51,-45,-43,-39,-46,-40
"1,69149E+12",-49,-48,-50,-44,-45,-38,-48,-41
"1,69149E+12",-50,-45,-51,-44,-43,-40,-54,-40
"1,69149E+12",-50,-45,-55,-45,-42,-40,-54,-39
"1,69149E+12",-54,-47,-52,-50,-43,-43,-43,-39
"1,69149E+12",-52,-47,-52,-44,-46,-40,-49,-42
"1,69149E+12",-49,-46,-49,-44,-44,-38,-52,-42
"1,69149E+12",-52,-45,-47,-41,-44,-40,-54,-42
"1,69149E+12",-48,-47,-54,-48,-45,-40,-53,-39
"1,69149E+12",-45,-43,-53,-41,-46,-38,-41,-41
"1,69149E+12",-52,-48,-54,-45,-44,-40,-60,-42
"1,69149E+12",-47,-43,-46,-43,-39,-41,-48,-39
"1,69149E+12",-46,-48,-51,-44,-45,-40,-49,-42
"1,69149E+12",-47,-49,-54,-45,-37,-40,-47,-39
"1,69149E+12",-49,-44,-49,-44,-41,-40,-53,-40
"1,69149E+12",-50,-44,-52,-45,-45,-39,-50,-40
"1,69149E+12",-53,-46,-52,-45,-44,-40,-48,-42
"1,69149E+12",-48,-45,-50,-45,-44,-42,-49,-43
