TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691490802555,(08/08/2023)_17/33/22,-46,-37,-53,-47,-50,-46,-49,-45
1691490808706,(08/08/2023)_17/33/28,-50,-36,-49,-45,-52,-45,-51,-44
1691490814894,(08/08/2023)_17/33/34,-51,-43,-53,-45,-51,-45,-47,-46
1691490821100,(08/08/2023)_17/33/41,-47,-40,-55,-46,-46,-51,-53,-45
1691490823912,(08/08/2023)_17/33/43,-48,-41,-53,-44,-48,-49,-52,-47
1691490827075,(08/08/2023)_17/33/47,-47,-44,-53,-41,-48,-44,-52,-48
1691490830153,(08/08/2023)_17/33/50,-50,-39,-55,-49,-48,-47,-50,-46
1691490832955,(08/08/2023)_17/33/52,-47,-41,-51,-45,-50,-48,-51,-46
1691490836367,(08/08/2023)_17/33/56,-45,-41,-46,-45,-51,-48,-48,-44
1691490839093,(08/08/2023)_17/33/59,-52,-39,-49,-49,-49,-43,-47,-48
1691490841933,(08/08/2023)_17/34/01,-46,-40,-53,-45,-51,-48,-48,-46
1691490847968,(08/08/2023)_17/34/07,-53,-38,-51,-47,-48,-47,-48,-46
1691490854415,(08/08/2023)_17/34/14,-49,-40,-52,-43,-50,-47,-49,-44
1691490857084,(08/08/2023)_17/34/17,-44,-37,-50,-41,-49,-51,-47,-45
1691490860293,(08/08/2023)_17/34/20,-43,-40,-49,-43,-50,-48,-49,-45
1691490863148,(08/08/2023)_17/34/23,-48,-44,-51,-46,-50,-44,-48,-46
1691490866190,(08/08/2023)_17/34/26,-47,-41,-59,-47,-49,-45,-48,-45
1691490872272,(08/08/2023)_17/34/32,-50,-41,-54,-44,-49,-48,-47,-45
1691490879294,(08/08/2023)_17/34/39,-56,-41,-44,-43,-49,-51,-49,-45
1691490886819,(08/08/2023)_17/34/46,-48,-42,-55,-45,-51,-46,-48,-45
1691490890145,(08/08/2023)_17/34/50,-47,-38,-53,-45,-51,-47,-48,-44
1691490893714,(08/08/2023)_17/34/53,-48,-39,-55,-46,-49,-46,-50,-45
1691490896038,(08/08/2023)_17/34/56,-49,-40,-55,-46,-49,-45,-48,-47
1691490906284,(08/08/2023)_17/35/06,-46,-41,-56,-44,-49,-46,-48,-46
1691490915406,(08/08/2023)_17/35/15,-46,-37,-53,-45,-47,-48,-50,-45
1691490918213,(08/08/2023)_17/35/18,-49,-41,-55,-45,-49,-47,-48,-46
1691490921281,(08/08/2023)_17/35/21,-52,-46,-50,-48,-52,-45,-45,-48
1691490924318,(08/08/2023)_17/35/24,-53,-38,-50,-44,-43,-44,-44,-44
1691490930420,(08/08/2023)_17/35/30,-49,-38,-51,-43,-45,-40,-50,-43
1691490933688,(08/08/2023)_17/35/33,-45,-37,-50,-43,-43,-45,-47,-54
1691490936421,(08/08/2023)_17/35/36,-47,-40,-50,-49,-54,-42,-39,-50
1691490946065,(08/08/2023)_17/35/46,-41,-41,-44,-41,-46,-43,-41,-47
1691490955478,(08/08/2023)_17/35/55,-41,-37,-42,-41,-47,-39,-38,-48
1691490958893,(08/08/2023)_17/35/58,-43,-38,-43,-42,-44,-39,-40,-45
1691490962066,(08/08/2023)_17/36/02,-40,-40,-44,-41,-51,-40,-42,-47
1691490964790,(08/08/2023)_17/36/04,-41,-38,-44,-41,-46,-40,-40,-49
1691490974067,(08/08/2023)_17/36/14,-39,-40,-42,-40,-51,-41,-40,-46
1691490993823,(08/08/2023)_17/36/33,-40,-39,-42,-39,-51,-40,-40,-49
1691491002815,(08/08/2023)_17/36/42,-44,-40,-47,-41,-45,-42,-43,-50
1691491011766,(08/08/2023)_17/36/51,-43,-47,-47,-40,-46,-44,-41,-46
