TimeStampMillis,TimeStampFormatted,Wifi_D_5G,Wifi_D,Wifi_C_5G,Wifi_B_5G,Wifi_B,Wifi_C,Wifi_A_5G,Wifi_A
1691490252170,(08/08/2023)_17/24/12,-39,-32,-40,-43,-43,-31,-37,-44
1691490256272,(08/08/2023)_17/24/16,-40,-31,-38,-46,-45,-32,-36,-43
1691490258221,(08/08/2023)_17/24/18,-42,-33,-38,-45,-47,-33,-39,-44
1691490260220,(08/08/2023)_17/24/20,-41,-34,-38,-46,-42,-32,-41,-44
1691490266243,(08/08/2023)_17/24/26,-41,-32,-38,-46,-42,-30,-39,-45
1691490268215,(08/08/2023)_17/24/28,-43,-34,-41,-44,-40,-33,-35,-49
1691490272285,(08/08/2023)_17/24/32,-41,-33,-42,-46,-43,-31,-38,-45
1691490276263,(08/08/2023)_17/24/36,-41,-32,-42,-45,-47,-31,-40,-46
1691490278194,(08/08/2023)_17/24/38,-42,-33,-42,-46,-46,-30,-40,-43
1691490284248,(08/08/2023)_17/24/44,-42,-32,-39,-46,-47,-33,-39,-45
1691490286297,(08/08/2023)_17/24/46,-42,-32,-42,-45,-44,-32,-40,-43
1691490288240,(08/08/2023)_17/24/48,-41,-33,-41,-45,-45,-29,-41,-43
1691490296232,(08/08/2023)_17/24/56,-42,-33,-41,-45,-50,-32,-40,-45
1691490298365,(08/08/2023)_17/24/58,-41,-32,-39,-46,-47,-34,-39,-48
1691490300218,(08/08/2023)_17/25/00,-41,-33,-42,-46,-48,-32,-39,-47
1691490302380,(08/08/2023)_17/25/02,-42,-33,-42,-45,-46,-30,-40,-45
1691490304318,(08/08/2023)_17/25/04,-41,-33,-41,-44,-46,-31,-40,-44
1691490306279,(08/08/2023)_17/25/06,-40,-33,-39,-45,-43,-31,-35,-44
1691490312188,(08/08/2023)_17/25/12,-41,-32,-42,-46,-45,-29,-39,-44
1691490318354,(08/08/2023)_17/25/18,-42,-33,-41,-46,-44,-32,-39,-42
1691490320297,(08/08/2023)_17/25/20,-42,-32,-39,-46,-44,-29,-39,-44
1691490322224,(08/08/2023)_17/25/22,-41,-32,-39,-46,-45,-33,-40,-32
1691490324309,(08/08/2023)_17/25/24,-43,-33,-38,-46,-49,-34,-40,-46
1691490326320,(08/08/2023)_17/25/26,-42,-32,-38,-45,-43,-31,-39,-44
1691490328286,(08/08/2023)_17/25/28,-42,-32,-39,-46,-45,-33,-39,-46
1691490330225,(08/08/2023)_17/25/30,-42,-32,-41,-46,-44,-30,-39,-41
1691490334323,(08/08/2023)_17/25/34,-41,-33,-32,-46,-44,-33,-39,-42
1691490336496,(08/08/2023)_17/25/36,-41,-33,-38,-46,-46,-33,-40,-44
1691490338409,(08/08/2023)_17/25/38,-41,-33,-42,-45,-48,-31,-39,-45
1691490342307,(08/08/2023)_17/25/42,-42,-33,-41,-46,-44,-32,-39,-45
1691490344368,(08/08/2023)_17/25/44,-41,-33,-42,-46,-42,-31,-40,-45
1691490346377,(08/08/2023)_17/25/46,-42,-32,-42,-46,-44,-31,-40,-46
1691490350412,(08/08/2023)_17/25/50,-42,-32,-41,-45,-46,-38,-40,-45
1691490352351,(08/08/2023)_17/25/52,-41,-32,-41,-46,-46,-31,-35,-45
1691490354558,(08/08/2023)_17/25/54,-41,-32,-41,-47,-41,-31,-39,-45
1691490356334,(08/08/2023)_17/25/56,-41,-33,-41,-45,-43,-32,-35,-44
1691490360286,(08/08/2023)_17/26/00,-40,-33,-39,-46,-43,-30,-40,-44
1691490362477,(08/08/2023)_17/26/02,-42,-32,-38,-44,-43,-32,-39,-43
1691490368394,(08/08/2023)_17/26/08,-41,-31,-43,-44,-39,-32,-40,-45
1691490370447,(08/08/2023)_17/26/10,-42,-35,-39,-46,-47,-32,-41,-49
