0,1,2,3,4
1,-44,-44.0,-44.0,-44.0
2,-43,-43.88887392130421,-42.924694044092405,-42.924694044092405
3,-44,-45.901905104585616,-43.465330383776276,-43.465330383776276
4,-44,-44.373611849840735,-44.01277603586867,-44.01277603586867
5,-45,-44.36716803013146,-44.567116763630544,-44.567116763630544
6,-49,-44.77355534872513,-45.128439410510744,-45.128439410510744
7,-45,-44.40173998371794,-45.696831913751005,-45.696831913751005
8,-46,-45.70358665373808,-46.27238331816223,-46.27238331816223
9,-43,-44.95868443690363,-43.0,-43.0
10,-45,-45.30847627179607,-43.31876221331351,-43.31876221331351
11,-43,-44.879758271771856,-43.76536867304355,-43.76536867304355
12,-43,-44.96545061903047,-44.216579542495424,-44.216579542495424
13,-45,-45.98756809215278,-44.6724422920727,-44.6724422920727
14,-48,-46.24501964795261,-45.133004881587915,-45.133004881587915
15,-47,-46.81903345074199,-45.59831576530817,-45.59831576530817
16,-45,-44.93311319175844,-46.06842389705294,-46.06842389705294
17,-44,-45.027047623992054,-44.0,-44.0
18,-44,-43.7265231919288,-43.180346409983436,-43.180346409983436
19,-44,-42.86492342121587,-42.954273148575496,-42.954273148575496
20,-42,-41.07638625347667,-42.72938350711906,-42.72938350711906
21,-44,-42.285044698860176,-42.50567128870176,-42.50567128870176
22,-32,-37.32833078696578,-42.28313032885553,-42.28313032885553
23,-46,-41.185645220136564,-42.06175449538673,-42.06175449538673
24,-44,-41.88305024121783,-41.84153768820721,-41.84153768820721
25,-46,-44.83405793047111,-46.0,-46.0
26,-41,-45.227028372294896,-40.96953726921728,-40.96953726921728
27,-42,-45.28850933003224,-41.7003369264797,-41.7003369264797
28,-44,-45.35812970018687,-42.444172321381664,-42.444172321381664
29,-45,-44.06669915024093,-43.20127598065485,-43.20127598065485
30,-45,-42.52547510041909,-43.97188457875789,-43.97188457875789
31,-45,-42.612023023241626,-44.75623901186211,-44.75623901186211
32,-46,-44.61025381003983,-45.55458447315681,-45.55458447315681
33,-45,-43.6112977913438,-45.0,-45.0
34,-45,-45.941258898184394,-44.941581431077005,-44.941581431077005
35,-45,-44.76611809883457,-44.766645152439736,-44.766645152439736
36,-44,-44.93171522123792,-44.59238981783266,-44.59238981783266
37,-44,-44.980501192482386,-44.418812776663394,-44.418812776663394
38,-43,-43.223591338007665,-44.24591138865701,-44.24591138865701
39,-45,-43.84833866653199,-44.07368302381594,-44.07368302381594
